date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
07-04-2024,16:00,Atlético Tucumán,Gimnasia,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,0,39,Gimnasia,Eric Ramírez,-0.03,0.57,-1.0,,,,,
07-04-2024,16:00,Atlético Tucumán,Gimnasia,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,2,9,Gimnasia,Eric Ramírez,-0.32,0.23,-1.0,,,,,
07-04-2024,16:00,Atlético Tucumán,Gimnasia,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,4,29,Gimnasia,Yonatan Rodríguez,0.4,-0.48,-1.0,,,,,
07-04-2024,16:00,Atlético Tucumán,Gimnasia,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,8,2,Gimnasia,Nicolás Colazo,-0.29,0.75,-1.0,,,,,
07-04-2024,16:00,Atlético Tucumán,Gimnasia,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,10,36,Atlético Tucumán,Adrián Sánchez,0.25,0.65,-1.0,,,,,
07-04-2024,16:00,Atlético Tucumán,Gimnasia,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,19,13,Atlético Tucumán,Guillermo Acosta,0.05,-0.05,-1.0,,,,,
07-04-2024,16:00,Atlético Tucumán,Gimnasia,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,26,49,Gimnasia,Yonatan Rodríguez,0.62,-0.66,-1.0,,,,,
07-04-2024,16:00,Atlético Tucumán,Gimnasia,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,27,8,Atlético Tucumán,Nicolás Romero,-0.13,-0.37,-1.0,,,,,
07-04-2024,16:00,Atlético Tucumán,Gimnasia,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,30,44,Gimnasia,Lucas Castro,0.8,-0.63,-1.0,,,,,
07-04-2024,16:00,Atlético Tucumán,Gimnasia,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,31,5,Gimnasia,Benjamín Domínguez,0.0,0.84,-1.0,,,,,
07-04-2024,16:00,Atlético Tucumán,Gimnasia,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,37,3,Gimnasia,Yonatan Rodríguez,0.31,-0.54,-1.0,,,,,
07-04-2024,16:00,Atlético Tucumán,Gimnasia,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,40,26,Gimnasia,Nicolás Colazo,0.6,0.65,-1.0,,,,,
