date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,1,28,Barracas Central,Nicolás Capraro,-0.48,0.1,-1.0,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,6,47,Instituto,Miguel Brizuela,0.24,0.78,-1.0,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,8,21,Barracas Central,Rodrigo Herrera,-0.43,-0.01,-1.0,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,9,36,Barracas Central,Maximiliano Zalazar,-0.25,-0.57,-1.0,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,13,19,Barracas Central,Facundo Mater,-0.52,0.71,-1.0,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,13,45,Instituto,Fernando Alarcón,0.72,-0.74,-1.0,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,16,58,Barracas Central,Rodrigo Herrera,-0.3,-0.22,-1.0,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,41,14,Barracas Central,Nicolás Capraro,-0.61,0.53,-1.0,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,41,38,Barracas Central,Lucas Brochero,-0.28,0.27,-1.0,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,47,9,Barracas Central,Lucas Brochero,-0.62,0.76,-1.0,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,48,3,Barracas Central,Lucas Brochero,0.18,-0.72,-1.0,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,48,32,Barracas Central,Maximiliano Zalazar,-0.28,0.49,-1.0,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,49,43,Barracas Central,Rodrigo Herrera,0.66,-0.17,-1.0,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,53,47,Barracas Central,Facundo Mater,0.24,-0.47,-1.0,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,61,26,Barracas Central,Rodrigo Insúa,0.45,0.38,-1.0,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,61,41,Barracas Central,Facundo Mater,0.41,-0.05,-1.0,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,69,21,Barracas Central,Pedro Velurtas,0.52,-0.5,-1.0,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,73,10,Barracas Central,Rodrigo Insúa,0.57,0.56,-1.0,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,75,55,Barracas Central,Rodrigo Herrera,0.16,0.31,-1.0,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,77,43,Barracas Central,Manuel Duarte,-0.17,-0.47,-1.0,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,78,27,Barracas Central,Maximiliano Zalazar,0.58,0.41,-1.0,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,85,44,Barracas Central,Manuel Duarte,0.66,-0.41,-1.0,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,88,53,Barracas Central,Rodrigo Herrera,0.39,-0.19,-1.0,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,1,33,Instituto,Roberto Bochi,-0.31,-0.02,-1.0,Alexis Domínguez,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,2,49,Barracas Central,Rodrigo Insúa,0.39,-0.75,-1.0,Jonás Acevedo,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,10,54,Instituto,Ignacio Russo,-0.33,-0.6,-1.0,Siro Rosané,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,19,26,Instituto,Jonás Acevedo,-0.33,-0.78,-1.0,Siro Rosané,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,31,50,Instituto,Juan José Franco,-0.05,-0.31,-1.0,Alan Cantero,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,32,6,Barracas Central,Facundo Mater,0.34,0.26,-1.0,Miguel Brizuela,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,41,53,Instituto,Roberto Bochi,0.27,0.62,-1.0,Facundo Mater,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,45,56,Barracas Central,Rodrigo Herrera,0.64,0.8,-1.0,Jonathan Bay,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,47,3,Barracas Central,Rodrigo Herrera,-0.24,0.14,-1.0,Jonás Acevedo,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,46,46,Instituto,Jonathan Bay,-0.53,-0.74,-1.0,Lucas Brochero,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,56,22,Instituto,Ignacio Russo,0.75,0.05,-1.0,Nicolás Capraro,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,60,0,Barracas Central,Alan Cantero,0.06,0.03,-1.0,Juan José Franco,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,63,34,Barracas Central,Facundo Mater,0.3,-0.79,-1.0,Damián Puebla,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,66,21,Barracas Central,Facundo Mater,0.37,-0.1,-1.0,Jeremías Lázaro,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,70,46,Barracas Central,Rodrigo Insúa,0.46,0.14,-1.0,Santiago Rodríguez,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,74,0,Instituto,Jeremías Lázaro,0.07,-0.82,-1.0,Pedro Velurtas,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,78,30,Instituto,Juan José Franco,0.37,0.57,-1.0,Rodrigo Insúa,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,78,51,Instituto,Jonathan Bay,0.07,-0.69,-1.0,Marco Iacobellis,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,87,55,Instituto,Juan José Franco,-0.31,0.55,-1.0,Manuel Duarte,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,89,25,Instituto,Víctor Cabrera,,,,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,91,17,Instituto,Santiago Rodríguez,0.02,-0.03,-1.0,Rodrigo Herrera,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,92,1,Instituto,Juan José Franco,0.06,0.52,-1.0,Manuel Duarte,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,1,6,9,Barracas Central,Alexis Domínguez,1.0,-0.47,-1.0,,1.0,-0.47,-1.0,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,1,12,41,Barracas Central,Alan Cantero,0.87,0.0,0.43,Fernando Alarcón,0.87,0.0,0.43,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,1,17,10,Barracas Central,Maximiliano Zalazar,0.41,-0.39,-1.0,Manuel Roffo,0.97,-0.06,0.87,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,1,23,4,Instituto,Ignacio Russo,-0.88,-0.04,-1.0,Nicolás Capraro,-0.99,0.05,1.23,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,1,22,56,Instituto,Facundo Suárez,-0.82,0.03,-1.0,,-1.0,0.01,1.0,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,1,24,6,Instituto,Facundo Suárez,-0.82,-0.17,-1.0,,-0.98,-0.33,-1.0,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,1,26,6,Barracas Central,Nicolás Capraro,0.72,-0.15,-1.0,Manuel Roffo,0.94,-0.05,0.48,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,1,26,45,Instituto,Gastón Lodico,-0.63,0.21,-1.0,Sebastián Moyano,-0.9,-0.07,0.32,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,1,27,31,Instituto,Jonathan Bay,-0.72,0.33,-1.0,,-0.84,0.03,-1.0,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,1,35,26,Instituto,Damián Puebla,-0.82,0.1,-1.0,,-1.0,0.02,-1.0,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,1,37,38,Barracas Central,Alan Cantero,0.81,-0.05,-1.0,,1.0,0.02,0.26,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,1,37,36,Barracas Central,Gonzalo Goñi,0.79,-0.02,-1.0,Roberto Bochi,0.88,-0.04,0.39,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,1,40,1,Instituto,Damián Puebla,-0.74,0.14,-1.0,,-0.98,0.32,-1.0,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,2,47,39,Barracas Central,Rodrigo Insúa,-0.6,-0.69,-1.0,Manuel Roffo,-0.96,-0.05,0.22,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,1,7,2,Instituto,Ignacio Russo,-0.86,0.0,-1.0,Rodrigo Insúa,-0.89,0.01,0.1,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,2,49,38,Instituto,Ignacio Russo,0.59,-0.02,-1.0,Gonzalo Goñi,0.75,0.01,0.4,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,2,50,4,Instituto,Ignacio Russo,0.87,-0.33,-1.0,,0.99,-0.12,0.96,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,1,7,30,Instituto,Facundo Suárez,-0.61,0.03,-1.0,,-1.0,-0.04,-1.0,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,2,52,40,Instituto,Jonathan Bay,0.47,0.07,-1.0,,0.98,0.25,-1.0,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,2,54,28,Instituto,Facundo Suárez,0.79,0.0,-1.0,Sebastián Moyano,0.95,0.0,0.38,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,2,54,36,Instituto,Facundo Suárez,0.87,-0.04,-1.0,Sebastián Moyano,0.96,-0.06,0.29,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,2,55,12,Barracas Central,Lucas Brochero,-0.76,0.06,-1.0,,-0.99,-0.04,0.26,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,2,57,28,Instituto,Miguel Brizuela,-0.77,0.08,-1.0,,-0.99,0.05,0.18,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,2,57,27,Barracas Central,Maximiliano Zalazar,-0.75,0.13,-1.0,Miguel Brizuela,-0.78,0.04,0.09,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,2,60,21,Instituto,Miguel Brizuela,0.86,0.03,-1.0,,0.99,0.14,0.35,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,2,62,29,Instituto,Ignacio Russo,0.89,0.33,-1.0,Sebastián Moyano,0.95,-0.02,0.28,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,2,62,54,Instituto,Fernando Alarcón,0.76,0.04,-1.0,,0.99,0.35,-1.0,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,2,71,42,Instituto,Santiago Rodríguez,0.47,0.22,-1.0,,0.99,0.06,-1.0,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,2,79,26,Instituto,Facundo Suárez,0.72,0.1,-1.0,,0.98,-0.09,0.33,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,2,81,9,Instituto,Facundo Suárez,0.77,-0.15,-1.0,,1.0,0.02,-1.0,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,2,82,47,Instituto,Facundo Suárez,0.75,-0.12,-1.0,,0.99,0.49,-1.0,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,2,84,18,Barracas Central,Rodrigo Insúa,0.84,0.4,-1.0,,0.99,-0.09,0.55,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,shot,2,90,25,Instituto,Juan José Franco,0.73,0.42,-1.0,,1.0,0.3,-1.0,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,goal_kick,1,6,21,Instituto,Manuel Roffo,,,,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,goal_kick,1,5,49,Barracas Central,Sebastián Moyano,,,,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,goal_kick,1,8,5,Barracas Central,Sebastián Moyano,,,,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,goal_kick,1,8,49,Barracas Central,Sebastián Moyano,,,,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,goal_kick,1,18,21,Instituto,Miguel Brizuela,,,,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,goal_kick,1,21,25,Instituto,Manuel Roffo,,,,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,goal_kick,1,24,13,Barracas Central,Sebastián Moyano,,,,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,goal_kick,1,36,1,Barracas Central,Sebastián Moyano,,,,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,goal_kick,1,40,24,Barracas Central,Sebastián Moyano,,,,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,goal_kick,1,43,20,Instituto,Manuel Roffo,,,,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,goal_kick,2,46,3,Barracas Central,Sebastián Moyano,,,,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,goal_kick,2,63,35,Barracas Central,Sebastián Moyano,,,,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,goal_kick,2,72,4,Barracas Central,Sebastián Moyano,,,,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,goal_kick,2,77,4,Barracas Central,Sebastián Moyano,,,,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,goal_kick,2,81,37,Barracas Central,Sebastián Moyano,,,,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,goal_kick,2,83,25,Barracas Central,Sebastián Moyano,,,,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,goal_kick,2,86,55,Barracas Central,Sebastián Moyano,,,,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,goal_kick,2,87,31,Barracas Central,Sebastián Moyano,,,,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,goal_kick,2,90,52,Barracas Central,Sebastián Moyano,,,,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,goal_kick,2,91,37,Instituto,Manuel Roffo,,,,,,,,
07-04-2024,16:00,Barracas Central,Instituto,Argentina - Copa LPF 2024,Tomás A. Ducó,goal_kick,2,93,37,Barracas Central,Sebastián Moyano,,,,,,,,
