date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,steal,1,10,10,Lanús,Nery Domínguez,0.78,-0.61,-1.0,,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,steal,1,12,10,Lanús,Braian Aguirre,0.65,-0.55,-1.0,,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,steal,1,14,0,Lanús,Leandro Díaz,-0.1,0.17,-1.0,,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,steal,1,20,27,Lanús,Leandro Díaz,-0.35,0.64,-1.0,,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,steal,1,32,29,Lanús,Abel Luciatti,-0.13,-0.03,-1.0,,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,steal,1,38,27,Lanús,Marcelino Moreno,0.04,0.5,-1.0,,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,steal,1,38,43,Lanús,Ramiro Carrera,0.3,-0.29,-1.0,,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,steal,1,39,53,Lanús,Nery Domínguez,-0.31,-0.28,-1.0,,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,steal,1,44,30,Lanús,Ramiro Carrera,-0.56,-0.28,-1.0,,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,steal,2,54,51,Lanús,Felipe Peña Biafore,-0.48,0.27,-1.0,,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,steal,2,65,57,Lanús,Leandro Díaz,0.28,0.38,-1.0,,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,steal,2,75,44,Lanús,Raúl Loaiza,-0.52,0.11,-1.0,,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,steal,2,78,11,Lanús,Julio César Soler,0.01,-0.76,-1.0,,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,steal,2,78,45,Lanús,Nery Domínguez,-0.15,0.31,-1.0,,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,steal,2,78,41,Racing Club,Maximiliano Salas,0.26,0.84,-1.0,,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,steal,2,79,41,Lanús,Juan José Cáceres,0.24,0.8,-1.0,,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,steal,2,81,26,Lanús,Luciano Boggio,-0.27,0.16,-1.0,,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,steal,2,92,16,Racing Club,Ignacio Galván,0.19,0.83,-1.0,,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,foul,1,10,48,Racing Club,Bruno Zuculini,-0.21,0.65,-1.0,Julio César Soler,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,foul,1,13,6,Racing Club,Santiago Solari,0.29,0.56,-1.0,Braian Aguirre,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,foul,1,20,39,Racing Club,Facundo Mura,-0.15,-0.55,-1.0,Braian Aguirre,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,foul,1,26,59,Racing Club,Maximiliano Salas,0.39,-0.58,-1.0,Gonzalo Pérez,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,foul,1,28,40,Lanús,Walter Bou,-0.43,-0.55,-1.0,Agustín García Basso,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,foul,1,37,23,Racing Club,Maximiliano Salas,0.45,-0.88,-1.0,Gonzalo Pérez,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,foul,1,40,21,Racing Club,Santiago Solari,-0.37,0.88,-1.0,Ramiro Carrera,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,foul,1,43,35,Racing Club,Adrián Martínez,0.47,-0.3,-1.0,Nery Domínguez,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,foul,1,46,43,Lanús,Marcelino Moreno,-0.93,-0.46,-1.0,Marco Di Césare,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,foul,1,47,25,Racing Club,Adrián Martínez,0.7,0.07,-1.0,Felipe Peña Biafore,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,foul,2,59,8,Lanús,Ramiro Carrera,-0.34,0.62,-1.0,Juan Ignacio Nardoni,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,foul,2,61,27,Lanús,Abel Luciatti,-0.36,-0.75,-1.0,Santiago Solari,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,foul,2,62,6,Racing Club,Juan Fernando Quintero,-0.63,-0.92,-1.0,Julio César Soler,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,foul,2,63,44,Lanús,Augusto Lotti,-0.35,0.9,-1.0,Juan Ignacio Nardoni,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,foul,2,64,23,Lanús,Juan José Cáceres,0.28,0.45,-1.0,Maximiliano Salas,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,foul,2,66,6,Racing Club,Santiago Solari,0.36,-0.68,-1.0,Julio César Soler,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,foul,2,66,28,Lanús,Abel Luciatti,0.38,-0.12,-1.0,Adrián Martínez,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,foul,2,67,26,Lanús,Raúl Loaiza,0.26,0.87,-1.0,Juan Ignacio Nardoni,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,foul,2,70,4,Racing Club,Maximiliano Salas,0.22,0.5,-1.0,Juan José Cáceres,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,foul,2,71,23,Lanús,Nery Domínguez,-0.35,0.54,-1.0,Juan Fernando Quintero,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,foul,2,76,27,Lanús,Raúl Loaiza,-0.24,0.6,-1.0,Ignacio Galván,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,foul,2,87,57,Lanús,Abel Luciatti,-0.43,-0.66,-1.0,Roger Martínez,,,,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,shot,1,4,15,Racing Club,Agustín Almendra,0.39,0.06,-1.0,,0.98,0.05,-1.0,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,shot,1,5,46,Racing Club,Adrián Martínez,0.86,-0.02,-1.0,,0.99,0.07,0.38,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,shot,1,9,39,Racing Club,Juan Fernando Quintero,0.97,0.95,-1.0,,0.98,-0.03,1.0,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,shot,1,11,19,Lanús,Ramiro Carrera,-0.74,0.4,-1.0,Marco Di Césare,-0.83,0.24,0.63,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,shot,1,12,53,Lanús,Felipe Peña Biafore,-0.72,0.06,-1.0,Bruno Zuculini,-0.78,0.06,0.56,
07-04-2024,18:30,Racing Club,Lanús,Argentina - Copa LPF 2024,Presidente Perón,shot,1,14,50,Racing Club,Maximiliano Salas,0.59,-0.38,-1.0,Lucas Acosta,0.95,-0.04,0.14,
