date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
07-04-2024,21:00,River Plate,Rosario Central,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,2,20,Rosario Central,Alan Rodríguez,0.67,0.51,-1.0,,,,,
07-04-2024,21:00,River Plate,Rosario Central,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,3,3,Rosario Central,Franco Ibarra,0.33,-0.29,-1.0,,,,,
07-04-2024,21:00,River Plate,Rosario Central,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,6,47,Rosario Central,Franco Ibarra,0.38,0.01,-1.0,,,,,
07-04-2024,21:00,River Plate,Rosario Central,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,12,42,Rosario Central,Juan Giménez,0.12,-0.77,-1.0,,,,,
07-04-2024,21:00,River Plate,Rosario Central,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,24,40,River Plate,Leandro González Pirez,-0.26,-0.7,-1.0,,,,,
07-04-2024,21:00,River Plate,Rosario Central,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,25,10,Rosario Central,Emanuel Coronel,0.56,-0.9,-1.0,,,,,
07-04-2024,21:00,River Plate,Rosario Central,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,26,38,Rosario Central,Alan Rodríguez,0.86,0.5,-1.0,,,,,
07-04-2024,21:00,River Plate,Rosario Central,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,29,42,Rosario Central,Emanuel Coronel,0.4,-0.83,-1.0,,,,,
07-04-2024,21:00,River Plate,Rosario Central,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,31,7,Rosario Central,Juan Giménez,0.42,-0.6,-1.0,,,,,
07-04-2024,21:00,River Plate,Rosario Central,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,34,55,Rosario Central,Lautaro Giaccone,0.24,-0.63,-1.0,,,,,
07-04-2024,21:00,River Plate,Rosario Central,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,42,20,River Plate,Paulo Díaz,-0.73,0.74,-1.0,,,,,
07-04-2024,21:00,River Plate,Rosario Central,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,55,31,Rosario Central,Agustín Sández,-0.56,-0.74,-1.0,,,,,
07-04-2024,21:00,River Plate,Rosario Central,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,63,9,River Plate,Rodrigo Villagra,0.05,-0.01,-1.0,,,,,
