date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
08-04-2024,15:30,Dep. Riestra,Huracán,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,0,44,Dep. Riestra,Jonatan Goya,-0.31,-0.59,-1.0,,,,,
08-04-2024,15:30,Dep. Riestra,Huracán,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,6,40,Huracán,Fabio Pereyra,0.76,0.07,-1.0,,,,,
08-04-2024,15:30,Dep. Riestra,Huracán,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,14,34,Huracán,César Ibáñez,0.53,0.56,-1.0,,,,,
08-04-2024,15:30,Dep. Riestra,Huracán,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,14,28,Dep. Riestra,Nicolás Dematei,0.24,0.31,-1.0,,,,,
08-04-2024,15:30,Dep. Riestra,Huracán,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,15,25,Huracán,Williams Alarcón,0.43,-0.67,-1.0,,,,,
08-04-2024,15:30,Dep. Riestra,Huracán,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,18,22,Huracán,Fabio Pereyra,0.66,0.22,-1.0,,,,,
08-04-2024,15:30,Dep. Riestra,Huracán,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,19,8,Huracán,Rodrigo Echeverría,-0.04,0.54,-1.0,,,,,
08-04-2024,15:30,Dep. Riestra,Huracán,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,23,7,Huracán,Andrés Roa,-0.38,0.44,-1.0,,,,,
08-04-2024,15:30,Dep. Riestra,Huracán,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,28,13,Huracán,Lucas Carrizo,0.18,0.39,-1.0,,,,,
08-04-2024,15:30,Dep. Riestra,Huracán,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,28,15,Dep. Riestra,Jonatan Goya,-0.16,0.46,-1.0,,,,,
08-04-2024,15:30,Dep. Riestra,Huracán,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,31,33,Huracán,Lucas Souto,0.1,-0.27,-1.0,,,,,
08-04-2024,15:30,Dep. Riestra,Huracán,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,45,11,Huracán,Andrés Roa,-0.2,-0.42,-1.0,,,,,
08-04-2024,15:30,Dep. Riestra,Huracán,Argentina - Copa LPF 2024,Guillermo Laza,steal,2,51,48,Huracán,Williams Alarcón,-0.66,0.65,-1.0,,,,,
08-04-2024,15:30,Dep. Riestra,Huracán,Argentina - Copa LPF 2024,Guillermo Laza,steal,2,53,24,Dep. Riestra,Nicolás Dematei,0.8,0.77,-1.0,,,,,
08-04-2024,15:30,Dep. Riestra,Huracán,Argentina - Copa LPF 2024,Guillermo Laza,steal,2,57,32,Huracán,César Ibáñez,-0.42,-0.87,-1.0,,,,,
08-04-2024,15:30,Dep. Riestra,Huracán,Argentina - Copa LPF 2024,Guillermo Laza,steal,2,59,44,Huracán,César Ibáñez,0.32,-0.44,-1.0,,,,,
