date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
08-04-2024,20:00,Godoy Cruz,Sarmiento,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,11,19,Sarmiento,Juan Cruz Guasone,0.69,-0.34,-1.0,,,,,
08-04-2024,20:00,Godoy Cruz,Sarmiento,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,11,57,Sarmiento,Elías López,0.45,-0.82,-1.0,,,,,
08-04-2024,20:00,Godoy Cruz,Sarmiento,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,13,46,Godoy Cruz,Hernán López Muñoz,0.15,0.5,-1.0,,,,,
08-04-2024,20:00,Godoy Cruz,Sarmiento,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,32,53,Sarmiento,Juan Manuel Insaurralde,0.64,0.09,-1.0,,,,,
08-04-2024,20:00,Godoy Cruz,Sarmiento,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,32,55,Godoy Cruz,Bruno Leyes,0.25,0.3,-1.0,,,,,
08-04-2024,20:00,Godoy Cruz,Sarmiento,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,49,27,Sarmiento,Diego Calcaterra,0.46,0.3,-1.0,,,,,
08-04-2024,20:00,Godoy Cruz,Sarmiento,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,50,38,Sarmiento,Iván Morales,0.24,0.9,-1.0,,,,,
08-04-2024,20:00,Godoy Cruz,Sarmiento,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,58,32,Sarmiento,Fernando Godoy,-0.36,0.03,-1.0,,,,,
08-04-2024,20:00,Godoy Cruz,Sarmiento,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,60,27,Godoy Cruz,Pier Barrios,0.74,-0.8,-1.0,,,,,
08-04-2024,20:00,Godoy Cruz,Sarmiento,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,67,54,Sarmiento,Juan Cruz Guasone,-0.37,0.3,-1.0,,,,,
