date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
08-04-2024,20:00,Platense,Tigre,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,14,2,Platense,Juan Ignacio Saborido,-0.77,0.55,-1.0,,,,,
08-04-2024,20:00,Platense,Tigre,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,24,1,Tigre,Agustín Cardozo,0.52,0.49,-1.0,,,,,
08-04-2024,20:00,Platense,Tigre,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,24,54,Tigre,Agustín Cardozo,-0.33,0.68,-1.0,,,,,
08-04-2024,20:00,Platense,Tigre,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,30,2,Tigre,Tomás Galván,-0.41,0.4,-1.0,,,,,
08-04-2024,20:00,Platense,Tigre,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,30,13,Tigre,Agustín Cardozo,0.14,0.74,-1.0,,,,,
08-04-2024,20:00,Platense,Tigre,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,30,9,Platense,Carlos Villalba,-0.38,0.59,-1.0,,,,,
08-04-2024,20:00,Platense,Tigre,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,33,0,Tigre,Ezequiel Forclaz,-0.23,0.5,-1.0,,,,,
08-04-2024,20:00,Platense,Tigre,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,33,42,Tigre,Gonzalo Flores,-0.44,0.48,-1.0,,,,,
08-04-2024,20:00,Platense,Tigre,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,33,41,Platense,Iván Gómez,-0.38,0.15,-1.0,,,,,
08-04-2024,20:00,Platense,Tigre,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,34,21,Tigre,Matías Tagliamonte,0.31,-0.33,-1.0,,,,,
08-04-2024,20:00,Platense,Tigre,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,34,59,Platense,Leonel Picco,-0.68,0.82,-1.0,,,,,
08-04-2024,20:00,Platense,Tigre,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,58,27,Tigre,Augusto Aguirre,-0.68,0.62,-1.0,,,,,
08-04-2024,20:00,Platense,Tigre,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,59,25,Tigre,Augusto Aguirre,-0.46,0.25,-1.0,,,,,
08-04-2024,20:00,Platense,Tigre,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,64,10,Tigre,Juan Manuel Sánchez Miño,-0.41,-0.68,-1.0,,,,,
