date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
13-04-2024,19:00,Huracán,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,7,55,Atlético Tucumán,Agustín Lagos,0.11,-0.63,-1.0,,,,,
13-04-2024,19:00,Huracán,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,9,51,Atlético Tucumán,Justo Giani,0.09,0.38,-1.0,,,,,
13-04-2024,19:00,Huracán,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,26,4,Atlético Tucumán,Agustín Lagos,-0.28,-0.85,-1.0,,,,,
13-04-2024,19:00,Huracán,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,29,12,Huracán,Walter Mazzantti,-0.19,0.68,-1.0,,,,,
13-04-2024,19:00,Huracán,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,32,52,Huracán,Walter Mazzantti,0.19,0.36,-1.0,,,,,
13-04-2024,19:00,Huracán,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,35,16,Huracán,Walter Mazzantti,0.03,0.63,-1.0,,,,,
13-04-2024,19:00,Huracán,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,35,32,Atlético Tucumán,Nicolás Romero,0.47,0.57,-1.0,,,,,
13-04-2024,19:00,Huracán,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,36,14,Huracán,Ignacio Pussetto,0.9,-0.84,-1.0,,,,,
13-04-2024,19:00,Huracán,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,45,9,Atlético Tucumán,Juan José Infante,0.67,0.63,-1.0,,,,,
13-04-2024,19:00,Huracán,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,56,13,Huracán,César Ibáñez,0.73,0.03,-1.0,,,,,
13-04-2024,19:00,Huracán,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,59,31,Huracán,Rodrigo Cabral,0.03,0.19,-1.0,,,,,
13-04-2024,19:00,Huracán,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,63,0,Atlético Tucumán,Agustín Lagos,-0.24,0.65,-1.0,,,,,
13-04-2024,19:00,Huracán,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,71,3,Huracán,Rodrigo Cabral,-0.79,0.83,-1.0,,,,,
13-04-2024,19:00,Huracán,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,71,41,Huracán,César Ibáñez,0.95,0.71,-1.0,,,,,
13-04-2024,19:00,Huracán,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,72,33,Atlético Tucumán,Juan José Infante,-0.56,-0.88,-1.0,,,,,
13-04-2024,19:00,Huracán,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,74,44,Huracán,Fabio Pereyra,0.82,-0.55,-1.0,,,,,
13-04-2024,19:00,Huracán,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,1,28,Atlético Tucumán,Renzo Tesuri,0.22,-0.58,-1.0,Rodrigo Cabral,,,,
13-04-2024,19:00,Huracán,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,1,51,Atlético Tucumán,Juan José Infante,0.39,0.33,-1.0,Walter Mazzantti,,,,
13-04-2024,19:00,Huracán,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,4,41,Atlético Tucumán,Adrián Sánchez,0.27,0.57,-1.0,Williams Alarcón,,,,
13-04-2024,19:00,Huracán,Atlético Tucumán,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,7,30,Huracán,Rodrigo Echeverría,-0.34,-0.81,-1.0,Agustín Lagos,,,,
