date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
13-04-2024,17:00,Tigre,Unión,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,1,7,Tigre,Agustín Cardozo,-0.09,0.37,-1.0,,,,,
13-04-2024,17:00,Tigre,Unión,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,5,24,Unión,Enzo Roldán,0.14,0.42,-1.0,,,,,
13-04-2024,17:00,Tigre,Unión,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,5,39,Unión,Enzo Roldán,-0.16,0.8,-1.0,,,,,
13-04-2024,17:00,Tigre,Unión,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,5,41,Tigre,Martín Ortega,-0.16,0.74,-1.0,,,,,
13-04-2024,17:00,Tigre,Unión,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,7,3,Unión,Bruno Pittón,0.5,0.7,-1.0,,,,,
13-04-2024,17:00,Tigre,Unión,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,8,55,Unión,Nicolás Orsini,0.69,-0.85,-1.0,,,,,
13-04-2024,17:00,Tigre,Unión,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,8,48,Tigre,Tomás Galván,0.22,-0.46,-1.0,,,,,
13-04-2024,17:00,Tigre,Unión,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,12,59,Unión,Joaquín Mosqueira,0.04,0.4,-1.0,,,,,
13-04-2024,17:00,Tigre,Unión,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,15,24,Tigre,Martín Ortega,-0.88,0.76,-1.0,,,,,
13-04-2024,17:00,Tigre,Unión,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,18,1,Tigre,Juan Cruz Esquivel,0.22,-0.05,-1.0,,,,,
13-04-2024,17:00,Tigre,Unión,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,21,41,Tigre,Juan Manuel Sánchez Miño,0.06,0.31,-1.0,,,,,
13-04-2024,17:00,Tigre,Unión,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,22,43,Unión,Mauro Pittón,0.58,-0.77,-1.0,,,,,
13-04-2024,17:00,Tigre,Unión,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,24,42,Tigre,Gian Nardelli,0.11,-0.41,-1.0,,,,,
13-04-2024,17:00,Tigre,Unión,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,29,38,Tigre,Juan Manuel Sánchez Miño,0.04,-0.34,-1.0,,,,,
