date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,1,13,Central Córdoba (SE),Rodrigo Atencio,-0.29,-0.39,-1.0,,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,3,37,Central Córdoba (SE),Fernando Torrent,-0.72,0.78,-1.0,,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,16,20,Central Córdoba (SE),Thiago Nuss,0.4,0.84,-1.0,,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,24,54,Central Córdoba (SE),Thiago Nuss,-0.08,0.5,-1.0,,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,25,27,Central Córdoba (SE),Juan Andrés Meli,0.37,-0.9,-1.0,,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,28,20,San Lorenzo,Jhohan Romaña,0.57,-0.79,-1.0,,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,29,20,Central Córdoba (SE),Thiago Nuss,-0.63,0.87,-1.0,,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,42,8,Central Córdoba (SE),Mateo Sanabria,0.39,-0.37,-1.0,,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,42,27,Central Córdoba (SE),Thiago Nuss,-0.33,0.51,-1.0,,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,42,52,Central Córdoba (SE),Thiago Nuss,-0.41,0.09,-1.0,,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,45,1,Central Córdoba (SE),Mateo Sanabria,-0.13,-0.87,-1.0,,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,45,31,Central Córdoba (SE),Fernando Torrent,-0.54,0.85,-1.0,,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,46,31,Central Córdoba (SE),Mateo Sanabria,0.37,-0.9,-1.0,,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,2,58,49,Central Córdoba (SE),Dardo Miloc,0.34,-0.44,-1.0,,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,2,82,6,Central Córdoba (SE),Thiago Nuss,0.02,-0.7,-1.0,,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,0,31,Central Córdoba (SE),Thiago Nuss,0.15,0.81,-1.0,Malcom Braida,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,3,13,Central Córdoba (SE),Federico Andueza,-0.38,0.0,-1.0,Adam Bareiro,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,4,45,San Lorenzo,Gastón Campi,0.46,0.66,-1.0,Tomás Molina,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,6,25,Central Córdoba (SE),Dardo Miloc,0.28,-0.7,-1.0,Elián Irala,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,7,17,San Lorenzo,Francisco Perruzzi,0.36,-0.56,-1.0,Tomás Molina,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,9,34,San Lorenzo,Malcom Braida,-0.94,0.47,-1.0,,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,19,51,Central Córdoba (SE),Dardo Miloc,-0.22,0.39,-1.0,Malcom Braida,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,30,45,Central Córdoba (SE),Dardo Miloc,0.31,-0.87,-1.0,Tobías Medina,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,36,33,San Lorenzo,Nahuel Barrios,0.4,0.24,-1.0,Fernando Torrent,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,37,47,San Lorenzo,Elián Irala,0.29,-0.82,-1.0,Juan Andrés Meli,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,44,40,Central Córdoba (SE),Thiago Nuss,-0.3,0.67,-1.0,Tobías Medina,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,2,45,54,Central Córdoba (SE),Dardo Miloc,-0.17,0.18,-1.0,Elián Irala,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,2,48,18,San Lorenzo,Jhohan Romaña,-0.3,0.41,-1.0,Rodrigo Atencio,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,2,50,49,Central Córdoba (SE),Juan Andrés Meli,0.52,0.84,-1.0,Tobías Medina,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,2,55,7,Central Córdoba (SE),Mateo Sanabria,-0.39,0.86,-1.0,Jhohan Romaña,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,2,56,44,San Lorenzo,Eric Remedi,-0.43,0.34,-1.0,,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,2,61,30,Central Córdoba (SE),Enzo Kalinski,0.4,-0.25,-1.0,Eric Remedi,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,2,63,11,San Lorenzo,Eric Remedi,-0.34,0.57,-1.0,Mateo Sanabria,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,2,72,21,San Lorenzo,Cristian Tarragona,0.5,0.61,-1.0,,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,2,73,43,San Lorenzo,Iván Leguizamón,0.48,0.64,-1.0,Juan Andrés Meli,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,2,74,49,Central Córdoba (SE),Enzo Kalinski,0.43,0.13,-1.0,Eric Remedi,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,2,77,48,Central Córdoba (SE),Thiago Nuss,0.34,-0.59,-1.0,Ezequiel Cerutti,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,2,81,16,San Lorenzo,Ezequiel Cerutti,0.72,-0.3,-1.0,José Gómez,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,2,91,33,Central Córdoba (SE),Camilo  Viganoni,0.21,0.29,-1.0,Jhohan Romaña,,,,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,shot,1,12,35,San Lorenzo,Malcom Braida,-0.87,0.44,-1.0,Luis Ingolotti,-0.93,0.26,0.53,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,shot,1,20,57,San Lorenzo,Jhohan Romaña,-0.71,-0.12,-1.0,,-0.99,-0.35,-1.0,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,shot,1,22,3,San Lorenzo,Adam Bareiro,-0.71,0.06,-1.0,,-0.98,-0.01,-1.0,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,shot,1,25,42,Central Córdoba (SE),Thiago Nuss,0.63,0.59,-1.0,Malcom Braida,0.72,0.38,0.55,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,shot,1,46,42,Central Córdoba (SE),Thiago Nuss,0.61,0.46,-1.0,,0.99,0.01,-1.0,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,shot,1,45,0,Central Córdoba (SE),Rodrigo Atencio,0.91,0.02,-1.0,,0.93,0.25,-1.0,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,shot,2,51,29,San Lorenzo,Gonzalo Luján,0.72,0.34,-1.0,,0.98,0.05,-1.0,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,shot,2,52,52,San Lorenzo,Tobías Medina,0.67,0.26,-1.0,Ignacio Galván,0.81,0.01,0.64,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,shot,2,53,22,San Lorenzo,Elián Irala,0.45,0.0,-1.0,Enzo Kalinski,0.57,-0.1,0.49,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,shot,2,53,35,San Lorenzo,Francisco Perruzzi,0.43,0.18,-1.0,,0.99,0.24,-1.0,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,shot,2,54,31,San Lorenzo,Tobías Medina,0.53,0.26,-1.0,Luis Ingolotti,0.94,0.14,0.27,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,shot,2,64,9,Central Córdoba (SE),Enzo Kalinski,-0.76,0.04,-1.0,,-1.0,0.07,-1.0,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,shot,2,69,4,San Lorenzo,Cristian Tarragona,0.8,0.02,-1.0,,1.0,-0.07,-1.0,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,shot,2,70,47,San Lorenzo,Iván Leguizamón,0.56,0.56,-1.0,Luis Ingolotti,0.98,0.03,0.6,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,shot,2,80,21,Central Córdoba (SE),Matías Godoy,-0.8,0.06,-1.0,,-1.0,-0.17,-1.0,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,shot,2,84,30,San Lorenzo,Cristian Tarragona,0.5,0.18,-1.0,,0.95,0.12,-1.0,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,shot,2,87,22,San Lorenzo,Diego Herazo,0.7,-0.15,-1.0,Luis Ingolotti,0.99,0.03,0.08,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,shot,2,90,7,San Lorenzo,Diego Herazo,0.81,0.33,-1.0,Luis Ingolotti,0.88,0.18,0.26,
14-04-2024,20:00,Central Córdoba (SE),San Lorenzo,Argentina - Copa LPF 2024,Único Madre de Ciudades,shot,2,90,22,San Lorenzo,Iván Leguizamón,0.77,0.38,-1.0,Ignacio Galván,0.85,0.27,0.33,
