date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,4,50,Gimnasia,Juan Pintado,0.25,0.72,-1.0,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,10,14,Gimnasia,Juan Pintado,-0.46,0.7,-1.0,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,16,9,Gimnasia,Federico Milo,0.04,-0.72,-1.0,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,17,26,Gimnasia,Juan Pintado,0.37,0.9,-1.0,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,17,43,Gimnasia,Federico Milo,0.77,-0.75,-1.0,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,22,48,Banfield,Aarón Quirós,0.55,0.31,-1.0,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,25,39,Gimnasia,Benjamín Domínguez,-0.4,0.42,-1.0,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,26,39,Gimnasia,Felipe Sánchez,-0.41,-0.54,-1.0,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,31,34,Gimnasia,Juan Pintado,-0.12,0.76,-1.0,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,35,54,Gimnasia,Juan Pintado,-0.86,0.66,-1.0,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,37,21,Banfield,Juan Pablo Álvarez,0.11,-0.45,-1.0,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,38,5,Banfield,Aarón Quirós,-0.52,0.58,-1.0,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,38,56,Banfield,Ezequiel Bonifacio,-0.07,-0.75,-1.0,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,40,3,Gimnasia,Pablo De Blasis,-0.39,0.08,-1.0,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,44,3,Gimnasia,Rodrigo Castillo,-0.44,-0.34,-1.0,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,45,29,Banfield,Ezequiel Bonifacio,-0.2,-0.44,-1.0,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,47,21,Banfield,Cristian Núñez,0.21,0.33,-1.0,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,48,42,Gimnasia,Juan Pintado,0.7,-0.59,-1.0,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,56,12,Banfield,Ezequiel Bonifacio,-0.09,0.67,-1.0,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,56,11,Gimnasia,Felipe Sánchez,0.48,0.35,-1.0,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,64,42,Gimnasia,Nicolás Colazo,0.78,0.79,-1.0,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,64,55,Gimnasia,Benjamín Domínguez,0.04,0.63,-1.0,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,67,49,Banfield,,0.14,-0.71,-1.0,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,82,16,Gimnasia,Eric Ramírez,-0.3,-0.49,-1.0,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,82,22,Gimnasia,Juan Pintado,-0.23,-0.76,-1.0,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,83,36,Gimnasia,Agustín Bolívar,0.16,0.33,-1.0,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,89,46,Gimnasia,Felipe Sánchez,0.57,-0.02,-1.0,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,7,10,Banfield,Milton Giménez,-0.9,0.08,-1.0,Nelson Insfrán,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,13,47,Gimnasia,Lucas Castro,-0.09,0.2,-1.0,Jesús Soraire,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,21,5,Banfield,,0.52,0.85,-1.0,Juan Pintado,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,25,48,Gimnasia,Rodrigo Saravia,0.45,-0.47,-1.0,Ezequiel Bonifacio,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,29,2,Banfield,Juan Pablo Álvarez,-0.42,-0.54,-1.0,Felipe Sánchez,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,36,48,Banfield,Juan Pablo Álvarez,-0.21,-0.73,-1.0,Benjamín Domínguez,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,39,25,Gimnasia,Leonardo Morales,-0.32,-0.52,-1.0,Bruno Sepúlveda,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,40,15,Gimnasia,Juan Pintado,0.93,0.25,-1.0,Aarón Quirós,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,43,2,Banfield,Yvo Calleros,0.36,-0.77,-1.0,Federico Milo,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,45,33,Gimnasia,Lucas Castro,-0.36,-0.67,-1.0,Ezequiel Bonifacio,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,47,48,Banfield,Cristian Núñez,,,,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,58,26,Banfield,Ignacio Rodríguez,0.38,-0.7,-1.0,Juan Pintado,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,62,40,Gimnasia,Lucas Castro,,,,,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,63,51,Gimnasia,Rodrigo Castillo,0.36,0.2,-1.0,Ezequiel Bonifacio,,,,
14-04-2024,18:15,Gimnasia,Banfield,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,2,66,15,Banfield,Milton Giménez,-0.25,0.54,-1.0,Benjamín Domínguez,,,,
