date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,1,0,35,Sarmiento,Elías López,-0.25,0.75,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,1,5,34,Sarmiento,Fernando Godoy,0.17,-0.06,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,1,10,37,Platense,Fernando Juárez,0.31,0.36,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,1,15,43,Sarmiento,Gabriel Díaz,-0.4,-0.54,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,1,15,54,Platense,Leonel Picco,0.78,0.78,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,1,19,3,Sarmiento,Fernando Godoy,-0.36,0.35,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,1,21,10,Sarmiento,Elías López,0.41,0.38,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,1,21,3,Platense,Fernando Juárez,0.38,-0.42,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,1,35,28,Sarmiento,Juan Cruz Guasone,-0.79,0.68,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,1,38,20,Sarmiento,Elías López,-0.71,0.77,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,1,41,15,Platense,Ignacio Vázquez,0.52,-0.85,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,1,45,17,Platense,Carlos Villalba,-0.48,0.17,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,1,46,0,Platense,Ignacio Vázquez,-0.12,-0.83,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,1,46,32,Sarmiento,Elías López,-0.47,0.72,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,2,45,22,Sarmiento,Alfredo Amarilla,-0.2,0.03,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,2,46,51,Sarmiento,Gabriel Díaz,0.41,0.44,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,2,51,17,Sarmiento,Tomás Guiacobini,0.72,-0.63,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,2,52,30,Sarmiento,Juan Cruz Guasone,0.45,-0.13,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,2,56,6,Platense,Sasha Marcich,-0.63,-0.57,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,2,65,2,Sarmiento,Yair Arismendi,-0.42,0.67,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,2,65,55,Platense,Ignacio Vázquez,-0.81,0.74,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,2,72,0,Sarmiento,Yair Arismendi,0.4,0.68,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,2,71,49,Platense,Luis Miguel Angulo,-0.4,-0.12,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,2,72,13,Platense,Lisandro Montenegro,0.36,0.3,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,2,72,35,Platense,Leonel Picco,-0.45,-0.59,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,2,72,55,Platense,Fernando Juárez,-0.59,-0.13,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,2,73,16,Sarmiento,Tomás Guiacobini,0.33,-0.58,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,2,74,19,Sarmiento,Juan Cruz Guasone,0.68,0.2,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,2,74,43,Platense,Leonel Picco,0.09,-0.04,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,2,75,37,Platense,Fernando Juárez,0.42,-0.28,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,2,79,26,Sarmiento,Yair Arismendi,0.35,0.84,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,2,80,33,Platense,Juan Ignacio Saborido,-0.11,0.69,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,2,81,29,Platense,Fernando Juárez,0.14,0.75,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,2,83,5,Sarmiento,Juan Cruz Guasone,0.74,-0.6,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,2,89,6,Sarmiento,Gabriel Díaz,0.35,0.71,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,2,89,2,Platense,Juan Ignacio Saborido,-0.25,0.69,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,steal,2,46,47,Platense,Fernando Juárez,0.26,0.62,-1.0,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,foul,1,2,53,Sarmiento,Fernando Godoy,-0.27,0.76,-1.0,Agustín Ocampo,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,foul,1,4,51,Platense,Juan Ignacio Saborido,-0.16,-0.83,-1.0,Sergio Quiroga,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,foul,1,11,20,Platense,Carlos Villalba,-0.23,-0.37,-1.0,Iván Morales,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,foul,1,12,29,Sarmiento,Joaquín Gho,0.23,-0.27,-1.0,Ignacio Vázquez,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,foul,1,19,15,Sarmiento,Sergio Quiroga,-0.2,0.05,-1.0,Fernando Juárez,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,foul,1,23,3,Platense,Carlos Villalba,-0.05,-0.14,-1.0,Manuel Mónaco,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,foul,1,26,58,Platense,Sasha Marcich,-0.94,0.52,-1.0,Fernando Godoy,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,foul,1,38,17,Platense,Agustín Ocampo,-0.7,0.79,-1.0,Elías López,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,foul,1,32,30,Sarmiento,Sergio Quiroga,0.31,-0.36,-1.0,Ignacio Vázquez,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,foul,2,45,38,Platense,Leonel Picco,-0.17,0.03,-1.0,Juan Manuel Insaurralde,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,foul,2,47,0,Sarmiento,Tomás Guiacobini,-0.1,0.6,-1.0,Juan Ignacio Saborido,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,foul,2,53,26,Sarmiento,David Gallardo,0.47,-0.9,-1.0,Sasha Marcich,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,foul,2,56,28,Sarmiento,Tomás Guiacobini,-0.15,-0.8,-1.0,Agustín Ocampo,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,foul,2,66,21,Sarmiento,Juan Manuel Insaurralde,0.31,0.66,-1.0,Lisandro Montenegro,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,foul,2,70,50,Platense,Luis Miguel Angulo,,,,,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,foul,2,73,29,Sarmiento,Alfredo Amarilla,-0.11,-0.62,-1.0,Carlos Villalba,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,foul,2,74,17,Platense,Mateo Pellegrino,0.71,0.19,-1.0,Juan Cruz Guasone,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,foul,2,76,26,Platense,Lisandro Montenegro,-0.47,0.82,-1.0,Yair Arismendi,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,foul,2,80,14,Platense,Sasha Marcich,0.01,-0.46,-1.0,Agustín Molina,,,,
14-04-2024,16:00,Sarmiento,Platense,Argentina - Copa LPF 2024,Eva Perón,foul,2,84,7,Platense,Leonel Picco,0.31,0.73,-1.0,David Gallardo,,,,
