date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
15-04-2024,20:00,Argentinos Juniors,Barracas Central,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,4,40,Argentinos Juniors,Román Vega,-0.42,-0.79,-1.0,,,,,
15-04-2024,20:00,Argentinos Juniors,Barracas Central,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,9,5,Argentinos Juniors,Franco Moyano,0.21,-0.09,-1.0,,,,,
15-04-2024,20:00,Argentinos Juniors,Barracas Central,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,12,1,Barracas Central,Rodrigo Herrera,0.41,0.26,-1.0,,,,,
15-04-2024,20:00,Argentinos Juniors,Barracas Central,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,13,48,Argentinos Juniors,Francisco Álvarez,-0.84,0.66,-1.0,,,,,
15-04-2024,20:00,Argentinos Juniors,Barracas Central,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,15,16,Barracas Central,Nicolás Capraro,0.34,0.13,-1.0,,,,,
15-04-2024,20:00,Argentinos Juniors,Barracas Central,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,18,55,Argentinos Juniors,Fernando Meza,-0.52,0.61,-1.0,,,,,
15-04-2024,20:00,Argentinos Juniors,Barracas Central,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,22,20,Argentinos Juniors,Nicolás Oroz,-0.43,-0.16,-1.0,,,,,
15-04-2024,20:00,Argentinos Juniors,Barracas Central,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,22,19,Barracas Central,Facundo Mater,-0.21,-0.65,-1.0,,,,,
15-04-2024,20:00,Argentinos Juniors,Barracas Central,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,23,5,Argentinos Juniors,Franco Moyano,0.15,-0.27,-1.0,,,,,
15-04-2024,20:00,Argentinos Juniors,Barracas Central,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,25,5,Barracas Central,Rodrigo Herrera,0.42,-0.71,-1.0,,,,,
15-04-2024,20:00,Argentinos Juniors,Barracas Central,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,29,5,Argentinos Juniors,José María Herrera,0.68,-0.74,-1.0,,,,,
