date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
15-04-2024,20:00,Independiente Riv. (M),Vélez,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,0,15,Vélez,Joaquín García,0.49,-0.81,-1.0,,,,,
15-04-2024,20:00,Independiente Riv. (M),Vélez,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,0,23,Independiente Riv. (M),Matías Reali,0.18,-0.91,-1.0,,,,,
15-04-2024,20:00,Independiente Riv. (M),Vélez,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,6,32,Independiente Riv. (M),Matías Ruiz Díaz,-0.2,0.73,-1.0,,,,,
15-04-2024,20:00,Independiente Riv. (M),Vélez,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,13,33,Independiente Riv. (M),Álvaro Dionisio,0.15,0.89,-1.0,,,,,
15-04-2024,20:00,Independiente Riv. (M),Vélez,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,14,43,Vélez,Joaquín García,0.31,-0.86,-1.0,,,,,
15-04-2024,20:00,Independiente Riv. (M),Vélez,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,18,48,Independiente Riv. (M),Matías Reali,0.52,-0.13,-1.0,,,,,
15-04-2024,20:00,Independiente Riv. (M),Vélez,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,20,43,Independiente Riv. (M),Ezequiel Ham,-0.42,-0.31,-1.0,,,,,
15-04-2024,20:00,Independiente Riv. (M),Vélez,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,24,32,Vélez,Thiago Fernández,-0.2,0.06,-1.0,,,,,
15-04-2024,20:00,Independiente Riv. (M),Vélez,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,25,22,Vélez,Agustín Bouzat,-0.16,-0.13,-1.0,,,,,
15-04-2024,20:00,Independiente Riv. (M),Vélez,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,45,35,Vélez,Joaquín García,0.5,-0.9,-1.0,,,,,
