date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,steal,1,5,53,Independiente,Joaquín Laso,-0.4,0.72,-1.0,,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,steal,1,9,46,Independiente,Mauricio Isla,-0.55,0.5,-1.0,,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,steal,1,9,57,Independiente,Ayrton Costa,-0.58,-0.73,-1.0,,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,steal,1,11,4,Independiente,Mauricio Isla,0.34,0.58,-1.0,,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,steal,1,15,32,Independiente,David Martínez,-0.03,-0.15,-1.0,,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,steal,1,26,2,Independiente,Ayrton Costa,-0.38,-0.37,-1.0,,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,steal,1,28,54,Independiente,Mauricio Isla,-0.34,0.49,-1.0,,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,steal,2,52,57,Independiente,David Martínez,0.6,-0.35,-1.0,,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,steal,2,54,34,Independiente,Iván Marcone,-0.33,0.34,-1.0,,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,steal,2,64,15,Independiente,Adrián Spörle,-0.2,-0.03,-1.0,,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,steal,2,73,23,Independiente,Alex Luna,-0.03,0.05,-1.0,,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,steal,2,74,57,Independiente,Federico Mancuello,0.32,0.17,-1.0,,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,steal,2,81,34,Independiente,Diego Tarzia,0.56,0.76,-1.0,,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,steal,2,93,29,Independiente,Alex Luna,0.07,0.03,-1.0,,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,foul,1,2,0,Talleres,Matías Catalán,0.44,0.68,-1.0,Lucas González,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,foul,1,3,37,Talleres,Marcos Portillo,0.07,0.38,-1.0,David Martínez,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,foul,1,6,27,Talleres,Ulises Ortegoza,0.22,-0.5,-1.0,Lucas González,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,foul,1,17,42,Talleres,Marcos Portillo,0.12,0.41,-1.0,David Martínez,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,foul,1,22,35,Talleres,Juan Gabriel Rodríguez,0.37,-0.14,-1.0,Alexis Canelo,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,foul,1,28,59,Talleres,Miguel Ángel Navarro,-0.28,0.83,-1.0,David Martínez,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,foul,1,29,42,Independiente,Gabriel Ávalos,0.36,0.02,-1.0,Ulises Ortegoza,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,foul,1,30,28,Independiente,Ayrton Costa,-0.37,-0.78,-1.0,Gastón Benavídez,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,foul,1,38,51,Independiente,Gabriel Ávalos,0.32,0.63,-1.0,Kevin Mantilla,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,foul,1,42,23,Independiente,David Martínez,0.38,0.35,-1.0,Juan Camilo Portilla,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,foul,1,43,16,Independiente,Ayrton Costa,-0.36,-0.1,-1.0,Rubén Botta,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,foul,1,45,44,Talleres,Miguel Ángel Navarro,,,,,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,foul,1,21,15,Talleres,Ulises Ortegoza,0.24,-0.81,-1.0,Ayrton Costa,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,foul,2,50,7,Independiente,Adrián Spörle,0.37,0.28,-1.0,Ramiro Ruiz Rodríguez,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,foul,2,53,24,Talleres,Ulises Ortegoza,-0.21,-0.69,-1.0,David Martínez,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,foul,2,54,48,Independiente,David Martínez,-0.42,0.26,-1.0,Ulises Ortegoza,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,foul,2,73,23,Talleres,Ulises Ortegoza,-0.08,-0.02,-1.0,Alex Luna,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,foul,2,76,35,Talleres,Gustavo Bou,0.0,0.62,-1.0,Juan Manuel Fedorco,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,foul,2,78,22,Talleres,Rubén Botta,-0.2,0.86,-1.0,Alex Luna,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,foul,2,79,14,Independiente,Adrián Spörle,-0.07,0.72,-1.0,Nahuel Bustos,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,foul,2,80,34,Talleres,Gastón Benavídez,0.58,0.34,-1.0,Alex Luna,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,foul,2,87,56,Talleres,Gastón Benavídez,0.3,0.86,-1.0,Alex Luna,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,foul,2,95,40,Independiente,Juan Manuel Fedorco,,,,,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,foul,2,96,24,Independiente,Alex Luna,-0.31,0.46,-1.0,Gastón Benavídez,,,,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,shot,1,0,45,Independiente,Lucas González,0.68,0.3,-1.0,,0.99,-0.54,-1.0,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,shot,1,2,58,Independiente,Ayrton Costa,0.82,-0.27,-1.0,,0.99,-0.05,-1.0,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,shot,1,12,13,Talleres,Federico Girotti,-0.79,-0.4,-1.0,Rodrigo Rey,-0.94,-0.15,0.22,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,shot,1,13,57,Independiente,Gabriel Ávalos,0.75,-0.06,-1.0,,0.98,0.32,-1.0,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,shot,1,18,47,Talleres,Rubén Botta,-0.49,-0.11,-1.0,Rodrigo Rey,-0.99,-0.02,0.19,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,shot,1,20,9,Independiente,Lucas González,0.44,0.08,-1.0,Juan Gabriel Rodríguez,0.71,-0.02,0.4,
15-04-2024,20:00,Independiente,Talleres,Argentina - Copa LPF 2024,Libertadores de América,shot,1,25,23,Independiente,Lucas González,0.4,-0.06,-1.0,,1.0,-0.22,-1.0,
