date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
15-04-2024,20:00,Instituto,River Plate,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,2,21,Instituto,Damián Puebla,-0.26,-0.63,-1.0,,,,,
15-04-2024,20:00,Instituto,River Plate,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,4,26,River Plate,Facundo Colidio,-0.13,-0.13,-1.0,,,,,
15-04-2024,20:00,Instituto,River Plate,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,12,22,River Plate,Rodrigo Aliendro,0.25,0.58,-1.0,,,,,
15-04-2024,20:00,Instituto,River Plate,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,12,45,Instituto,Miguel Brizuela,-0.16,-0.39,-1.0,,,,,
15-04-2024,20:00,Instituto,River Plate,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,14,46,River Plate,Enzo Díaz,-0.81,0.85,-1.0,,,,,
15-04-2024,20:00,Instituto,River Plate,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,14,44,Instituto,Juan José Franco,-0.8,0.61,-1.0,,,,,
15-04-2024,20:00,Instituto,River Plate,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,18,4,River Plate,Ignacio Fernández,-0.39,-0.67,-1.0,,,,,
15-04-2024,20:00,Instituto,River Plate,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,27,20,River Plate,Ignacio Fernández,-0.09,-0.67,-1.0,,,,,
15-04-2024,20:00,Instituto,River Plate,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,33,33,River Plate,Leandro González Pirez,0.38,0.16,-1.0,,,,,
15-04-2024,20:00,Instituto,River Plate,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,35,57,River Plate,Rodrigo Aliendro,-0.09,0.63,-1.0,,,,,
15-04-2024,20:00,Instituto,River Plate,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,36,9,River Plate,Pablo Solari,-0.47,-0.36,-1.0,,,,,
15-04-2024,20:00,Instituto,River Plate,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,40,28,Instituto,Miguel Brizuela,-0.21,-0.58,-1.0,,,,,
15-04-2024,20:00,Instituto,River Plate,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,45,20,Instituto,Gastón Lodico,-0.02,0.42,-1.0,,,,,
15-04-2024,20:00,Instituto,River Plate,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,2,49,47,Instituto,Fernando Alarcón,0.82,-0.43,-1.0,,,,,
15-04-2024,20:00,Instituto,River Plate,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,2,59,41,River Plate,Ignacio Fernández,0.47,0.02,-1.0,,,,,
15-04-2024,20:00,Instituto,River Plate,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,2,64,15,Instituto,Fernando Alarcón,0.34,-0.69,-1.0,,,,,
15-04-2024,20:00,Instituto,River Plate,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,2,67,38,Instituto,Juan José Franco,0.48,-0.87,-1.0,,,,,
15-04-2024,20:00,Instituto,River Plate,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,2,70,54,River Plate,Daniel Zabala,-0.59,-0.29,-1.0,,,,,
15-04-2024,20:00,Instituto,River Plate,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,2,76,28,River Plate,Matías Kranevitter,-0.49,0.21,-1.0,,,,,
15-04-2024,20:00,Instituto,River Plate,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,2,76,40,Instituto,Miguel Brizuela,0.75,-0.81,-1.0,,,,,
15-04-2024,20:00,Instituto,River Plate,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,2,81,15,Instituto,Juan José Franco,-0.02,-0.75,-1.0,,,,,
15-04-2024,20:00,Instituto,River Plate,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,2,84,15,Instituto,Juan José Franco,0.29,-0.61,-1.0,,,,,
15-04-2024,20:00,Instituto,River Plate,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,2,88,56,Instituto,Miguel Brizuela,0.43,0.53,-1.0,,,,,
15-04-2024,20:00,Instituto,River Plate,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,2,89,41,Instituto,Silvio Romero,-0.55,0.45,-1.0,,,,,
15-04-2024,20:00,Instituto,River Plate,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,2,92,15,Instituto,Roberto Bochi,0.07,-0.72,-1.0,,,,,
