date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
16-04-2024,19:30,Belgrano,Racing Club,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,21,48,Racing Club,Santiago Solari,0.08,0.88,-1.0,,,,,
16-04-2024,19:30,Belgrano,Racing Club,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,31,58,Racing Club,Facundo Mura,0.77,0.58,-1.0,,,,,
16-04-2024,19:30,Belgrano,Racing Club,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,35,37,Racing Club,Facundo Mura,0.23,0.8,-1.0,,,,,
16-04-2024,19:30,Belgrano,Racing Club,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,37,19,Racing Club,Agustín Almendra,0.56,-0.67,-1.0,,,,,
16-04-2024,19:30,Belgrano,Racing Club,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,42,55,Racing Club,Gastón Martirena,0.94,-0.55,-1.0,,,,,
16-04-2024,19:30,Belgrano,Racing Club,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,47,9,Racing Club,Marco Di Césare,0.38,-0.83,-1.0,,,,,
16-04-2024,19:30,Belgrano,Racing Club,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,52,1,Racing Club,Adrián Martínez,-0.12,-0.15,-1.0,,,,,
16-04-2024,19:30,Belgrano,Racing Club,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,54,44,Racing Club,Santiago Sosa,-0.43,-0.1,-1.0,,,,,
16-04-2024,19:30,Belgrano,Racing Club,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,55,30,Racing Club,Agustín Almendra,-0.4,0.71,-1.0,,,,,
16-04-2024,19:30,Belgrano,Racing Club,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,56,30,Racing Club,Agustín Almendra,-0.67,-0.79,-1.0,,,,,
16-04-2024,19:30,Belgrano,Racing Club,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,56,41,Racing Club,Bruno Zuculini,-0.42,-0.41,-1.0,,,,,
16-04-2024,19:30,Belgrano,Racing Club,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,75,29,Racing Club,Santiago Sosa,-0.34,-0.72,-1.0,,,,,
