date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
16-04-2024,19:30,Boca Juniors,Godoy Cruz,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,0,26,Godoy Cruz,Facundo Altamira,0.63,-0.62,-1.0,,,,,
16-04-2024,19:30,Boca Juniors,Godoy Cruz,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,0,27,Boca Juniors,Ezequiel Fernández,0.02,-0.65,-1.0,,,,,
16-04-2024,19:30,Boca Juniors,Godoy Cruz,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,1,4,Boca Juniors,Cristian Medina,0.53,0.59,-1.0,,,,,
16-04-2024,19:30,Boca Juniors,Godoy Cruz,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,3,31,Godoy Cruz,Tomás Badaloni,0.32,-0.52,-1.0,,,,,
16-04-2024,19:30,Boca Juniors,Godoy Cruz,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,4,38,Godoy Cruz,Pier Barrios,0.49,-0.22,-1.0,,,,,
16-04-2024,19:30,Boca Juniors,Godoy Cruz,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,4,59,Boca Juniors,Edinson Cavani,-0.48,0.71,-1.0,,,,,
16-04-2024,19:30,Boca Juniors,Godoy Cruz,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,6,38,Boca Juniors,Ezequiel Fernández,0.14,-0.42,-1.0,,,,,
16-04-2024,19:30,Boca Juniors,Godoy Cruz,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,7,36,Boca Juniors,Ezequiel Fernández,0.26,0.65,-1.0,,,,,
16-04-2024,19:30,Boca Juniors,Godoy Cruz,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,9,15,Godoy Cruz,Federico Rasmussen,0.47,0.62,-1.0,,,,,
16-04-2024,19:30,Boca Juniors,Godoy Cruz,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,19,39,Boca Juniors,Guillermo Fernández,-0.64,0.47,-1.0,,,,,
16-04-2024,19:30,Boca Juniors,Godoy Cruz,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,21,39,Godoy Cruz,Tomás Conechny,0.7,-0.42,-1.0,,,,,
16-04-2024,19:30,Boca Juniors,Godoy Cruz,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,23,48,Boca Juniors,Marcos Rojo,-0.9,-0.71,-1.0,,,,,
16-04-2024,19:30,Boca Juniors,Godoy Cruz,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,24,11,Godoy Cruz,Hernán López Muñoz,-0.24,-0.24,-1.0,,,,,
