date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,steal,1,0,26,Defensa y Justicia,Luciano Herrera,-0.14,0.11,-1.0,,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,steal,1,7,6,Newell`s,Francisco González,0.07,0.66,-1.0,,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,steal,1,20,7,Defensa y Justicia,Alexis Soto,-0.02,0.47,-1.0,,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,steal,1,30,17,Defensa y Justicia,Nicolás Tripichio,0.61,0.61,-1.0,,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,steal,1,32,1,Newell`s,Ever Banega,0.16,0.39,-1.0,,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,steal,1,32,4,Defensa y Justicia,Nicolás Tripichio,-0.07,0.58,-1.0,,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,steal,1,39,28,Newell`s,Armando Méndez,0.29,-0.44,-1.0,,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,steal,2,45,37,Newell`s,Armando Méndez,-0.36,0.73,-1.0,,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,steal,2,47,26,Defensa y Justicia,Darío Cáceres,0.15,0.41,-1.0,,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,steal,2,48,22,Newell`s,Víctor Velázquez,-0.31,-0.21,-1.0,,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,steal,2,73,57,Defensa y Justicia,Julián López,-0.02,-0.16,-1.0,,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,steal,2,84,33,Defensa y Justicia,Alexis Soto,0.87,0.74,-1.0,,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,steal,2,90,0,Defensa y Justicia,Rodrigo Bogarín,0.53,0.76,-1.0,,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,steal,2,90,48,Defensa y Justicia,Alexis Soto,0.58,0.35,-1.0,,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,steal,2,91,56,Newell`s,Brian Calderara,-0.33,0.79,-1.0,,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,foul,1,0,26,Defensa y Justicia,Julián López,-0.24,-0.36,-1.0,Ever Banega,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,foul,1,10,42,Defensa y Justicia,Gabriel Alanís,0.36,0.74,-1.0,Francisco González,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,foul,1,13,24,Newell`s,Francisco González,0.31,0.53,-1.0,Julián López,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,foul,1,18,37,Newell`s,Julián Fernández,0.4,-0.44,-1.0,Luciano Herrera,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,foul,1,28,41,Newell`s,Juan Ignacio Ramírez,-0.25,-0.13,-1.0,Santiago Ramos Mingo,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,foul,1,32,14,Newell`s,Julián Fernández,-0.04,0.18,-1.0,Rodrigo Bogarín,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,foul,1,34,19,Defensa y Justicia,Esteban Burgos,-0.24,0.49,-1.0,Juan Ignacio Ramírez,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,foul,1,36,7,Newell`s,Víctor Velázquez,0.38,0.7,-1.0,Gabriel Alanís,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,foul,1,44,18,Defensa y Justicia,Gabriel Alanís,-0.89,0.74,-1.0,Francisco González,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,foul,1,45,21,Defensa y Justicia,Julián López,-0.26,-0.12,-1.0,Julián Fernández,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,foul,2,45,46,Defensa y Justicia,Julián López,0.12,0.42,-1.0,Armando Méndez,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,foul,2,48,38,Newell`s,Julián Fernández,0.26,0.3,-1.0,Luciano Herrera,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,foul,2,49,42,Defensa y Justicia,Leandro Godoy,-0.87,0.8,-1.0,Tomás Jacob,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,foul,2,53,33,Defensa y Justicia,Julián López,0.31,-0.66,-1.0,Brian Calderara,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,foul,2,55,56,Newell`s,Julián Fernández,-0.2,-0.33,-1.0,Alexis Soto,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,foul,2,62,14,Defensa y Justicia,Alexis Soto,-0.27,0.84,-1.0,Julián Fernández,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,foul,2,67,21,Defensa y Justicia,Julián López,0.17,-0.28,-1.0,Rodrigo Fernández,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,foul,2,67,50,Newell`s,Augusto Schott,0.29,0.2,-1.0,Luciano Herrera,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,foul,2,74,15,Newell`s,Brian Calderara,-0.54,-0.58,-1.0,Leandro Godoy,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,foul,2,76,51,Newell`s,Brian Aguirre,-0.19,-0.73,-1.0,Nicolás Tripichio,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,foul,2,80,48,Newell`s,Augusto Schott,0.28,0.62,-1.0,Luciano Herrera,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,foul,2,83,36,Newell`s,Brian Aguirre,0.18,0.57,-1.0,Alexis Soto,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,foul,2,87,9,Defensa y Justicia,Nicolás Palavecino,-0.79,-0.73,-1.0,Brian Calderara,,,,
16-04-2024,19:30,Defensa y Justicia,Newell`s,Argentina - Copa LPF 2024,General San Martín,foul,2,92,35,Newell`s,Rodrigo Fernández,-0.1,0.62,-1.0,Luciano Herrera,,,,
