date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
16-04-2024,19:30,Lanús,Estudiantes,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,6,28,Estudiantes,Eros Mancuso,0.35,-0.76,-1.0,,,,,
16-04-2024,19:30,Lanús,Estudiantes,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,9,26,Lanús,Felipe Peña Biafore,-0.12,-0.5,-1.0,,,,,
16-04-2024,19:30,Lanús,Estudiantes,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,10,10,Lanús,Leandro Díaz,0.3,-0.56,-1.0,,,,,
16-04-2024,19:30,Lanús,Estudiantes,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,12,59,Lanús,Ezequiel Muñoz,-0.38,0.34,-1.0,,,,,
16-04-2024,19:30,Lanús,Estudiantes,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,14,27,Lanús,Julio César Soler,0.32,-0.73,-1.0,,,,,
16-04-2024,19:30,Lanús,Estudiantes,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,17,48,Estudiantes,Eric Meza,0.77,0.7,-1.0,,,,,
16-04-2024,19:30,Lanús,Estudiantes,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,27,19,Lanús,Raúl Loaiza,-0.37,0.24,-1.0,,,,,
16-04-2024,19:30,Lanús,Estudiantes,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,42,7,Estudiantes,Santiago Flores,0.57,-0.82,-1.0,,,,,
16-04-2024,19:30,Lanús,Estudiantes,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,42,38,Estudiantes,Luciano Lollo,0.44,-0.04,-1.0,,,,,
16-04-2024,19:30,Lanús,Estudiantes,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,42,37,Lanús,Marcelino Moreno,0.33,-0.27,-1.0,,,,,
16-04-2024,19:30,Lanús,Estudiantes,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,43,8,Lanús,Marcelino Moreno,-0.67,-0.7,-1.0,,,,,
16-04-2024,19:30,Lanús,Estudiantes,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,46,25,Lanús,Braian Aguirre,-0.67,0.7,-1.0,,,,,
16-04-2024,19:30,Lanús,Estudiantes,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,48,35,Lanús,Walter Bou,0.27,0.51,-1.0,,,,,
16-04-2024,19:30,Lanús,Estudiantes,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,47,48,Lanús,Abel Luciatti,0.79,0.55,-1.0,,,,,
16-04-2024,19:30,Lanús,Estudiantes,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,54,21,Estudiantes,Zaid Romero,0.08,-0.52,-1.0,,,,,
16-04-2024,19:30,Lanús,Estudiantes,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,54,28,Lanús,Marcelino Moreno,0.39,-0.02,-1.0,,,,,
16-04-2024,19:30,Lanús,Estudiantes,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,56,49,Lanús,Luciano Boggio,0.38,0.34,-1.0,,,,,
16-04-2024,19:30,Lanús,Estudiantes,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,60,59,Estudiantes,Enzo Pérez,0.29,-0.51,-1.0,,,,,
16-04-2024,19:30,Lanús,Estudiantes,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,60,49,Lanús,Felipe Peña Biafore,0.37,-0.01,-1.0,,,,,
16-04-2024,19:30,Lanús,Estudiantes,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,65,34,Lanús,Abel Luciatti,0.71,0.77,-1.0,,,,,
16-04-2024,19:30,Lanús,Estudiantes,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,70,13,Estudiantes,Enzo Pérez,-0.22,-0.21,-1.0,,,,,
16-04-2024,19:30,Lanús,Estudiantes,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,71,20,Lanús,Raúl Loaiza,0.26,-0.37,-1.0,,,,,
