date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
17-04-2024,19:30,Rosario Central,Dep. Riestra,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,2,46,Rosario Central,Emanuel Coronel,-0.4,0.69,-1.0,,,,,
17-04-2024,19:30,Rosario Central,Dep. Riestra,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,32,31,Dep. Riestra,Jonatan Goya,0.35,0.39,-1.0,,,,,
17-04-2024,19:30,Rosario Central,Dep. Riestra,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,35,8,Rosario Central,Facundo Mallo,-0.57,0.72,-1.0,,,,,
17-04-2024,19:30,Rosario Central,Dep. Riestra,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,45,27,Rosario Central,Facundo Mallo,-0.49,0.66,-1.0,,,,,
17-04-2024,19:30,Rosario Central,Dep. Riestra,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,49,23,Rosario Central,Franco Ibarra,0.33,0.05,-1.0,,,,,
17-04-2024,19:30,Rosario Central,Dep. Riestra,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,53,10,Rosario Central,Jonatan Gómez,0.0,0.33,-1.0,,,,,
17-04-2024,19:30,Rosario Central,Dep. Riestra,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,63,8,Rosario Central,Carlos Quintana,0.68,0.83,-1.0,,,,,
17-04-2024,19:30,Rosario Central,Dep. Riestra,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,64,58,Rosario Central,Carlos Quintana,0.51,0.37,-1.0,,,,,
17-04-2024,19:30,Rosario Central,Dep. Riestra,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,72,9,Rosario Central,Facundo Mallo,0.7,-0.88,-1.0,,,,,
17-04-2024,19:30,Rosario Central,Dep. Riestra,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,72,41,Rosario Central,Tomás O'Connor,0.8,-0.48,-1.0,,,,,
17-04-2024,19:30,Rosario Central,Dep. Riestra,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,75,37,Dep. Riestra,José Méndez,0.49,-0.8,-1.0,,,,,
17-04-2024,19:30,Rosario Central,Dep. Riestra,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,77,41,Rosario Central,Carlos Quintana,-0.05,-0.75,-1.0,,,,,
17-04-2024,19:30,Rosario Central,Dep. Riestra,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,78,25,Rosario Central,Carlos Quintana,0.05,0.06,-1.0,,,,,
17-04-2024,19:30,Rosario Central,Dep. Riestra,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,88,39,Rosario Central,Franco Ibarra,0.21,-0.63,-1.0,,,,,
