date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,1,0,19,Argentinos Juniors,Alan Lescano,0.3,0.48,-1.0,,,,,
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,1,1,35,Argentinos Juniors,Tobías Palacio,-0.48,-0.45,-1.0,,,,,
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,1,3,20,Argentinos Juniors,Jonatan Galván,-0.21,0.83,-1.0,,,,,
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,1,3,51,Defensa y Justicia,Nicolás Tripichio,0.55,-0.91,-1.0,,,,,
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,1,5,4,Argentinos Juniors,Kevin Coronel,-0.65,0.78,-1.0,,,,,
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,1,6,31,Defensa y Justicia,Gabriel Alanís,0.34,-0.68,-1.0,,,,,
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,1,6,27,Argentinos Juniors,Franco Moyano,0.3,-0.24,-1.0,,,,,
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,1,7,7,Argentinos Juniors,Román Vega,0.37,-0.85,-1.0,,,,,
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,1,7,29,Argentinos Juniors,Tobías Palacio,-0.63,-0.81,-1.0,,,,,
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,1,8,49,Argentinos Juniors,Jonatan Galván,-0.73,0.78,-1.0,,,,,
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,1,10,17,Defensa y Justicia,Leandro Godoy,-0.35,-0.7,-1.0,,,,,
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,1,14,2,Defensa y Justicia,Alexis Soto,0.31,0.45,-1.0,,,,,
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,1,14,36,Argentinos Juniors,Jonatan Galván,-0.42,0.74,-1.0,,,,,
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,1,15,10,Argentinos Juniors,Tobías Palacio,-0.13,-0.68,-1.0,,,,,
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,1,15,38,Defensa y Justicia,Darío Cáceres,0.54,0.1,-1.0,,,,,
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,1,18,25,Argentinos Juniors,Alan Lescano,0.2,0.42,-1.0,,,,,
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,1,25,12,Argentinos Juniors,Alan Lescano,-0.06,0.23,-1.0,,,,,
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,1,29,26,Defensa y Justicia,Rodrigo Bogarín,0.33,0.45,-1.0,,,,,
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,1,38,16,Argentinos Juniors,Kevin Coronel,0.26,0.33,-1.0,,,,,
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,1,42,6,Defensa y Justicia,Leandro Godoy,0.87,-0.67,-1.0,,,,,
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,1,47,24,Defensa y Justicia,Gabriel Alanís,0.77,-0.69,-1.0,,,,,
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,2,45,51,Argentinos Juniors,Nicolás Oroz,0.21,0.78,-1.0,,,,,
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,2,49,4,Defensa y Justicia,Nicolás Tripichio,-0.47,0.81,-1.0,,,,,
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,2,49,35,Argentinos Juniors,Sebastián Prieto,0.26,0.49,-1.0,,,,,
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,2,54,52,Argentinos Juniors,Sebastián Prieto,-0.47,0.49,-1.0,,,,,
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,2,64,28,Argentinos Juniors,Sebastián Prieto,0.74,0.76,-1.0,,,,,
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,2,64,58,Argentinos Juniors,Román Vega,0.37,0.62,-1.0,,,,,
20-04-2024,15:30,Argentinos Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Florencio Sola,steal,2,65,14,Argentinos Juniors,Kevin Coronel,0.13,-0.35,-1.0,,,,,
