date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,0,30,Estudiantes,Tiago Palacios,0.2,0.68,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,3,12,Barracas Central,Alan Cantero,0.56,-0.76,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,6,3,Estudiantes,Fernando Zuqui,-0.34,0.23,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,9,49,Estudiantes,Santiago Ascacíbar,-0.42,0.41,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,10,2,Estudiantes,José Sosa,0.15,-0.55,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,11,20,Estudiantes,Zaid Romero,-0.56,-0.46,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,12,24,Estudiantes,Tiago Palacios,0.79,0.67,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,14,55,Estudiantes,Gastón Benedetti,-0.07,-0.53,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,14,50,Barracas Central,Facundo Mater,0.68,-0.56,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,17,46,Estudiantes,Eros Mancuso,-0.15,0.37,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,18,47,Estudiantes,Zaid Romero,-0.35,-0.62,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,19,15,Estudiantes,Fernando Zuqui,0.2,0.1,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,19,23,Estudiantes,Gastón Benedetti,0.28,-0.61,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,19,19,Barracas Central,Nicolás Capraro,0.56,-0.37,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,19,43,Estudiantes,Santiago Ascacíbar,-0.27,0.15,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,24,16,Estudiantes,Tiago Palacios,-0.19,0.32,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,26,3,Barracas Central,Maximiliano Zalazar,0.65,0.44,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,29,11,Estudiantes,Luciano Lollo,-0.49,0.39,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,32,41,Estudiantes,Santiago Ascacíbar,-0.33,-0.09,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,34,4,Estudiantes,Fernando Zuqui,-0.16,0.09,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,34,34,Estudiantes,José Sosa,-0.51,-0.82,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,36,8,Barracas Central,Rodrigo Herrera,0.28,0.36,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,41,24,Estudiantes,Luciano Lollo,-0.53,0.19,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,44,32,Estudiantes,Fernando Zuqui,-0.5,-0.4,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,47,13,Estudiantes,Fernando Zuqui,0.27,0.42,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,48,47,Estudiantes,Edwuin Cetré,0.16,0.81,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,49,27,Estudiantes,Tiago Palacios,-0.32,-0.59,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,49,44,Estudiantes,Zaid Romero,0.51,0.38,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,0,0,Barracas Central,Rodrigo Herrera,-0.45,-0.09,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,0,0,Barracas Central,Alan Cantero,0.35,-0.61,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,55,56,Estudiantes,Tiago Palacios,0.01,-0.61,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,57,53,Estudiantes,Enzo Pérez,-0.01,-0.15,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,58,3,Estudiantes,Santiago Ascacíbar,0.06,-0.18,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,58,58,Estudiantes,Zaid Romero,0.3,0.53,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,61,6,Estudiantes,Zaid Romero,0.22,0.31,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,67,5,Estudiantes,Pablo Piatti,0.31,0.43,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,67,19,Estudiantes,Santiago Ascacíbar,0.31,-0.58,-1.0,,,,,
20-04-2024,18:30,Estudiantes,Barracas Central,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,68,29,Estudiantes,Javier Correa,-0.16,0.64,-1.0,,,,,
