date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,steal,1,8,24,Godoy Cruz,Facundo Altamira,0.3,0.76,-1.0,,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,steal,1,9,17,Vélez,Braian Romero,0.15,0.49,-1.0,,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,steal,1,11,5,Vélez,Agustín Bouzat,-0.09,-0.15,-1.0,,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,steal,1,13,16,Vélez,Christian Ordóñez,0.19,-0.03,-1.0,,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,steal,1,13,30,Vélez,Agustín Bouzat,0.36,-0.46,-1.0,,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,steal,1,16,30,Vélez,Damián Fernández,0.65,-0.5,-1.0,,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,steal,1,21,30,Godoy Cruz,Lucas Arce,-0.44,0.89,-1.0,,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,steal,1,22,37,Godoy Cruz,Bruno Leyes,-0.06,0.34,-1.0,,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,steal,1,26,55,Vélez,Agustín Bouzat,-0.3,0.28,-1.0,,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,steal,1,40,25,Godoy Cruz,Facundo Altamira,-0.2,-0.39,-1.0,,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,steal,2,71,33,Godoy Cruz,Pier Barrios,0.32,-0.25,-1.0,,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,steal,2,73,13,Godoy Cruz,Federico Rasmussen,0.23,-0.06,-1.0,,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,steal,2,73,11,Vélez,Agustín Bouzat,0.36,-0.25,-1.0,,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,steal,2,75,30,Vélez,Francisco Pizzini,-0.44,0.93,-1.0,,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,steal,2,85,1,Vélez,Joaquín García,-0.73,0.48,-1.0,,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,steal,2,86,30,Vélez,Tomás Cavanagh,-0.33,-0.72,-1.0,,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,steal,2,104,3,Godoy Cruz,Mariano Santiago,-0.17,0.65,-1.0,,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,steal,2,103,53,Vélez,Joaquín García,-0.74,0.77,-1.0,,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,foul,1,4,19,Vélez,Francisco Pizzini,-0.74,-0.39,-1.0,Pier Barrios,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,foul,1,10,13,Godoy Cruz,Lucas Arce,-0.14,0.83,-1.0,Francisco Pizzini,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,foul,1,11,36,Godoy Cruz,Vicente Poggi,-0.43,-0.37,-1.0,Francisco Pizzini,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,foul,1,15,21,Vélez,Braian Romero,-0.89,-0.07,-1.0,Franco Petroli,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,foul,1,16,44,Vélez,Claudio Aquino,0.38,-0.42,-1.0,Tomás Badaloni,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,foul,1,22,23,Godoy Cruz,Thomas Galdames,0.35,-0.7,-1.0,Joaquín García,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,foul,1,22,50,Godoy Cruz,Tomás Badaloni,,,,,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,foul,1,28,21,Godoy Cruz,Vicente Poggi,-0.29,0.57,-1.0,Claudio Aquino,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,foul,1,33,34,Vélez,Agustín Bouzat,0.33,0.61,-1.0,Bruno Leyes,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,foul,1,41,9,Vélez,Claudio Aquino,,,,,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,foul,1,41,42,Godoy Cruz,Lucas Arce,0.49,0.62,-1.0,Elías Gómez,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,foul,1,44,36,Vélez,Christian Ordóñez,-0.33,-0.29,-1.0,Bruno Leyes,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,foul,2,47,10,Vélez,Agustín Bouzat,-0.37,-0.67,-1.0,Hernán López Muñoz,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,foul,2,50,33,Vélez,Elías Gómez,-0.78,-0.76,-1.0,Lucas Arce,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,foul,2,59,57,Godoy Cruz,Manuel Guillén,-0.49,-0.72,-1.0,Claudio Aquino,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,foul,2,62,31,Vélez,Tomás Cavanagh,-0.29,-0.65,-1.0,Facundo Altamira,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,foul,2,65,58,Godoy Cruz,Tomás Conechny,-0.7,0.73,-1.0,Damián Fernández,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,foul,2,69,37,Vélez,Claudio Aquino,0.39,-0.66,-1.0,Manuel Guillén,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,foul,2,70,27,Godoy Cruz,Manuel Guillén,,,,,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,foul,2,80,2,Vélez,Claudio Aquino,0.53,-0.94,-1.0,Manuel Guillén,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,foul,2,45,0,Godoy Cruz,Franco Petroli,,,,,,,,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,shot,1,3,13,Godoy Cruz,Vicente Poggi,0.39,0.06,-1.0,,0.99,0.26,-1.0,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,shot,1,4,9,Vélez,Francisco Pizzini,-0.77,-0.43,-1.0,Federico Rasmussen,-0.78,-0.34,0.21,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,shot,1,12,46,Vélez,Elías Gómez,-0.77,0.14,-1.0,,-0.99,0.22,-1.0,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,shot,1,17,58,Godoy Cruz,Facundo Altamira,0.69,-0.02,-1.0,,0.98,-0.12,0.08,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,shot,1,23,11,Vélez,Braian Romero,-0.73,-0.26,-1.0,,-0.99,-0.08,0.9,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,shot,1,29,45,Vélez,Claudio Aquino,-0.74,0.46,-1.0,Franco Petroli,-0.91,0.04,0.86,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,shot,1,35,54,Godoy Cruz,Lucas Arce,0.4,0.38,-1.0,Valentín Gómez,0.72,0.14,0.39,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,shot,1,35,56,Godoy Cruz,Facundo Altamira,0.7,-0.05,-1.0,Tomás Marchiori,0.97,0.08,0.08,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,shot,1,38,20,Vélez,Thiago Fernández,-0.77,-0.12,-1.0,,-1.0,-0.26,-1.0,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,shot,1,40,35,Godoy Cruz,Hernán López Muñoz,0.75,-0.46,-1.0,Tomás Marchiori,0.9,-0.05,0.17,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,shot,2,46,7,Vélez,Francisco Pizzini,0.88,0.33,-1.0,Tomás Badaloni,0.91,0.28,0.82,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,shot,2,48,11,Godoy Cruz,Thomas Galdames,-0.34,-0.51,-1.0,,-0.99,-0.02,-1.0,
20-04-2024,21:30,Godoy Cruz,Vélez,Argentina - Copa LPF 2024,Estadio Único de Villa Mercedes,shot,2,57,44,Godoy Cruz,Tomás Conechny,-0.77,-0.74,-1.0,Agustín Bouzat,-0.82,-0.49,0.8,
