date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
21-04-2024,15:30,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,7,7,River Plate,Rodrigo Villagra,0.1,0.62,-1.0,,,,,
21-04-2024,15:30,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,13,25,River Plate,Rodrigo Aliendro,-0.11,-0.84,-1.0,,,,,
21-04-2024,15:30,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,17,24,River Plate,Paulo Díaz,-0.63,-0.27,-1.0,,,,,
21-04-2024,15:30,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,22,9,Boca Juniors,Ezequiel Fernández,-0.18,-0.47,-1.0,,,,,
21-04-2024,15:30,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,23,44,River Plate,Rodrigo Aliendro,-0.13,-0.55,-1.0,,,,,
21-04-2024,15:30,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,29,5,Boca Juniors,Jabes Saralegui,0.3,-0.47,-1.0,,,,,
21-04-2024,15:30,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,31,14,Boca Juniors,Lautaro Blanco,0.06,0.48,-1.0,,,,,
21-04-2024,15:30,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,37,57,River Plate,Rodrigo Aliendro,-0.43,-0.03,-1.0,,,,,
21-04-2024,15:30,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,37,48,Boca Juniors,Lautaro Blanco,-0.27,0.28,-1.0,,,,,
21-04-2024,15:30,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,40,5,River Plate,Rodrigo Aliendro,-0.3,0.22,-1.0,,,,,
21-04-2024,15:30,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,40,16,Boca Juniors,Guillermo Fernández,0.56,0.22,-1.0,,,,,
21-04-2024,15:30,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,40,31,River Plate,Andrés Herrera,-0.07,0.59,-1.0,,,,,
21-04-2024,15:30,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,43,36,River Plate,Claudio Echeverri,-0.29,0.6,-1.0,,,,,
21-04-2024,15:30,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,56,2,River Plate,Rodrigo Villagra,-0.19,-0.53,-1.0,,,,,
21-04-2024,15:30,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,57,51,Boca Juniors,Kevin Zenón,0.75,-0.77,-1.0,,,,,
21-04-2024,15:30,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,60,53,Boca Juniors,Kevin Zenón,0.34,-0.79,-1.0,,,,,
21-04-2024,15:30,River Plate,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,65,45,River Plate,Andrés Herrera,-0.94,-0.68,-1.0,,,,,
