date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,steal,1,4,26,Vélez,Thiago Fernández,0.44,0.47,-1.0,,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,steal,1,7,56,Vélez,Damián Fernández,0.12,0.03,-1.0,,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,steal,1,9,34,Vélez,Damián Fernández,0.64,-0.04,-1.0,,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,steal,1,21,17,Argentinos Juniors,Kevin Coronel,-0.41,0.76,-1.0,,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,steal,1,22,31,Vélez,Francisco Pizzini,0.1,-0.59,-1.0,,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,steal,1,33,30,Vélez,Joaquín García,0.56,-0.27,-1.0,,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,steal,1,34,50,Vélez,Tomás Cavanagh,0.39,0.33,-1.0,,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,steal,1,35,17,Vélez,Tomás Cavanagh,0.75,0.53,-1.0,,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,steal,1,43,28,Vélez,Joaquín García,0.46,-0.64,-1.0,,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,steal,1,48,43,Vélez,Tomás Cavanagh,0.58,0.78,-1.0,,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,steal,2,45,59,Vélez,Tomás Cavanagh,-0.86,-0.59,-1.0,,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,steal,2,48,34,Vélez,Joaquín García,-0.37,0.75,-1.0,,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,steal,2,52,55,Vélez,Agustín Bouzat,-0.39,-0.34,-1.0,,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,steal,2,77,27,Vélez,Juan Ignacio Méndez,-0.37,-0.52,-1.0,,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,steal,2,82,14,Vélez,Valentín Gómez,-0.46,-0.72,-1.0,,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,steal,2,83,46,Vélez,Joaquín García,-0.69,0.7,-1.0,,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,steal,2,84,33,Argentinos Juniors,Alan Rodríguez,0.54,-0.83,-1.0,,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,steal,2,84,27,Vélez,Santiago Cáseres,0.23,0.05,-1.0,,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,steal,2,86,34,Vélez,Valentín Gómez,-0.38,-0.2,-1.0,,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,steal,2,93,33,Vélez,Lenny Lobato,-0.29,-0.49,-1.0,,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,foul,1,4,26,Argentinos Juniors,Kevin Coronel,0.4,0.4,-1.0,Thiago Fernández,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,foul,1,6,2,Argentinos Juniors,José María Herrera,0.48,0.37,-1.0,Valentín Gómez,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,foul,1,11,13,Vélez,Braian Romero,-0.47,0.35,-1.0,Nicolás Oroz,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,foul,1,24,52,Argentinos Juniors,Sebastián Prieto,-0.9,-0.78,-1.0,Francisco Pizzini,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,foul,1,32,45,Vélez,Agustín Bouzat,-0.01,0.17,-1.0,José María Herrera,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,foul,1,36,35,Argentinos Juniors,Nicolás Oroz,0.3,-0.61,-1.0,Francisco Pizzini,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,foul,1,42,27,Argentinos Juniors,Sebastián Prieto,-0.09,0.06,-1.0,Claudio Aquino,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,foul,1,47,15,Vélez,Francisco Pizzini,-0.37,-0.67,-1.0,Román Vega,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,foul,2,47,31,Argentinos Juniors,Sebastián Prieto,-0.18,0.69,-1.0,Claudio Aquino,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,foul,2,49,7,Argentinos Juniors,Luciano Gondou,-0.38,-0.06,-1.0,Valentín Gómez,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,foul,2,66,20,Argentinos Juniors,Alan Lescano,-0.35,-0.5,-1.0,Agustín Bouzat,,,,
28-04-2024,15:30,Argentinos Juniors,Vélez,Argentina - Copa LPF 2024,Único de San Nicolás,foul,2,67,26,Vélez,Damián Fernández,-0.19,0.3,-1.0,Luciano Gondou,,,,
