date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
30-04-2024,20:00,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,1,33,Boca Juniors,Lautaro Blanco,0.53,0.4,-1.0,,,,,
30-04-2024,20:00,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,6,22,Boca Juniors,Ezequiel Fernández,0.18,-0.36,-1.0,,,,,
30-04-2024,20:00,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,6,47,Boca Juniors,Cristian Lema,0.24,-0.77,-1.0,,,,,
30-04-2024,20:00,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,12,2,Boca Juniors,Kevin Zenón,-0.2,-0.01,-1.0,,,,,
30-04-2024,20:00,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,13,32,Boca Juniors,Marcos Rojo,-0.15,0.5,-1.0,,,,,
30-04-2024,20:00,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,13,54,Boca Juniors,Luis Adví­ncula,-0.2,-0.58,-1.0,,,,,
30-04-2024,20:00,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,17,43,Boca Juniors,Cristian Lema,0.42,-0.82,-1.0,,,,,
30-04-2024,20:00,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,21,10,Boca Juniors,Guillermo Fernández,-0.42,0.14,-1.0,,,,,
30-04-2024,20:00,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,25,21,Boca Juniors,Cristian Medina,-0.04,0.34,-1.0,,,,,
30-04-2024,20:00,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,28,4,Boca Juniors,Ezequiel Fernández,0.51,-0.25,-1.0,,,,,
30-04-2024,20:00,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,29,41,Boca Juniors,Ezequiel Fernández,-0.32,0.37,-1.0,,,,,
30-04-2024,20:00,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,29,51,Boca Juniors,Kevin Zenón,-0.27,0.37,-1.0,,,,,
30-04-2024,20:00,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,31,40,Boca Juniors,Edinson Cavani,-0.4,0.5,-1.0,,,,,
30-04-2024,20:00,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,33,58,Boca Juniors,Miguel Ángel Merentiel,-0.24,-0.43,-1.0,,,,,
30-04-2024,20:00,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,46,54,Boca Juniors,Ezequiel Fernández,-0.33,-0.54,-1.0,,,,,
30-04-2024,20:00,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,47,33,Estudiantes,Zaid Romero,0.75,0.64,-1.0,,,,,
30-04-2024,20:00,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,47,20,Boca Juniors,Ezequiel Fernández,-0.3,-0.35,-1.0,,,,,
30-04-2024,20:00,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,55,32,Boca Juniors,Ezequiel Fernández,0.46,-0.66,-1.0,,,,,
30-04-2024,20:00,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,61,24,Boca Juniors,Lautaro Blanco,-0.51,-0.38,-1.0,,,,,
30-04-2024,20:00,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,63,39,Boca Juniors,Luis Adví­ncula,-0.36,-0.44,-1.0,,,,,
30-04-2024,20:00,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,66,17,Boca Juniors,Cristian Medina,-0.18,0.22,-1.0,,,,,
30-04-2024,20:00,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,68,41,Boca Juniors,Luis Adví­ncula,-0.25,0.31,-1.0,,,,,
30-04-2024,20:00,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,78,6,Boca Juniors,Luis Adví­ncula,-0.89,0.69,-1.0,,,,,
30-04-2024,20:00,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,83,14,Boca Juniors,Nicolás Figal,-0.64,0.66,-1.0,,,,,
30-04-2024,20:00,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,0,22,Boca Juniors,Miguel Ángel Merentiel,-0.3,-0.59,-1.0,Zaid Romero,,,,
30-04-2024,20:00,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,6,53,Estudiantes,Santiago Ascacíbar,0.39,-0.62,-1.0,Cristian Lema,,,,
30-04-2024,20:00,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,9,29,Estudiantes,Eros Mancuso,,,,,,,,
