date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,1,7,Estudiantes,Tiago Palacios,0.21,0.33,-1.0,,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,3,9,Vélez,Christian Ordóñez,-0.23,0.55,-1.0,,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,4,19,Vélez,Joaquín García,-0.33,-0.79,-1.0,,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,6,17,Estudiantes,Enzo Pérez,-0.28,0.48,-1.0,,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,12,37,Estudiantes,Santiago Ascacíbar,-0.06,-0.31,-1.0,,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,15,5,Estudiantes,Santiago Ascacíbar,0.28,0.4,-1.0,,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,16,19,Estudiantes,Tiago Palacios,-0.34,-0.77,-1.0,,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,25,36,Estudiantes,José Sosa,-0.28,-0.42,-1.0,,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,38,17,Estudiantes,Luciano Lollo,-0.44,0.26,-1.0,,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,38,45,Estudiantes,Luciano Lollo,-0.43,0.57,-1.0,,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,40,11,Estudiantes,Gastón Benedetti,-0.24,-0.46,-1.0,,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,46,0,Estudiantes,Enzo Pérez,0.42,-0.33,-1.0,,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,2,47,6,Estudiantes,Eros Mancuso,0.31,-0.67,-1.0,,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,2,47,50,Estudiantes,Luciano Lollo,0.36,-0.2,-1.0,,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,2,49,16,Estudiantes,Enzo Pérez,0.4,-0.04,-1.0,,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,2,50,20,Vélez,Agustín Bouzat,0.26,-0.73,-1.0,,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,2,50,15,Estudiantes,Eros Mancuso,0.94,-0.4,-1.0,,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,2,53,53,Estudiantes,Tiago Palacios,-0.26,-0.82,-1.0,,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,2,73,9,Estudiantes,Eros Mancuso,0.35,-0.44,-1.0,,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,3,93,17,Estudiantes,Pablo Piatti,-0.39,-0.24,-1.0,,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,4,111,13,Estudiantes,Edwuin Cetré,0.44,-0.69,-1.0,,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,4,112,54,Vélez,Christian Ordóñez,-0.05,0.24,-1.0,,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,4,114,47,Vélez,Tomás Cavanagh,-0.13,-0.74,-1.0,,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,4,114,53,Estudiantes,Luciano Lollo,0.42,-0.4,-1.0,,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,4,119,4,Estudiantes,Santiago Ascacíbar,0.74,0.78,-1.0,,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,0,20,Vélez,Elías Gómez,0.08,0.04,-1.0,Guido Carrillo,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,3,26,Estudiantes,Tiago Palacios,-0.87,0.86,-1.0,Thiago Fernández,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,4,54,Vélez,Thiago Vecino,-0.23,-0.33,-1.0,Enzo Pérez,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,7,28,Estudiantes,Eros Mancuso,0.13,0.84,-1.0,Thiago Fernández,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,8,59,Vélez,Joaquín García,0.38,-0.7,-1.0,Edwuin Cetré,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,15,22,Estudiantes,Santiago Ascacíbar,-0.25,-0.49,-1.0,Francisco Pizzini,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,16,54,Vélez,Thiago Vecino,-0.57,-0.55,-1.0,Edwuin Cetré,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,18,46,Vélez,Agustín Bouzat,-0.34,-0.02,-1.0,José Sosa,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,20,21,Estudiantes,Luciano Lollo,-0.08,0.65,-1.0,Claudio Aquino,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,24,10,Vélez,Christian Ordóñez,-0.15,0.67,-1.0,Guido Carrillo,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,28,8,Estudiantes,Gastón Benedetti,-0.25,-0.38,-1.0,Francisco Pizzini,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,33,49,Vélez,Elías Gómez,0.21,0.7,-1.0,Edwuin Cetré,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,37,51,Estudiantes,José Sosa,0.18,-0.72,-1.0,Christian Ordóñez,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,46,51,Estudiantes,Guido Carrillo,0.75,-0.26,-1.0,Damián Fernández,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,2,45,23,Vélez,Damián Fernández,-0.61,0.78,-1.0,Edwuin Cetré,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,2,48,11,Estudiantes,Santiago Ascacíbar,-0.42,-0.38,-1.0,Agustín Bouzat,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,2,51,9,Estudiantes,Luciano Lollo,0.26,-0.8,-1.0,Thiago Vecino,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,2,51,36,Estudiantes,Santiago Ascacíbar,0.72,-0.62,-1.0,Thiago Fernández,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,2,54,38,Estudiantes,Fernando Zuqui,0.31,0.35,-1.0,Thiago Vecino,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,2,58,13,Vélez,Damián Fernández,-0.36,-0.15,-1.0,Edwuin Cetré,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,2,64,54,Vélez,Joaquín García,-0.71,0.68,-1.0,Edwuin Cetré,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,2,69,29,Estudiantes,Gastón Benedetti,0.6,0.3,-1.0,Francisco Pizzini,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,2,73,37,Estudiantes,Guido Carrillo,0.06,-0.73,-1.0,Valentín Gómez,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,2,75,38,Estudiantes,Javier Correa,-0.42,-0.7,-1.0,Valentín Gómez,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,2,76,8,Estudiantes,Javier Correa,-0.36,0.25,-1.0,Christian Ordóñez,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,2,76,54,Estudiantes,Enzo Pérez,0.78,-0.78,-1.0,Agustín Bouzat,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,2,93,26,Estudiantes,Edwuin Cetré,-0.39,-0.72,-1.0,Agustín Bouzat,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,3,90,35,Estudiantes,Pablo Piatti,0.34,0.08,-1.0,Agustín Bouzat,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,3,92,9,Estudiantes,Eric Meza,0.5,-0.81,-1.0,Álvaro Montoro,,,,
05-05-2024,15:30,Estudiantes,Vélez,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,3,93,17,Vélez,Alejo Sarco,-0.22,-0.52,-1.0,Pablo Piatti,,,,
