date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,2,9,Sarmiento,Juan Cruz Guasone,0.73,-0.55,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,3,12,Boca Juniors,Cristian Lema,-0.73,0.64,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,5,57,Sarmiento,José Mauri,0.18,0.73,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,6,36,Boca Juniors,Guillermo Fernández,-0.18,-0.01,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,10,48,Sarmiento,Juan Cruz Guasone,0.4,-0.8,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,11,5,Boca Juniors,Luis Adví­ncula,-0.43,0.41,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,11,0,Sarmiento,Sergio Quiroga,0.09,-0.61,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,12,49,Boca Juniors,Kevin Zenón,0.29,-0.43,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,13,6,Boca Juniors,Miguel Ángel Merentiel,0.31,-0.55,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,13,25,Boca Juniors,Luis Adví­ncula,0.64,0.92,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,13,28,Sarmiento,Sergio Quiroga,0.43,0.4,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,31,52,Boca Juniors,Cristian Lema,-0.18,0.56,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,32,3,Sarmiento,Juan Cruz Guasone,0.37,-0.72,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,34,59,Sarmiento,Diego Calcaterra,0.83,-0.57,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,35,48,Boca Juniors,Guillermo Fernández,-0.24,0.57,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,43,51,Boca Juniors,Frank Fabra,-0.5,-0.42,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,43,41,Sarmiento,Fernando Godoy,-0.29,0.02,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,49,21,Boca Juniors,Guillermo Fernández,-0.13,0.49,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,52,1,Boca Juniors,Kevin Zenón,-0.12,0.16,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,56,38,Sarmiento,Fernando Godoy,-0.52,0.66,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,58,53,Boca Juniors,Cristian Lema,0.19,0.47,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,59,5,Boca Juniors,Frank Fabra,0.2,0.66,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,59,25,Boca Juniors,Guillermo Fernández,-0.21,0.29,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,61,19,Sarmiento,José Mauri,-0.57,-0.63,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,62,47,Sarmiento,José Mauri,-0.2,0.11,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,63,27,Boca Juniors,Cristian Lema,0.87,0.36,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,65,0,Sarmiento,Diego Calcaterra,-0.71,0.43,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,65,12,Boca Juniors,Nicolás Figal,0.4,0.1,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,66,50,Sarmiento,José Mauri,-0.22,-0.22,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,69,31,Boca Juniors,Kevin Zenón,0.47,0.7,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,76,6,Boca Juniors,Frank Fabra,0.41,0.75,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,77,27,Boca Juniors,Kevin Zenón,0.17,0.56,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,82,55,Sarmiento,Pablo Pérez,-0.54,0.77,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,87,27,Boca Juniors,Cristian Lema,0.03,-0.53,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,87,20,Sarmiento,Fernando Godoy,-0.34,0.17,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,87,58,Boca Juniors,Lucas Janson,-0.14,-0.02,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,88,5,Sarmiento,Diego Calcaterra,-0.6,0.49,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,92,31,Boca Juniors,Mauricio Benítez,-0.28,-0.03,-1.0,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,2,34,Boca Juniors,Guillermo Fernández,0.35,-0.61,-1.0,Sergio Quiroga,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,2,42,Sarmiento,Juan Manuel Insaurralde,-0.22,0.45,-1.0,Miguel Ángel Merentiel,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,5,51,Boca Juniors,Luis Adví­ncula,0.29,0.58,-1.0,José Mauri,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,6,46,Sarmiento,Agustín Fontana,0.14,0.67,-1.0,Cristian Lema,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,9,54,Sarmiento,Iván Morales,-0.18,0.76,-1.0,Luis Adví­ncula,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,16,4,Boca Juniors,Guillermo Fernández,0.28,0.55,-1.0,José Mauri,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,24,20,Boca Juniors,Kevin Zenón,-0.46,-0.83,-1.0,Elías López,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,33,7,Boca Juniors,Miguel Ángel Merentiel,-0.36,0.68,-1.0,Juan Manuel Insaurralde,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,37,47,Sarmiento,Iván Morales,,,,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,45,26,Sarmiento,Iván Morales,0.22,0.34,-1.0,Guillermo Fernández,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,46,24,Boca Juniors,Frank Fabra,0.29,-0.38,-1.0,Sergio Quiroga,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,45,44,Boca Juniors,Nicolás Figal,0.42,0.2,-1.0,Agustín Fontana,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,47,55,Sarmiento,José Mauri,0.48,0.5,-1.0,Guillermo Fernández,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,48,43,Sarmiento,Iván Morales,0.44,-0.66,-1.0,Cristian Lema,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,49,33,Sarmiento,Sergio Quiroga,0.17,0.6,-1.0,Jorman Campuzano,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,56,53,Boca Juniors,Guillermo Fernández,-0.17,0.54,-1.0,Iván Morales,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,72,59,Boca Juniors,Frank Fabra,-0.45,0.76,-1.0,Joaquín Gho,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,83,1,Boca Juniors,Guillermo Fernández,-0.46,0.83,-1.0,Lisandro López,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,91,56,Sarmiento,Fernando Godoy,0.16,0.7,-1.0,Miguel Ángel Merentiel,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,shot,1,8,25,Boca Juniors,Miguel Ángel Merentiel,0.78,0.28,-1.0,,1.0,-0.06,0.75,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,shot,1,14,38,Sarmiento,Agustín Fontana,-0.88,0.31,-1.0,,-1.0,0.26,-1.0,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,shot,1,18,25,Sarmiento,Gabriel Díaz,-0.46,0.59,-1.0,,-0.99,-0.06,-1.0,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,shot,1,40,45,Boca Juniors,Kevin Zenón,0.78,0.12,-1.0,Fernando Monetti,0.95,0.06,0.89,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,shot,2,52,7,Boca Juniors,Edinson Cavani,-0.63,-0.11,-1.0,,-0.99,0.23,-1.0,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,shot,2,53,13,Sarmiento,José Mauri,0.42,-0.04,-1.0,Sergio Romero,0.92,0.05,0.79,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,shot,2,53,53,Boca Juniors,Edinson Cavani,-0.86,-0.16,-1.0,,-0.99,0.27,-1.0,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,shot,2,46,57,Sarmiento,Agustín Fontana,0.82,-0.04,0.77,Sergio Romero,0.82,-0.04,0.77,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,shot,2,65,40,Boca Juniors,Edinson Cavani,-0.75,-0.06,-1.0,,-0.98,0.05,1.02,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,shot,2,67,9,Sarmiento,Gabriel Díaz,0.45,-0.26,-1.0,,1.0,0.28,-1.0,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,shot,2,71,24,Sarmiento,José Mauri,0.77,0.05,-1.0,,0.99,-0.02,0.16,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,shot,2,77,20,Boca Juniors,Miguel Ángel Merentiel,-0.7,0.15,-1.0,Diego Calcaterra,-0.79,0.1,0.36,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,shot,2,78,51,Boca Juniors,Jabes Saralegui,-0.64,0.02,-1.0,Juan Manuel Insaurralde,-0.72,-0.04,0.33,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,shot,2,84,35,Boca Juniors,Nicolás Figal,-0.39,0.06,-1.0,Fernando Monetti,-0.92,0.05,0.81,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,shot,2,84,41,Boca Juniors,Miguel Ángel Merentiel,-0.99,-0.22,-1.0,,-0.99,-0.22,-1.0,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,shot,2,88,35,Boca Juniors,Darío Benedetto,-0.75,-0.36,-1.0,Gabriel Díaz,-0.79,-0.3,0.18,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,shot,2,78,47,Boca Juniors,Jabes Saralegui,-0.64,0.12,-1.0,Diego Calcaterra,-0.7,0.09,0.38,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,1,7,24,Sarmiento,Fernando Monetti,,,,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,1,15,10,Boca Juniors,Sergio Romero,,,,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,1,18,52,Boca Juniors,Sergio Romero,,,,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,1,20,37,Boca Juniors,Cristian Lema,,,,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,1,25,34,Boca Juniors,Sergio Romero,,,,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,1,31,27,Sarmiento,Fernando Monetti,,,,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,1,34,30,Boca Juniors,Cristian Lema,,,,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,1,43,17,Sarmiento,Fernando Monetti,,,,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,1,44,26,Sarmiento,Fernando Monetti,,,,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,2,52,37,Sarmiento,Fernando Monetti,,,,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,2,54,44,Sarmiento,Fernando Monetti,,,,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,2,58,24,Boca Juniors,Sergio Romero,,,,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,2,63,2,Sarmiento,Fernando Monetti,,,,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,2,66,20,Sarmiento,Fernando Monetti,,,,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,2,67,34,Boca Juniors,Cristian Lema,,,,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,2,85,32,Sarmiento,Fernando Monetti,,,,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,2,86,32,Boca Juniors,Sergio Romero,,,,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,2,89,48,Sarmiento,Fernando Monetti,,,,,,,,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,throw_in,1,0,35,Boca Juniors,Luis Adví­ncula,-0.15,0.97,-1.0,,-0.39,0.64,-1.0,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,throw_in,1,1,14,Boca Juniors,Frank Fabra,0.76,-0.98,-1.0,,0.79,-0.68,-1.0,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,throw_in,1,2,25,Sarmiento,Elías López,0.44,-0.98,-1.0,,0.43,-0.6,-1.0,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,throw_in,1,5,24,Boca Juniors,Luis Adví­ncula,0.31,0.94,-1.0,,0.43,0.64,-1.0,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,throw_in,1,7,53,Sarmiento,Elías López,-0.16,-1.0,-1.0,,-0.46,-0.57,-1.0,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,throw_in,1,12,16,Boca Juniors,Frank Fabra,0.22,-1.0,-1.0,,0.15,-0.51,-1.0,
01-02-2024,19:00,Boca Juniors,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,throw_in,1,17,20,Sarmiento,Gabriel Díaz,-0.75,0.99,-1.0,,-0.87,0.69,-1.0,
