date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,1,0,26,Unión,Claudio Corvalán,-0.65,-0.6,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,1,7,21,Estudiantes,Enzo Pérez,0.09,-0.38,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,1,11,24,Estudiantes,Santiago Ascacíbar,-0.5,0.57,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,1,15,26,Estudiantes,Gastón Benedetti,0.69,0.86,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,1,16,14,Unión,Mauro Luna Diale,-0.24,-0.13,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,1,19,27,Estudiantes,Zaid Romero,0.35,0.45,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,1,30,22,Estudiantes,Zaid Romero,0.6,0.62,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,1,30,43,Estudiantes,Gastón Benedetti,0.7,0.83,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,1,33,47,Unión,Miguel Ángel Torrén,-0.49,0.12,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,1,35,42,Estudiantes,Javier Correa,0.02,-0.47,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,1,39,28,Estudiantes,Fernando Zuqui,-0.07,-0.24,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,1,40,28,Estudiantes,Santiago Ascacíbar,0.71,0.71,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,1,43,43,Estudiantes,Santiago Flores,0.53,-0.27,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,1,46,11,Estudiantes,Santiago Flores,0.13,-0.15,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,2,45,13,Estudiantes,Fernando Zuqui,0.27,0.52,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,2,57,25,Estudiantes,Santiago Ascacíbar,-0.46,-0.57,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,2,57,17,Unión,Federico Vera,-0.23,-0.57,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,2,62,55,Estudiantes,Santiago Flores,-0.06,0.55,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,2,63,54,Unión,Federico Vera,0.17,0.22,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,2,66,47,Unión,Mauro Luna Diale,-0.03,0.35,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,2,71,52,Estudiantes,Fernando Zuqui,0.26,0.34,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,2,72,2,Estudiantes,Javier Correa,0.45,-0.28,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,2,72,8,Unión,Nicolás Paz,0.25,-0.29,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,2,75,28,Estudiantes,Javier Correa,0.31,0.56,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,2,77,39,Estudiantes,Eros Mancuso,-0.51,0.61,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,2,77,49,Unión,Mateo Del Blanco,0.08,-0.4,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,2,83,0,Estudiantes,Santiago Ascacíbar,-0.8,0.79,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,2,84,10,Estudiantes,Eros Mancuso,-0.57,0.36,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,2,85,14,Estudiantes,Santiago Flores,-0.6,0.64,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,2,93,40,Unión,Joaquín Mosqueira,-0.18,-0.19,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,steal,2,94,47,Estudiantes,Santiago Flores,-0.67,0.37,-1.0,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,foul,1,3,57,Unión,Claudio Corvalán,0.12,-0.68,-1.0,Javier Correa,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,foul,1,6,5,Estudiantes,Enzo Pérez,-0.3,-0.1,-1.0,Gonzalo Morales,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,foul,1,9,56,Estudiantes,Eros Mancuso,-0.15,-0.78,-1.0,Bruno Pittón,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,foul,1,11,24,Unión,Federico Vera,-0.48,0.66,-1.0,Santiago Ascacíbar,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,foul,1,17,16,Estudiantes,Javier Altamirano,-0.5,-0.54,-1.0,Bruno Pittón,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,foul,1,19,7,Unión,Lucas Gamba,0.24,-0.34,-1.0,Enzo Pérez,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,foul,1,19,38,Unión,Miguel Ángel Torrén,0.01,0.38,-1.0,Javier Correa,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,foul,1,21,16,Estudiantes,Enzo Pérez,0.28,0.68,-1.0,Gonzalo Morales,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,foul,1,23,39,Estudiantes,Santiago Ascacíbar,-0.44,0.47,-1.0,Federico Vera,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,foul,1,23,59,Estudiantes,Alexis Manyoma,0.15,0.76,-1.0,Federico Vera,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,foul,1,24,36,Estudiantes,Fernando Zuqui,0.33,-0.78,-1.0,Mauro Luna Diale,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,foul,1,38,56,Unión,Lucas Gamba,,,,,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,foul,1,43,0,Estudiantes,Eros Mancuso,-0.18,-0.78,-1.0,Bruno Pittón,,,,
01-02-2024,21:30,Unión,Estudiantes,Argentina - Copa LPF 2024,15 de abril,foul,1,45,34,Estudiantes,Alexis Manyoma,-0.46,0.89,-1.0,Federico Vera,,,,
