date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
29-01-2024,21:00,Instituto,Atlético Tucumán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,11,34,Instituto,Roberto Bochi,0.4,0.68,-1.0,,,,,
29-01-2024,21:00,Instituto,Atlético Tucumán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,15,46,Instituto,Jonathan Bay,0.08,-0.71,-1.0,,,,,
29-01-2024,21:00,Instituto,Atlético Tucumán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,18,30,Instituto,Juan José Franco,0.17,0.29,-1.0,,,,,
29-01-2024,21:00,Instituto,Atlético Tucumán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,23,20,Instituto,Damián Puebla,0.17,-0.47,-1.0,,,,,
29-01-2024,21:00,Instituto,Atlético Tucumán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,28,20,Instituto,Gastón Lodico,-0.15,-0.46,-1.0,,,,,
29-01-2024,21:00,Instituto,Atlético Tucumán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,29,5,Instituto,Damián Puebla,0.42,0.55,-1.0,,,,,
29-01-2024,21:00,Instituto,Atlético Tucumán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,30,55,Instituto,Roberto Bochi,-0.18,0.5,-1.0,,,,,
29-01-2024,21:00,Instituto,Atlético Tucumán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,39,50,Instituto,Jonathan Bay,-0.35,-0.63,-1.0,,,,,
29-01-2024,21:00,Instituto,Atlético Tucumán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,40,53,Instituto,Fernando Alarcón,-0.74,-0.79,-1.0,,,,,
29-01-2024,21:00,Instituto,Atlético Tucumán,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,2,52,29,Instituto,Jonathan Bay,0.81,0.41,-1.0,,,,,
