date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,0,30,Gimnasia,Benjamín Domínguez,-0.32,-0.58,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,8,14,Gimnasia,Rodrigo Saravia,0.42,0.56,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,8,14,Independiente Riv. (M),Mauro Maidana,0.54,0.12,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,9,28,Gimnasia,Rodrigo Gallo,-0.43,-0.34,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,11,41,Independiente Riv. (M),Mauro Maidana,0.66,0.57,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,14,43,Gimnasia,Leonardo Morales,-0.72,0.76,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,15,32,Gimnasia,Leonardo Morales,0.29,0.44,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,17,19,Independiente Riv. (M),Gastón Gil Romero,0.35,-0.42,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,19,10,Independiente Riv. (M),Juan Manuel Vázquez,-0.08,-0.44,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,21,20,Gimnasia,Pablo De Blasis,0.25,-0.57,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,23,50,Gimnasia,Matías Ramírez,-0.39,-0.79,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,23,55,Independiente Riv. (M),Antonio Napolitano,-0.2,-0.46,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,37,58,Gimnasia,Benjamín Domínguez,-0.75,-0.72,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,37,44,Independiente Riv. (M),Antonio Napolitano,-0.09,-0.72,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,39,33,Gimnasia,Jonathan  Cabral,-0.78,-0.5,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,42,46,Gimnasia,Matías Ramírez,-0.12,0.68,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,43,16,Independiente Riv. (M),Mauro Maidana,0.61,0.58,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,45,59,Independiente Riv. (M),Gastón Gil Romero,-0.54,-0.61,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,48,20,Gimnasia,Juan Pintado,0.2,-0.63,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,48,22,Independiente Riv. (M),Juan Manuel Vázquez,-0.07,-0.88,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,50,13,Independiente Riv. (M),Matías Reali,-0.32,-0.76,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,57,10,Gimnasia,Rodrigo Saravia,-0.13,-0.53,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,57,52,Independiente Riv. (M),Mauricio Asenjo,0.36,-0.35,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,65,37,Independiente Riv. (M),Tobías Ostchega,0.0,-0.6,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,67,4,Gimnasia,Pablo De Blasis,-0.27,0.73,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,67,19,Independiente Riv. (M),Tobías Ostchega,-0.43,-0.1,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,68,39,Independiente Riv. (M),Emmanuel Mas,-0.62,-0.68,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,72,32,Gimnasia,Rodrigo Gallo,-0.39,-0.24,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,73,18,Gimnasia,Jonathan  Cabral,0.12,-0.72,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,73,57,Independiente Riv. (M),Emmanuel Mas,-0.3,-0.64,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,74,32,Gimnasia,Felipe Sánchez,0.82,0.72,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,76,22,Gimnasia,Pablo De Blasis,0.61,-0.57,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,86,10,Independiente Riv. (M),Mauro Maidana,-0.38,-0.57,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,88,52,Gimnasia,Lucas Castro,-0.21,0.37,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,89,4,Independiente Riv. (M),Mauricio Asenjo,-0.14,-0.18,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,95,11,Independiente Riv. (M),Luciano Abecasis,-0.72,0.57,-1.0,,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,1,21,Independiente Riv. (M),Matías Reali,0.36,0.6,-1.0,Rodrigo Saravia,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,3,19,Gimnasia,Eric Ramírez,0.92,-0.86,-1.0,Mauro Maidana,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,6,50,Independiente Riv. (M),Bruno Bianchi,0.4,-0.32,-1.0,Franco Troyansky,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,19,25,Gimnasia,Franco Troyansky,-0.16,-0.5,-1.0,Luciano Abecasis,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,28,9,Gimnasia,Rodrigo Saravia,-0.4,0.72,-1.0,Matías Reali,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,30,10,Independiente Riv. (M),Francisco Petrasso,0.95,-0.82,-1.0,Benjamín Domínguez,,,,
30-01-2024,19:15,Gimnasia,Independiente Riv. (M),Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,29,30,Independiente Riv. (M),Antonio Napolitano,-0.45,-0.76,-1.0,Matías Ramírez,,,,
