date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
30-01-2024,17:00,Huracán,Talleres,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,8,7,Huracán,Andrés Roa,0.05,0.65,-1.0,,,,,
30-01-2024,17:00,Huracán,Talleres,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,8,14,Huracán,Lucas Carrizo,-0.29,0.3,-1.0,,,,,
30-01-2024,17:00,Huracán,Talleres,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,10,58,Huracán,Walter Mazzantti,-0.17,0.47,-1.0,,,,,
30-01-2024,17:00,Huracán,Talleres,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,14,31,Huracán,Lucas Carrizo,-0.28,0.4,-1.0,,,,,
30-01-2024,17:00,Huracán,Talleres,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,15,7,Talleres,Juan Camilo Portilla,0.4,-0.27,-1.0,,,,,
30-01-2024,17:00,Huracán,Talleres,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,26,2,Huracán,César Ibáñez,-0.37,-0.69,-1.0,,,,,
30-01-2024,17:00,Huracán,Talleres,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,47,29,Talleres,Rubén Botta,0.23,0.21,-1.0,,,,,
30-01-2024,17:00,Huracán,Talleres,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,48,44,Huracán,Lucas Carrizo,-0.17,0.02,-1.0,,,,,
30-01-2024,17:00,Huracán,Talleres,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,48,56,Huracán,Lucas Carrizo,-0.32,-0.59,-1.0,,,,,
30-01-2024,17:00,Huracán,Talleres,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,46,32,Huracán,Agustín Toledo,0.4,-0.44,-1.0,,,,,
30-01-2024,17:00,Huracán,Talleres,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,51,17,Talleres,Juan Camilo Portilla,-0.58,-0.54,-1.0,,,,,
30-01-2024,17:00,Huracán,Talleres,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,55,33,Huracán,Williams Alarcón,-0.18,-0.31,-1.0,,,,,
30-01-2024,17:00,Huracán,Talleres,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,73,46,Huracán,César Ibáñez,0.82,0.7,-1.0,,,,,
30-01-2024,17:00,Huracán,Talleres,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,75,2,Huracán,Lucas Souto,0.37,-0.91,-1.0,,,,,
30-01-2024,17:00,Huracán,Talleres,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,85,39,Huracán,Lucas Souto,-0.08,-0.68,-1.0,,,,,
30-01-2024,17:00,Huracán,Talleres,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,2,94,41,Huracán,Fernando Tobio,0.2,-0.8,-1.0,,,,,
