date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
30-01-2024,21:30,Lanús,Newell`s,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,0,57,Newell`s,Guillermo May,0.3,-0.74,-1.0,,,,,
30-01-2024,21:30,Lanús,Newell`s,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,5,46,Lanús,Felipe Peña Biafore,0.09,0.35,-1.0,,,,,
30-01-2024,21:30,Lanús,Newell`s,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,7,28,Newell`s,Ángelo Martino,-0.28,0.67,-1.0,,,,,
30-01-2024,21:30,Lanús,Newell`s,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,8,30,Newell`s,Rodrigo Fernández,0.31,-0.51,-1.0,,,,,
30-01-2024,21:30,Lanús,Newell`s,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,14,48,Lanús,Marcelino Moreno,-0.14,-0.86,-1.0,,,,,
30-01-2024,21:30,Lanús,Newell`s,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,22,5,Lanús,Raúl Loaiza,-0.11,0.45,-1.0,,,,,
30-01-2024,21:30,Lanús,Newell`s,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,22,46,Newell`s,Ian Glavinovich,0.78,-0.02,-1.0,,,,,
30-01-2024,21:30,Lanús,Newell`s,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,26,15,Lanús,José María Canale,-0.44,0.79,-1.0,,,,,
30-01-2024,21:30,Lanús,Newell`s,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,26,7,Newell`s,Ángelo Martino,0.52,0.7,-1.0,,,,,
30-01-2024,21:30,Lanús,Newell`s,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,27,45,Lanús,José María Canale,-0.5,0.25,-1.0,,,,,
30-01-2024,21:30,Lanús,Newell`s,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,27,40,Newell`s,Guillermo May,-0.03,0.01,-1.0,,,,,
30-01-2024,21:30,Lanús,Newell`s,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,27,59,Newell`s,Guillermo May,-0.38,-0.57,-1.0,,,,,
30-01-2024,21:30,Lanús,Newell`s,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,34,10,Newell`s,Franco Díaz,-0.4,0.87,-1.0,,,,,
30-01-2024,21:30,Lanús,Newell`s,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,34,40,Newell`s,Guillermo May,-0.31,0.32,-1.0,,,,,
30-01-2024,21:30,Lanús,Newell`s,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,40,23,Newell`s,Ever Banega,0.24,-0.57,-1.0,,,,,
30-01-2024,21:30,Lanús,Newell`s,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,42,51,Newell`s,Franco Díaz,0.11,0.67,-1.0,,,,,
30-01-2024,21:30,Lanús,Newell`s,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,45,9,Newell`s,Guillermo May,0.29,-0.04,-1.0,,,,,
30-01-2024,21:30,Lanús,Newell`s,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,45,43,Lanús,Walter Bou,0.16,-0.58,-1.0,,,,,
30-01-2024,21:30,Lanús,Newell`s,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,46,51,Lanús,Felipe Peña Biafore,0.34,0.45,-1.0,,,,,
30-01-2024,21:30,Lanús,Newell`s,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,47,50,Lanús,Nery Domínguez,0.5,-0.04,-1.0,,,,,
30-01-2024,21:30,Lanús,Newell`s,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,49,20,Lanús,Nery Domínguez,-0.22,-0.35,-1.0,,,,,
30-01-2024,21:30,Lanús,Newell`s,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,52,25,Newell`s,Ever Banega,-0.34,-0.51,-1.0,,,,,
30-01-2024,21:30,Lanús,Newell`s,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,53,1,Newell`s,Brian Aguirre,0.09,-0.37,-1.0,,,,,
