date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,9,16,Banfield,Yvo Calleros,0.13,0.31,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,9,50,Banfield,,0.0,-0.03,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,11,57,Rosario Central,Tomás O'Connor,-0.32,-0.62,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,13,29,Rosario Central,Facundo Mallo,-0.71,0.36,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,13,52,Rosario Central,Kevin Ortiz,0.18,0.41,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,14,53,Banfield,Ignacio Rodríguez,0.48,-0.27,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,22,47,Rosario Central,Ignacio Malcorra,-0.52,0.64,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,23,26,Rosario Central,Ignacio Malcorra,-0.44,0.29,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,25,25,Rosario Central,Tomás O'Connor,0.33,-0.42,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,33,28,Rosario Central,Maximiliano Lovera,-0.32,-0.7,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,35,55,Rosario Central,Elías Ocampo,-0.24,0.51,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,44,22,Rosario Central,Tomás O'Connor,-0.58,-0.33,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,44,49,Rosario Central,Elías Ocampo,-0.31,0.48,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,46,40,Rosario Central,Jaminton Campaz,0.43,0.6,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,50,30,Rosario Central,Facundo Mallo,0.65,-0.4,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,53,35,Rosario Central,Jaminton Campaz,-0.15,0.68,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,53,49,Rosario Central,Agustín Sández,0.18,0.26,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,54,29,Rosario Central,Agustín Sández,0.48,0.58,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,56,19,Rosario Central,Agustín Sández,0.8,0.71,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,64,8,Rosario Central,Maximiliano Lovera,-0.46,-0.59,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,64,30,Rosario Central,Agustín Sández,-0.29,0.48,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,70,15,Rosario Central,Maximiliano Lovera,0.68,-0.71,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,70,39,Rosario Central,Franco Ibarra,-0.3,0.72,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,72,19,Rosario Central,Mauricio Martínez,-0.17,0.28,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,81,43,Rosario Central,Facundo Mallo,0.64,-0.22,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,82,55,Rosario Central,Agustín Sández,0.33,0.72,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,83,17,Rosario Central,Juan Cruz Komar,0.82,-0.55,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,83,26,Rosario Central,Francesco Lo Celso,0.4,-0.29,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,87,2,Rosario Central,Facundo Mallo,0.06,-0.48,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,1,6,22,Banfield,Gerónimo Rivera,0.53,0.04,-1.0,Ignacio Malcorra,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,1,9,22,Rosario Central,Elías Ocampo,-0.11,0.73,-1.0,Gerónimo Rivera,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,1,9,56,Rosario Central,Ignacio Malcorra,-0.17,-0.46,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,1,16,31,Banfield,Ignacio Rodríguez,0.41,0.88,-1.0,Kevin Ortiz,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,1,17,37,Rosario Central,Elías Ocampo,0.37,0.96,-1.0,Gerónimo Rivera,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,1,28,1,Banfield,Luciano Recalde,-0.19,0.62,-1.0,Luca Martínez Dupuy,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,1,30,27,Banfield,Gerónimo Rivera,-0.49,0.78,-1.0,Elías Ocampo,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,1,33,31,Banfield,Ezequiel Cañete,-0.29,-0.49,-1.0,Maximiliano Lovera,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,47,34,Rosario Central,Facundo Mallo,-0.36,-0.59,-1.0,Milton Giménez,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,48,50,Rosario Central,Carlos Quintana,-0.22,0.3,-1.0,Ezequiel Cañete,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,50,54,Banfield,Luciano Recalde,0.19,-0.78,-1.0,Luca Martínez Dupuy,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,53,43,Banfield,Ezequiel Cañete,-0.2,0.7,-1.0,Jaminton Campaz,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,55,0,Rosario Central,Kevin Ortiz,0.27,-0.55,-1.0,Ignacio Rodríguez,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,55,17,Banfield,Ignacio Rodríguez,0.21,-0.55,-1.0,Ignacio Malcorra,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,57,13,Banfield,Luciano Recalde,-0.13,0.5,-1.0,Maximiliano Lovera,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,59,5,Banfield,Emanuel Coronel,0.18,0.86,-1.0,Jaminton Campaz,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,61,3,Rosario Central,Carlos Quintana,0.52,0.36,-1.0,Milton Giménez,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,73,25,Banfield,Lautaro Ríos,0.45,0.4,-1.0,Franco Ibarra,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,75,16,Rosario Central,Facundo Mallo,0.63,-0.35,-1.0,Gerónimo Rivera,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,79,18,Banfield,Milton Giménez,0.39,-0.38,-1.0,Mauricio Martínez,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,80,52,Banfield,Emanuel Coronel,0.39,0.78,-1.0,Agustín Sández,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,88,45,Banfield,Lautaro Ríos,0.37,0.26,-1.0,Franco Ibarra,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,6,37,5,Banfield,Emanuel Coronel,0.35,-0.94,-1.0,Jaminton Campaz,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,6,37,3,Rosario Central,Mauricio Martínez,-0.44,0.49,-1.0,Yvo Calleros,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,84,52,Rosario Central,Carlos Quintana,-0.67,0.08,-1.0,Yvo Calleros,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,shot,1,7,58,Rosario Central,Ignacio Malcorra,0.5,0.02,-1.0,,0.99,-0.06,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,shot,1,10,46,Banfield,Ignacio Rodríguez,-0.68,0.46,-1.0,,-0.99,0.3,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,shot,1,12,12,Rosario Central,Lautaro Giaccone,0.5,0.34,-1.0,,0.99,0.15,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,shot,1,15,14,Banfield,Milton Giménez,-0.52,0.17,-1.0,,-0.97,-0.18,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,shot,1,17,3,Banfield,Ignacio Rodríguez,-0.46,0.38,-1.0,,-0.99,-0.17,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,shot,1,25,54,Rosario Central,Ignacio Malcorra,0.51,-0.09,-1.0,Marcelo Barovero,0.99,-0.02,0.63,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,shot,1,35,18,Banfield,Ignacio Rodríguez,-0.68,0.49,-1.0,,-0.99,0.09,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,shot,2,58,0,Rosario Central,Jaminton Campaz,-0.63,0.48,-1.0,Marcelo Barovero,-0.99,0.09,0.19,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,shot,2,60,25,Rosario Central,Agustín Sández,-0.8,-0.02,-1.0,,-1.0,0.03,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,shot,2,80,20,Banfield,Lautaro Ríos,0.48,0.26,-1.0,Jorge Broun,0.97,0.06,0.17,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,shot,2,81,30,Rosario Central,Jaminton Campaz,-0.71,0.45,-1.0,Marcelo Barovero,-0.98,0.02,0.16,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,shot,2,90,39,Banfield,Lautaro Ríos,0.53,-0.29,-1.0,Jorge Broun,0.98,0.0,0.77,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,goal_kick,1,5,27,Rosario Central,Jorge Broun,,,,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,goal_kick,1,8,19,Banfield,Marcelo Barovero,,,,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,goal_kick,1,9,10,Rosario Central,Jorge Broun,,,,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,goal_kick,1,12,36,Banfield,Marcelo Barovero,,,,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,goal_kick,1,15,35,Rosario Central,Jorge Broun,,,,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,goal_kick,1,17,27,Rosario Central,Jorge Broun,,,,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,goal_kick,1,34,48,Banfield,Marcelo Barovero,,,,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,goal_kick,1,35,53,Rosario Central,Jorge Broun,,,,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,goal_kick,1,43,45,Rosario Central,Jorge Broun,,,,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,goal_kick,2,60,48,Banfield,Marcelo Barovero,,,,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,goal_kick,2,66,13,Banfield,Marcelo Barovero,,,,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,goal_kick,2,91,30,Rosario Central,Jorge Broun,,,,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,1,1,16,Rosario Central,Elías Ocampo,-0.31,0.96,-1.0,,-0.56,0.86,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,1,4,12,Banfield,,-0.43,0.96,-1.0,,-0.75,0.32,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,1,13,25,Banfield,,-0.27,0.96,-1.0,,-0.79,0.38,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,1,14,41,Rosario Central,Agustín Sández,-0.1,-0.97,-1.0,,-0.06,-0.74,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,1,19,7,Banfield,,-0.22,0.95,-1.0,,-0.4,0.65,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,1,22,5,Banfield,,-0.35,0.99,-1.0,,-0.71,0.31,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,1,29,7,Banfield,,0.41,0.95,-1.0,,0.07,0.68,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,1,33,23,Banfield,Emanuel Coronel,-0.26,-0.91,-1.0,,-0.52,-0.83,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,1,39,15,Banfield,,-0.4,0.96,-1.0,,-0.66,0.55,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,1,40,33,Banfield,Emanuel Coronel,0.07,-0.96,-1.0,,0.24,-0.72,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,1,42,22,Banfield,Emanuel Coronel,0.12,-0.94,-1.0,,-0.06,-0.39,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,1,46,8,Banfield,,-0.47,0.98,-1.0,,-0.68,0.51,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,2,48,39,Banfield,Emanuel Coronel,-0.3,0.98,-1.0,,0.01,0.78,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,2,54,20,Banfield,Emanuel Coronel,-0.39,0.97,-1.0,,0.12,0.75,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,2,56,9,Banfield,Emanuel Coronel,0.49,0.98,-1.0,,0.92,0.72,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,2,56,40,Rosario Central,Agustín Sández,0.6,0.97,-1.0,,0.23,0.9,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,2,67,9,Banfield,Emanuel Coronel,0.23,0.98,-1.0,,0.59,0.76,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,2,67,35,Banfield,,0.53,-0.95,-1.0,,0.39,-0.78,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,2,68,19,Rosario Central,Agustín Sández,0.51,0.95,-1.0,,0.19,0.86,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,2,68,32,Banfield,Emanuel Coronel,0.28,0.97,-1.0,,0.56,0.81,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,2,68,59,Banfield,Emanuel Coronel,0.62,0.98,-1.0,,0.73,0.38,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,2,70,13,Banfield,,0.61,-0.92,-1.0,,0.6,-0.66,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,2,72,15,Banfield,Emanuel Coronel,-0.49,0.98,-1.0,,-0.43,0.8,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,2,72,56,Banfield,,0.53,-0.96,-1.0,,0.89,-0.74,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,2,76,49,Banfield,,0.64,-0.94,-1.0,,0.86,-0.54,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,2,84,25,Rosario Central,Jaminton Campaz,-0.64,0.97,-1.0,,-0.64,0.82,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,2,88,10,Banfield,Emanuel Coronel,-0.37,0.98,-1.0,,0.06,0.86,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,2,90,24,Banfield,,0.29,-0.91,-1.0,,0.54,-0.72,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,throw_in,2,92,38,Banfield,Emanuel Coronel,-0.37,0.95,-1.0,,0.2,0.85,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,yellow,2,59,7,Banfield,Emanuel Coronel,,,,,,,,Sujetar al rival para impedirle avanzar
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,yellow,2,73,32,Banfield,Lautaro Ríos,,,,,,,,Sujetar al rival para impedirle avanzar
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,offside,1,46,20,Banfield,Ezequiel Cañete,-0.7,0.07,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,offside,2,63,23,Banfield,Milton Giménez,0.85,-0.3,-1.0,,,,,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,completed_pass,1,0,3,Banfield,Milton Giménez,0.0,-0.01,-1.0,Alejandro Maciel,0.54,-0.43,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,completed_pass,1,0,8,Banfield,Alejandro Maciel,0.54,-0.42,-1.0,Ignacio Rodríguez,-0.35,0.6,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,completed_pass,1,0,12,Banfield,Ignacio Rodríguez,-0.37,0.7,-1.0,Gerónimo Rivera,-0.7,0.82,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,completed_pass,1,0,27,Rosario Central,Jorge Broun,-0.77,0.13,-1.0,Facundo Mallo,-0.82,0.49,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,completed_pass,1,0,45,Banfield,Ignacio Rodríguez,0.23,0.42,-1.0,,0.56,0.81,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,completed_pass,1,0,31,Rosario Central,Facundo Mallo,-0.68,0.24,-1.0,Jorge Broun,-0.68,0.17,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,completed_pass,1,0,48,Banfield,,0.53,0.75,-1.0,Milton Giménez,-0.33,0.1,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,completed_pass,1,0,51,Banfield,Milton Giménez,-0.36,0.06,-1.0,Yvo Calleros,0.22,-0.03,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,completed_pass,1,1,20,Rosario Central,Facundo Mallo,-0.58,0.45,-1.0,Luca Martínez Dupuy,0.06,0.07,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,completed_pass,1,2,50,Banfield,Luciano Recalde,0.31,0.12,-1.0,Alejandro Maciel,0.5,-0.5,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,completed_pass,1,2,56,Banfield,Yvo Calleros,0.17,0.33,-1.0,Ignacio Rodríguez,-0.3,0.79,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,completed_pass,1,5,55,Rosario Central,Facundo Mallo,-0.24,0.59,-1.0,Tomás O'Connor,-0.27,0.46,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,completed_pass,1,5,59,Rosario Central,Tomás O'Connor,-0.28,0.2,-1.0,Agustín Sández,-0.18,-0.25,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,completed_pass,1,6,2,Rosario Central,Agustín Sández,-0.22,-0.39,-1.0,Maximiliano Lovera,0.07,-0.43,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,completed_pass,1,6,6,Rosario Central,Maximiliano Lovera,0.25,-0.74,-1.0,Tomás O'Connor,0.22,-0.46,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,completed_pass,1,6,9,Rosario Central,Tomás O'Connor,0.18,-0.54,-1.0,Ignacio Malcorra,0.19,-0.55,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,completed_pass,1,6,11,Rosario Central,Ignacio Malcorra,0.13,-0.72,-1.0,Tomás O'Connor,0.14,-0.65,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,completed_pass,1,6,12,Rosario Central,Tomás O'Connor,0.08,-0.64,-1.0,Maximiliano Lovera,0.15,-0.57,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,completed_pass,1,6,14,Rosario Central,Maximiliano Lovera,0.25,-0.55,-1.0,Tomás O'Connor,0.25,-0.59,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,completed_pass,1,6,16,Rosario Central,Tomás O'Connor,0.21,-0.72,-1.0,Maximiliano Lovera,0.29,-0.57,-1.0,
30-01-2024,19:15,Rosario Central,Banfield,Argentina - Copa LPF 2024,Gigante de Arroyito,completed_pass,1,6,18,Rosario Central,Maximiliano Lovera,0.27,-0.45,-1.0,Tomás O'Connor,0.33,-0.49,-1.0,
