date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,4,29,Vélez,Valentín Gómez,-0.36,0.2,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,5,20,Vélez,Valentín Gómez,-0.39,0.06,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,7,44,Independiente,Iván Marcone,0.72,0.17,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,9,20,Vélez,Elías Gómez,-0.13,-0.2,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,9,42,Independiente,David Martínez,0.49,-0.69,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,15,59,Independiente,Jhonny Quiñónez,0.58,0.03,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,16,45,Independiente,Gabriel Ávalos,-0.35,0.13,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,22,17,Independiente,Joaquín Laso,0.74,0.7,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,23,59,Independiente,Felipe Aguilar,0.7,-0.58,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,28,1,Independiente,Mauricio Isla,0.57,-0.7,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,29,2,Independiente,Lucas González,-0.35,-0.46,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,30,9,Independiente,Iván Marcone,0.45,-0.32,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,33,28,Independiente,David Martínez,0.53,-0.56,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,33,55,Independiente,Iván Marcone,-0.34,-0.4,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,34,2,Vélez,Elías Gómez,-0.37,0.13,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,35,46,Vélez,Santiago Cáseres,0.01,0.53,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,37,50,Independiente,Iván Marcone,0.09,-0.23,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,39,48,Independiente,Ayrton Costa,0.51,0.61,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,39,55,Independiente,Ayrton Costa,0.29,0.57,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,40,43,Independiente,Iván Marcone,0.47,0.45,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,41,3,Independiente,Santiago Toloza,-0.05,0.58,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,45,59,Independiente,Ayrton Costa,-0.66,-0.77,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,46,13,Independiente,Ayrton Costa,-0.43,-0.69,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,46,12,Vélez,Claudio Aquino,-0.27,-0.34,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,51,47,Independiente,Felipe Aguilar,-0.21,0.26,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,58,38,Independiente,Ayrton Costa,-0.38,-0.34,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,61,20,Independiente,David Martínez,-0.18,0.33,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,61,44,Independiente,Iván Marcone,-0.43,0.06,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,62,9,Independiente,Alex Luna,-0.47,0.17,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,66,32,Independiente,Felipe Aguilar,-0.38,0.54,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,66,20,Vélez,Emanuel Mammana,0.61,-0.13,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,69,27,Independiente,Jhonny Quiñónez,-0.33,0.19,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,74,16,Vélez,Leonardo Jara,0.72,-0.33,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,76,31,Vélez,Leonardo Jara,-0.03,-0.39,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,78,20,Independiente,Ayrton Costa,-0.28,0.17,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,80,48,Vélez,Juan Ignacio Méndez,0.31,-0.12,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,81,54,Independiente,Alex Luna,-0.26,-0.4,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,89,5,Vélez,Elías Cabrera,0.13,-0.19,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,90,13,Independiente,Alex Luna,0.36,-0.32,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,90,10,Vélez,Leonardo Jara,0.9,-0.6,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,91,14,Independiente,Iván Marcone,-0.45,-0.48,-1.0,,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,1,0,15,Vélez,Lenny Lobato,0.28,-0.06,-1.0,Mauricio Isla,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,1,0,42,Vélez,Braian Romero,0.41,-0.63,-1.0,Felipe Aguilar,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,1,2,56,Vélez,José Florentín,0.31,-0.52,-1.0,Santiago Toloza,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,1,5,21,Independiente,Ayrton Costa,-0.22,-0.56,-1.0,Matías Pellegrini,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,1,7,37,Vélez,Matías Pellegrini,0.48,0.66,-1.0,Gabriel Ávalos,,,,
30-01-2024,21:30,Vélez,Independiente,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,1,8,42,Vélez,Santiago Cáseres,-0.17,-0.57,-1.0,Santiago Toloza,,,,
