date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
31-01-2024,17:00,Argentinos Juniors,Dep. Riestra,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,3,31,Argentinos Juniors,Alan Rodríguez,-0.53,0.64,-1.0,,,,,
31-01-2024,17:00,Argentinos Juniors,Dep. Riestra,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,4,3,Argentinos Juniors,Jonatan Galván,-0.14,0.45,-1.0,,,,,
31-01-2024,17:00,Argentinos Juniors,Dep. Riestra,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,5,28,Dep. Riestra,Jonatan Goitía,0.5,-0.57,-1.0,,,,,
31-01-2024,17:00,Argentinos Juniors,Dep. Riestra,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,9,39,Argentinos Juniors,Franco Moyano,0.17,0.44,-1.0,,,,,
31-01-2024,17:00,Argentinos Juniors,Dep. Riestra,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,9,37,Dep. Riestra,Nicolás Caro Torres,0.54,0.1,-1.0,,,,,
31-01-2024,17:00,Argentinos Juniors,Dep. Riestra,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,11,53,Argentinos Juniors,Franco Moyano,-0.18,-0.32,-1.0,,,,,
31-01-2024,17:00,Argentinos Juniors,Dep. Riestra,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,14,5,Argentinos Juniors,Maximiliano Romero,-0.38,-0.13,-1.0,,,,,
31-01-2024,17:00,Argentinos Juniors,Dep. Riestra,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,18,20,Argentinos Juniors,Franco Moyano,-0.4,0.3,-1.0,,,,,
31-01-2024,17:00,Argentinos Juniors,Dep. Riestra,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,18,15,Dep. Riestra,Pedro Ramírez,0.29,0.69,-1.0,,,,,
31-01-2024,17:00,Argentinos Juniors,Dep. Riestra,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,22,29,Dep. Riestra,Nicolás Dematei,0.35,0.61,-1.0,,,,,
31-01-2024,17:00,Argentinos Juniors,Dep. Riestra,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,24,34,Dep. Riestra,Walter Acuña,0.04,0.73,-1.0,,,,,
31-01-2024,17:00,Argentinos Juniors,Dep. Riestra,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,37,49,Dep. Riestra,Nicolás Dematei,0.87,0.66,-1.0,,,,,
31-01-2024,17:00,Argentinos Juniors,Dep. Riestra,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,42,41,Argentinos Juniors,Román Vega,0.03,-0.65,-1.0,,,,,
31-01-2024,17:00,Argentinos Juniors,Dep. Riestra,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,45,26,Argentinos Juniors,Maximiliano Romero,0.31,0.63,-1.0,,,,,
31-01-2024,17:00,Argentinos Juniors,Dep. Riestra,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,45,43,Dep. Riestra,Milton Céliz,0.46,0.58,-1.0,,,,,
