date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
31-01-2024,21:30,Barracas Central,River Plate,Argentina - Copa LPF 2024,Claudio Chiqui Tapia,steal,1,2,13,Barracas Central,Siro Rosané,-0.33,-0.14,-1.0,,,,,
31-01-2024,21:30,Barracas Central,River Plate,Argentina - Copa LPF 2024,Claudio Chiqui Tapia,steal,1,3,25,River Plate,Ignacio Fernández,0.37,0.33,-1.0,,,,,
31-01-2024,21:30,Barracas Central,River Plate,Argentina - Copa LPF 2024,Claudio Chiqui Tapia,steal,1,6,42,River Plate,Nicolás Fonseca,-0.05,0.76,-1.0,,,,,
31-01-2024,21:30,Barracas Central,River Plate,Argentina - Copa LPF 2024,Claudio Chiqui Tapia,steal,1,7,33,River Plate,Esequiel Barco,0.11,0.61,-1.0,,,,,
31-01-2024,21:30,Barracas Central,River Plate,Argentina - Copa LPF 2024,Claudio Chiqui Tapia,steal,1,7,53,Barracas Central,Nicolás Demartini,-0.46,-0.22,-1.0,,,,,
31-01-2024,21:30,Barracas Central,River Plate,Argentina - Copa LPF 2024,Claudio Chiqui Tapia,steal,1,8,12,River Plate,Nicolás Fonseca,0.8,0.9,-1.0,,,,,
31-01-2024,21:30,Barracas Central,River Plate,Argentina - Copa LPF 2024,Claudio Chiqui Tapia,steal,1,8,30,Barracas Central,Siro Rosané,0.23,0.29,-1.0,,,,,
31-01-2024,21:30,Barracas Central,River Plate,Argentina - Copa LPF 2024,Claudio Chiqui Tapia,steal,1,10,30,Barracas Central,Facundo Mater,-0.75,0.77,-1.0,,,,,
31-01-2024,21:30,Barracas Central,River Plate,Argentina - Copa LPF 2024,Claudio Chiqui Tapia,steal,1,11,21,River Plate,Nicolás Fonseca,0.41,0.41,-1.0,,,,,
31-01-2024,21:30,Barracas Central,River Plate,Argentina - Copa LPF 2024,Claudio Chiqui Tapia,steal,1,12,59,Barracas Central,Nicolás Capraro,-0.02,0.04,-1.0,,,,,
31-01-2024,21:30,Barracas Central,River Plate,Argentina - Copa LPF 2024,Claudio Chiqui Tapia,steal,1,14,32,River Plate,Ignacio Fernández,-0.29,-0.19,-1.0,,,,,
31-01-2024,21:30,Barracas Central,River Plate,Argentina - Copa LPF 2024,Claudio Chiqui Tapia,steal,1,14,35,Barracas Central,Rodrigo Insúa,-0.44,-0.52,-1.0,,,,,
31-01-2024,21:30,Barracas Central,River Plate,Argentina - Copa LPF 2024,Claudio Chiqui Tapia,steal,1,15,15,Barracas Central,Daniel Juárez,0.24,0.47,-1.0,,,,,
31-01-2024,21:30,Barracas Central,River Plate,Argentina - Copa LPF 2024,Claudio Chiqui Tapia,steal,1,15,41,Barracas Central,Nicolás Capraro,-0.42,0.12,-1.0,,,,,
31-01-2024,21:30,Barracas Central,River Plate,Argentina - Copa LPF 2024,Claudio Chiqui Tapia,steal,1,19,44,River Plate,Leandro González Pirez,0.78,-0.46,-1.0,,,,,
