date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
31-01-2024,19:15,Belgrano,San Lorenzo,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,6,41,San Lorenzo,Cristian Ferreira,-0.26,0.16,-1.0,,,,,
31-01-2024,19:15,Belgrano,San Lorenzo,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,8,50,Belgrano,Matías Moreno,-0.19,0.22,-1.0,,,,,
31-01-2024,19:15,Belgrano,San Lorenzo,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,8,29,San Lorenzo,Cristian Tarragona,0.19,-0.63,-1.0,,,,,
31-01-2024,19:15,Belgrano,San Lorenzo,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,9,44,San Lorenzo,Gastón Campi,0.38,0.71,-1.0,,,,,
31-01-2024,19:15,Belgrano,San Lorenzo,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,10,47,Belgrano,Santiago Longo,-0.13,0.08,-1.0,,,,,
31-01-2024,19:15,Belgrano,San Lorenzo,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,10,33,San Lorenzo,Carlos Sánchez,0.33,0.38,-1.0,,,,,
31-01-2024,19:15,Belgrano,San Lorenzo,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,11,29,San Lorenzo,Malcom Braida,0.2,0.55,-1.0,,,,,
31-01-2024,19:15,Belgrano,San Lorenzo,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,21,6,San Lorenzo,Adam Bareiro,-0.41,0.3,-1.0,,,,,
31-01-2024,19:15,Belgrano,San Lorenzo,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,28,28,Belgrano,Santiago Longo,0.03,0.52,-1.0,,,,,
31-01-2024,19:15,Belgrano,San Lorenzo,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,29,0,San Lorenzo,Cristian Ferreira,-0.36,-0.51,-1.0,,,,,
31-01-2024,19:15,Belgrano,San Lorenzo,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,29,12,San Lorenzo,Malcom Braida,-0.6,0.55,-1.0,,,,,
31-01-2024,19:15,Belgrano,San Lorenzo,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,32,55,San Lorenzo,Carlos Sánchez,0.42,-0.49,-1.0,,,,,
31-01-2024,19:15,Belgrano,San Lorenzo,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,33,56,San Lorenzo,Elián Irala,-0.03,-0.42,-1.0,,,,,
31-01-2024,19:15,Belgrano,San Lorenzo,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,45,9,San Lorenzo,Carlos Sánchez,-0.22,-0.23,-1.0,,,,,
31-01-2024,19:15,Belgrano,San Lorenzo,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,45,56,San Lorenzo,Cristian Ferreira,0.4,-0.33,-1.0,,,,,
31-01-2024,19:15,Belgrano,San Lorenzo,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,46,17,San Lorenzo,Carlos Sánchez,0.01,-0.44,-1.0,,,,,
31-01-2024,19:15,Belgrano,San Lorenzo,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,50,11,Belgrano,Ulises Sánchez,0.21,-0.33,-1.0,,,,,
31-01-2024,19:15,Belgrano,San Lorenzo,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,53,29,Belgrano,Santiago Longo,0.67,0.26,-1.0,,,,,
