date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,steal,1,0,34,Defensa y Justicia,Kevin López,-0.07,0.58,-1.0,,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,steal,1,2,30,Defensa y Justicia,Kevin López,-0.2,0.48,-1.0,,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,steal,1,3,31,Platense,Iván Gómez,-0.08,-0.04,-1.0,,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,steal,1,24,40,Defensa y Justicia,Julián López,-0.1,0.0,-1.0,,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,steal,1,34,0,Defensa y Justicia,Kevin López,0.13,0.41,-1.0,,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,steal,1,34,15,Defensa y Justicia,Julián López,-0.06,-0.65,-1.0,,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,steal,1,36,51,Platense,Oscar Salomón,-0.16,0.43,-1.0,,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,steal,1,39,21,Defensa y Justicia,Julián López,-0.55,-0.68,-1.0,,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,steal,2,47,36,Defensa y Justicia,Kevin López,-0.17,-0.85,-1.0,,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,steal,2,50,55,Defensa y Justicia,Nicolás Tripichio,0.88,-0.78,-1.0,,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,steal,2,55,9,Defensa y Justicia,Santiago Ramos Mingo,0.4,0.56,-1.0,,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,steal,2,55,58,Defensa y Justicia,Nicolás Tripichio,-0.72,-0.58,-1.0,,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,steal,2,57,29,Defensa y Justicia,Alexis Soto,0.09,0.53,-1.0,,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,steal,2,57,31,Platense,Ignacio Vázquez,-0.41,0.34,-1.0,,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,steal,2,60,44,Defensa y Justicia,Alexis Soto,0.9,0.76,-1.0,,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,steal,2,62,31,Defensa y Justicia,Julián López,0.22,0.52,-1.0,,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,steal,2,71,50,Defensa y Justicia,Gabriel Alanís,0.47,-0.59,-1.0,,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,steal,2,72,48,Defensa y Justicia,Alexis Soto,0.5,0.36,-1.0,,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,steal,2,79,31,Defensa y Justicia,Franco Romero,0.11,0.15,-1.0,,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,steal,2,85,6,Defensa y Justicia,Franco Romero,0.39,-0.06,-1.0,,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,steal,2,85,54,Defensa y Justicia,Alexis Soto,0.44,-0.11,-1.0,,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,foul,1,6,14,Platense,Raúl Lozano,0.44,-0.53,-1.0,Gastón Togni,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,foul,1,9,45,Platense,Fernando Juárez,0.27,-0.41,-1.0,Julián López,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,foul,1,17,15,Defensa y Justicia,Luciano Herrera,0.31,0.58,-1.0,Braian Rivero,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,foul,1,26,20,Platense,Oscar Salomón,0.55,0.41,-1.0,Luciano Herrera,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,foul,1,31,22,Defensa y Justicia,Gabriel Alanís,0.65,-0.82,-1.0,Fernando Juárez,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,foul,1,31,40,Defensa y Justicia,Luciano Herrera,0.51,0.5,-1.0,Braian Rivero,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,foul,1,35,8,Defensa y Justicia,Julián López,0.17,0.54,-1.0,Luciano Ferreyra,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,foul,1,41,41,Platense,Fernando Juárez,0.11,-0.66,-1.0,Gastón Togni,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,foul,1,46,36,Defensa y Justicia,Nicolás Tripichio,0.32,0.76,-1.0,Luciano Ferreyra,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,foul,2,48,15,Platense,Mateo Pellegrino,0.19,0.46,-1.0,Alexis Soto,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,foul,2,49,16,Defensa y Justicia,Alexis Soto,-0.22,0.88,-1.0,Mateo Pellegrino,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,foul,2,58,27,Defensa y Justicia,Alexis Soto,0.24,0.65,-1.0,Agustín Ocampo,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,foul,2,61,3,Platense,Mateo Pellegrino,0.44,0.74,-1.0,Alexis Soto,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,foul,2,61,28,Defensa y Justicia,Kevin López,-0.17,-0.68,-1.0,Agustín Obando,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,foul,2,69,35,Defensa y Justicia,Nicolás Fernández,0.4,0.62,-1.0,Sasha Marcich,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,foul,2,71,20,Defensa y Justicia,Gabriel Alanís,0.18,-0.69,-1.0,Sasha Marcich,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,foul,2,71,53,Platense,Carlos Villalba,0.17,-0.6,-1.0,Gabriel Alanís,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,foul,2,77,2,Defensa y Justicia,Emanuel Aguilera,0.39,-0.5,-1.0,Agustín Ocampo,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,foul,2,83,30,Platense,Luciano Ferreyra,0.51,-0.45,-1.0,Gastón Togni,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,foul,2,92,20,Platense,Ignacio Vázquez,-0.46,0.22,-1.0,Darío Cáceres,,,,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,1,2,7,Platense,Luciano Ferreyra,-0.61,0.28,-1.0,Cristopher Fiermarín,-0.98,-0.02,0.33,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,1,4,25,Defensa y Justicia,Nicolás Fernández,0.62,0.09,-1.0,,0.75,0.18,-1.0,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,1,5,15,Defensa y Justicia,Luciano Herrera,0.81,-0.14,-1.0,,0.98,0.13,0.41,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,1,5,17,Defensa y Justicia,Santiago Ramos Mingo,0.77,0.08,-1.0,Juan Pablo Cozzani,0.97,-0.08,0.65,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,1,9,19,Defensa y Justicia,Nicolás Tripichio,0.44,0.22,-1.0,,0.56,0.23,-1.0,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,1,11,36,Platense,Ignacio Vázquez,-0.81,0.0,-1.0,,-0.92,0.11,-1.0,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,1,12,22,Defensa y Justicia,Nicolás Fernández,0.67,-0.17,-1.0,,1.0,-0.27,-1.0,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,1,15,27,Defensa y Justicia,Nicolás Fernández,0.82,0.01,-1.0,Juan Pablo Cozzani,1.0,0.01,0.59,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,1,16,20,Platense,Luciano Ferreyra,-0.49,0.18,-1.0,Cristopher Fiermarín,-0.94,-0.12,0.4,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,1,16,22,Platense,Iván Gómez,-0.84,-0.29,-1.0,,-0.97,-0.22,-1.0,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,1,19,46,Defensa y Justicia,Nicolás Fernández,0.71,0.0,-1.0,,0.99,0.08,0.36,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,1,24,52,Defensa y Justicia,Gastón Togni,0.7,-0.25,-1.0,,0.98,0.08,0.32,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,1,27,34,Defensa y Justicia,Gastón Togni,0.55,0.42,-1.0,,0.73,0.28,-1.0,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,1,37,29,Defensa y Justicia,Gabriel Alanís,0.68,-0.3,-1.0,,0.99,0.08,0.27,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,1,38,54,Defensa y Justicia,Nicolás Fernández,0.89,-0.34,-1.0,Juan Pablo Cozzani,0.96,-0.16,0.25,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,1,43,25,Defensa y Justicia,Gastón Togni,0.78,-0.29,-1.0,Juan Pablo Cozzani,0.95,0.01,0.39,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,1,44,58,Platense,Ronaldo Martínez,-0.72,0.15,-1.0,Cristopher Fiermarín,-0.96,0.08,0.3,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,2,46,27,Platense,Mateo Pellegrino,0.78,0.24,-1.0,Cristopher Fiermarín,0.94,0.01,0.64,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,2,54,11,Platense,Agustín Ocampo,0.48,0.17,-1.0,,0.98,0.19,-1.0,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,2,59,41,Platense,Ignacio Vázquez,0.78,0.11,-1.0,,1.0,0.05,-1.0,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,2,69,2,Platense,Agustín Ocampo,0.48,-0.04,-1.0,Cristopher Fiermarín,0.98,0.04,0.67,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,2,78,9,Platense,Luciano Ferreyra,0.52,-0.34,-1.0,,0.98,-0.06,-1.0,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,2,78,56,Platense,Agustín Ocampo,0.46,0.24,-1.0,,0.96,0.17,-1.0,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,2,79,42,Platense,Mateo Pellegrino,0.46,0.06,-1.0,,0.61,0.06,-1.0,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,2,81,19,Defensa y Justicia,Nicolás Fernández,-0.7,0.04,-1.0,Juan Pablo Cozzani,-0.79,0.02,0.4,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,2,82,51,Platense,Oscar Salomón,0.77,0.16,-1.0,,0.94,-0.22,-1.0,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,2,83,22,Platense,Agustín Ocampo,0.69,0.08,-1.0,Cristopher Fiermarín,0.89,-0.11,0.25,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,2,91,14,Platense,Ignacio Vázquez,0.76,0.07,-1.0,,0.84,0.04,-1.0,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,2,91,41,Platense,Sasha Marcich,0.78,0.21,-1.0,,0.99,-0.26,-1.0,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,shot,2,94,39,Defensa y Justicia,Nicolás Tripichio,-0.51,-0.33,-1.0,,-0.98,0.23,-1.0,
31-01-2024,17:45,Defensa y Justicia,Platense,Argentina - Copa LPF 2024,General San Martín,goal_kick,1,12,43,Platense,Juan Pablo Cozzani,,,,,,,,
