date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,steal,1,0,54,Racing Club,Roger Martínez,0.26,-0.37,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,steal,1,6,39,Racing Club,Agustín García Basso,-0.53,-0.31,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,steal,1,8,44,Racing Club,Agustín Almendra,0.12,0.1,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,steal,1,12,19,Racing Club,Santiago Sosa,-0.14,0.43,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,steal,1,12,35,Racing Club,Roger Martínez,-0.12,0.5,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,steal,1,13,7,Racing Club,Agustín Almendra,-0.28,-0.29,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,steal,1,17,52,Tigre,Juan Manuel Sánchez Miño,-0.23,0.48,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,steal,1,19,28,Racing Club,Tobías Rubio,0.14,0.68,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,steal,1,20,42,Racing Club,Juan Fernando Quintero,0.07,-0.01,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,steal,1,21,51,Racing Club,Santiago Solari,-0.04,0.11,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,steal,1,39,29,Racing Club,Agustín Almendra,-0.41,0.63,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,steal,1,47,58,Racing Club,Agustín García Basso,0.19,-0.39,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,steal,2,49,28,Racing Club,Santiago Solari,0.2,-0.8,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,steal,2,50,36,Tigre,Flabián Londoño,0.36,0.05,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,steal,2,57,28,Racing Club,Maximiliano Salas,-0.38,-0.72,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,steal,2,58,38,Racing Club,Agustín Almendra,0.28,-0.17,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,steal,2,59,48,Racing Club,Agustín Almendra,-0.13,0.53,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,steal,2,65,21,Racing Club,Tobías Rubio,0.35,-0.68,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,steal,2,65,14,Tigre,Pablo Adorno,-0.29,-0.76,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,steal,2,66,0,Tigre,Pablo Adorno,-0.75,-0.5,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,steal,2,72,21,Racing Club,Gabriel Rojas,0.64,0.87,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,steal,2,81,46,Racing Club,Tobías Rubio,0.57,-0.57,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,steal,2,82,21,Racing Club,Agustín García Basso,0.18,0.1,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,steal,2,83,42,Racing Club,Gastón Martirena,0.09,-0.33,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,steal,2,87,6,Racing Club,Tobías Rubio,0.56,-0.57,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,steal,2,88,55,Racing Club,Adrián Martínez,-0.42,-0.51,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,steal,2,89,41,Racing Club,Jonatan Gómez,-0.25,0.17,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,foul,1,1,18,Racing Club,Agustín Almendra,-0.33,-0.42,-1.0,Brahian Alemán,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,foul,1,10,54,Racing Club,Santiago Sosa,-0.32,-0.23,-1.0,Nicolás Contín,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,foul,1,16,24,Racing Club,Adrián Martínez,0.44,0.8,-1.0,Pablo Adorno,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,foul,1,30,18,Racing Club,Adrián Martínez,0.8,-0.82,-1.0,Augusto Aguirre,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,foul,1,32,32,Tigre,Martín Garay,-0.28,-0.94,-1.0,Gabriel Rojas,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,foul,1,34,3,Racing Club,Bruno Zuculini,-0.3,-0.21,-1.0,Brahian Alemán,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,foul,1,36,49,Racing Club,Tobías Rubio,0.17,-0.19,-1.0,Blas Armoa,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,foul,1,41,55,Racing Club,Bruno Zuculini,-0.26,-0.34,-1.0,Brahian Alemán,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,foul,2,47,13,Tigre,Matías Espíndola,0.27,0.57,-1.0,Gabriel Rojas,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,foul,2,48,32,Tigre,Martín Garay,-0.12,0.74,-1.0,Gabriel Rojas,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,foul,2,58,4,Racing Club,Agustín Almendra,,,,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,foul,2,59,11,Tigre,Pablo Adorno,-0.33,-0.02,-1.0,Adrián Martínez,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,foul,2,62,24,Racing Club,Juan Fernando Quintero,-0.36,-0.5,-1.0,Juan Manuel Sánchez Miño,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,foul,2,64,42,Tigre,Augusto Aguirre,0.19,0.86,-1.0,Maximiliano Salas,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,foul,2,74,36,Racing Club,Gastón Martirena,0.33,-0.07,-1.0,Gonzalo Maroni,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,foul,2,74,57,Tigre,Flabián Londoño,0.11,0.78,-1.0,Santiago Sosa,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,foul,2,79,55,Racing Club,Juan Fernando Quintero,0.39,0.46,-1.0,Matías Espíndola,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,foul,2,84,22,Tigre,Matías Espíndola,,,,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,foul,2,91,41,Racing Club,Maximiliano Salas,-0.34,-0.4,-1.0,Pablo Adorno,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,1,3,19,Racing Club,Agustín Almendra,0.74,-0.01,-1.0,,0.99,0.03,0.31,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,1,3,16,Racing Club,Agustín Almendra,0.73,0.03,-1.0,Matías Tagliamonte,0.79,0.02,0.33,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,1,3,14,Racing Club,Roger Martínez,0.74,-0.02,-1.0,Juan Manuel Sánchez Miño,0.78,0.03,0.25,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,1,9,25,Racing Club,Roger Martínez,0.91,0.22,-1.0,,1.0,-0.1,0.32,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,1,11,21,Tigre,Brahian Alemán,-0.32,-0.07,-1.0,,-0.99,0.07,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,1,15,39,Tigre,Brahian Alemán,-0.75,0.06,-1.0,,-0.99,-0.28,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,1,22,8,Racing Club,Santiago Solari,0.72,0.36,-1.0,Gian Nardelli,0.89,0.1,0.17,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,1,31,54,Tigre,Blas Armoa,-0.34,0.02,-1.0,,-1.0,-0.01,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,1,34,42,Tigre,Brahian Alemán,-0.33,-0.29,-1.0,Gabriel Arias,-0.9,0.14,0.66,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,1,35,33,Tigre,Brahian Alemán,-0.39,0.78,-1.0,,-1.0,0.3,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,1,38,41,Tigre,Augusto Aguirre,-0.78,0.04,-1.0,Gabriel Arias,-0.97,0.05,0.43,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,1,40,37,Tigre,Augusto Aguirre,-0.36,-0.01,-1.0,,-1.0,-0.52,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,1,42,22,Tigre,Blas Armoa,-0.75,0.4,-1.0,,-1.0,0.05,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,1,43,34,Racing Club,Agustín Almendra,0.42,-0.23,-1.0,Matías Tagliamonte,0.92,-0.04,0.38,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,1,46,30,Racing Club,Santiago Solari,0.81,0.47,-1.0,Matías Tagliamonte,0.98,0.05,0.67,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,1,48,43,Tigre,Brahian Alemán,-0.41,-0.15,-1.0,Gabriel Arias,-0.95,0.02,0.84,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,2,47,42,Racing Club,Maximiliano Salas,-0.94,0.46,-1.0,Matías Tagliamonte,-0.96,0.1,0.4,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,2,50,53,Racing Club,Santiago Solari,-0.45,-0.33,-1.0,Matías Tagliamonte,-0.89,0.04,0.2,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,2,51,52,Racing Club,Santiago Solari,-0.51,-0.43,-1.0,Matías Tagliamonte,-0.92,0.04,0.22,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,2,57,43,Racing Club,Juan Fernando Quintero,-0.42,0.23,-1.0,,-0.65,0.08,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,2,69,45,Racing Club,Juan Fernando Quintero,-0.65,0.02,-1.0,,-0.99,-0.06,0.25,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,2,77,7,Tigre,Flabián Londoño,0.71,0.38,-1.0,Agustín García Basso,0.72,0.33,0.22,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,2,79,39,Tigre,Gonzalo Maroni,0.62,0.02,-1.0,Facundo Cambeses,0.96,0.03,0.45,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,2,80,49,Tigre,Pablo Adorno,0.75,-0.18,-1.0,,0.99,-0.35,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,2,83,53,Racing Club,Jonatan Gómez,-0.56,-0.02,-1.0,Matías Tagliamonte,-0.98,0.06,0.14,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,2,89,4,Racing Club,Gastón Martirena,-0.71,-0.13,-1.0,Gian Nardelli,-0.76,-0.1,0.3,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,2,90,51,Tigre,Ezequiel Forclaz,0.38,0.28,-1.0,,0.98,0.3,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,shot,2,86,50,Tigre,Gonzalo Maroni,0.48,-0.38,-1.0,Jonatan Gómez,0.51,-0.38,0.56,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,var,1,4,20,Racing Club,,,,,,,,,Revisión Gol
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,var,1,6,12,Racing Club,,,,,,,,,Gol confirmado
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,var,2,52,37,Racing Club,,,,,,,,,Revisión Penal
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,var,2,54,31,Racing Club,,,,,,,,,Penal anulado
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,goal_kick,1,16,13,Racing Club,Gabriel Arias,,,,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,goal_kick,1,29,16,Racing Club,Gabriel Arias,,,,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,goal_kick,1,32,23,Racing Club,Gabriel Arias,,,,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,goal_kick,1,36,7,Racing Club,Gabriel Arias,,,,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,goal_kick,1,41,34,Racing Club,Gabriel Arias,,,,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,goal_kick,1,43,1,Racing Club,Gabriel Arias,,,,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,goal_kick,2,55,56,Tigre,Matías Tagliamonte,,,,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,goal_kick,2,74,23,Racing Club,Facundo Cambeses,,,,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,goal_kick,2,81,9,Racing Club,Facundo Cambeses,,,,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,goal_kick,2,87,36,Tigre,Matías Tagliamonte,,,,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,goal_kick,2,91,28,Racing Club,Facundo Cambeses,,,,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,throw_in,1,7,3,Tigre,Juan Manuel Sánchez Miño,0.08,0.95,-1.0,,-0.33,0.78,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,throw_in,1,8,30,Racing Club,Tobías Rubio,0.24,0.96,-1.0,,0.19,0.67,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,throw_in,1,17,18,Racing Club,Tobías Rubio,-0.33,0.98,-1.0,,-0.49,0.44,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,throw_in,1,21,27,Racing Club,Gabriel Rojas,-0.49,-0.99,-1.0,,-0.23,-0.77,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,throw_in,1,25,5,Racing Club,Agustín García Basso,-0.57,-0.97,-1.0,,-0.28,-0.82,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,throw_in,1,25,45,Racing Club,Gabriel Rojas,0.17,-0.97,-1.0,,-0.19,-0.62,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,throw_in,1,38,3,Tigre,Martín Garay,-0.6,-0.98,-1.0,,-0.81,-0.38,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,throw_in,1,40,26,Tigre,Juan Manuel Sánchez Miño,-0.37,0.98,-1.0,,-0.62,0.84,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,throw_in,2,45,49,Racing Club,Gabriel Rojas,-0.32,0.97,-1.0,,-0.7,0.86,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,throw_in,2,46,9,Racing Club,Gabriel Rojas,-0.59,0.98,-1.0,,-0.75,0.3,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,throw_in,2,56,10,Racing Club,Agustín García Basso,-0.3,0.94,-1.0,,-0.54,0.85,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,throw_in,2,60,36,Racing Club,Gabriel Rojas,-0.59,0.98,-1.0,,-0.72,0.5,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,throw_in,2,64,9,Tigre,Martín Garay,0.72,0.98,-1.0,,0.76,0.66,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,throw_in,2,79,6,Tigre,Martín Garay,0.22,0.98,-1.0,,0.11,0.68,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,yellow,1,36,51,Racing Club,Tobías Rubio,,,,,,,,Conducta antideportiva
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,offside,1,2,25,Tigre,Augusto Aguirre,-0.74,0.26,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,offside,1,14,33,Racing Club,Santiago Solari,0.41,0.77,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,offside,1,29,36,Racing Club,Adrián Martínez,0.43,0.71,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,offside,2,66,58,Racing Club,Adrián Martínez,-0.42,-0.1,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,offside,2,68,24,Tigre,Gonzalo Maroni,0.57,-0.83,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,offside,2,90,36,Racing Club,Gabriel Rojas,-0.42,0.54,-1.0,,,,,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,completed_pass,1,0,4,Racing Club,Juan Fernando Quintero,0.0,0.01,-1.0,Agustín Almendra,-0.24,0.04,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,completed_pass,1,0,56,Racing Club,Roger Martínez,0.26,-0.31,-1.0,Adrián Martínez,0.26,-0.34,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,completed_pass,1,0,58,Racing Club,Adrián Martínez,0.24,-0.44,-1.0,Agustín García Basso,-0.09,-0.38,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,completed_pass,1,0,47,Tigre,Augusto Aguirre,0.57,-0.69,-1.0,Martín Garay,0.23,-0.85,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,completed_pass,1,1,1,Racing Club,Agustín García Basso,-0.09,-0.59,-1.0,Gabriel Rojas,-0.1,-0.75,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,completed_pass,1,0,50,Tigre,Martín Garay,0.25,-0.81,-1.0,Nicolás Contín,-0.04,-0.56,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,completed_pass,1,1,8,Tigre,Brahian Alemán,0.04,-0.51,-1.0,Agustín Cardozo,-0.21,-0.1,-1.0,
31-01-2024,20:00,Racing Club,Tigre,Argentina - Copa LPF 2024,Presidente Perón,completed_pass,1,1,16,Tigre,Agustín Cardozo,-0.21,-0.17,-1.0,Blas Armoa,-0.29,-0.58,-1.0,
