date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
03-02-2024,21:15,Independiente Riv. (M),Huracán,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,9,49,Huracán,Fabio Pereyra,0.25,-0.33,-1.0,,,,,
03-02-2024,21:15,Independiente Riv. (M),Huracán,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,11,36,Huracán,Fernando Tobio,0.0,-0.29,-1.0,,,,,
03-02-2024,21:15,Independiente Riv. (M),Huracán,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,12,39,Huracán,Williams Alarcón,-0.57,0.34,-1.0,,,,,
03-02-2024,21:15,Independiente Riv. (M),Huracán,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,14,10,Huracán,Fabio Pereyra,0.18,0.17,-1.0,,,,,
03-02-2024,21:15,Independiente Riv. (M),Huracán,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,15,53,Independiente Riv. (M),Francisco Petrasso,-0.16,0.96,-1.0,,,,,
03-02-2024,21:15,Independiente Riv. (M),Huracán,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,15,53,Huracán,Fabio Pereyra,0.28,0.16,-1.0,,,,,
03-02-2024,21:15,Independiente Riv. (M),Huracán,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,17,39,Independiente Riv. (M),Antonio Napolitano,-0.34,-0.42,-1.0,,,,,
03-02-2024,21:15,Independiente Riv. (M),Huracán,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,21,12,Independiente Riv. (M),Luciano Abecasis,-0.49,0.52,-1.0,,,,,
03-02-2024,21:15,Independiente Riv. (M),Huracán,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,21,23,Huracán,Franco Alfonso,0.31,-0.1,-1.0,,,,,
03-02-2024,21:15,Independiente Riv. (M),Huracán,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,21,27,Independiente Riv. (M),Antonio Napolitano,0.45,0.56,-1.0,,,,,
03-02-2024,21:15,Independiente Riv. (M),Huracán,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,23,9,Huracán,Hernán De La Fuente,-0.47,-0.33,-1.0,,,,,
