date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,steal,1,1,43,Gimnasia,Eric Ramírez,-0.12,-0.4,-1.0,,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,steal,1,5,23,Independiente,Mauricio Isla,-0.71,0.61,-1.0,,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,steal,1,5,33,Gimnasia,Leonardo Morales,0.04,-0.29,-1.0,,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,steal,1,14,49,Independiente,Mauricio Isla,-0.3,0.77,-1.0,,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,steal,1,16,56,Independiente,Joaquín Laso,-0.03,-0.5,-1.0,,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,steal,1,18,20,Gimnasia,Jonathan  Cabral,0.26,-0.06,-1.0,,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,steal,1,24,59,Independiente,Felipe Aguilar,-0.52,-0.33,-1.0,,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,steal,1,39,25,Independiente,Felipe Aguilar,0.16,0.57,-1.0,,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,steal,1,39,34,Gimnasia,Jonathan  Cabral,0.27,0.58,-1.0,,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,steal,1,42,50,Independiente,Felipe Aguilar,-0.93,0.8,-1.0,,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,steal,1,45,25,Independiente,Joaquín Laso,-0.8,-0.7,-1.0,,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,steal,1,48,42,Independiente,Iván Marcone,-0.2,0.49,-1.0,,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,steal,2,48,29,Independiente,Joaquín Laso,0.41,0.69,-1.0,,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,steal,2,49,17,Independiente,Lucas González,0.28,-0.73,-1.0,,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,steal,2,49,59,Gimnasia,Jonathan  Cabral,-0.76,-0.15,-1.0,,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,steal,2,51,35,Independiente,Alex Luna,-0.76,-0.22,-1.0,,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,steal,2,57,48,Independiente,Joaquín Laso,0.52,0.61,-1.0,,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,steal,2,57,42,Gimnasia,Eric Ramírez,-0.12,0.02,-1.0,,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,steal,2,60,2,Independiente,Ayrton Costa,0.51,0.71,-1.0,,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,steal,2,60,7,Independiente,Alexis Canelo,0.13,0.54,-1.0,,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,steal,2,60,17,Independiente,Iván Marcone,0.26,0.27,-1.0,,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,steal,2,73,55,Independiente,Ayrton Costa,-0.13,0.24,-1.0,,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,steal,2,74,36,Independiente,Jhonny Quiñónez,-0.12,-0.49,-1.0,,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,steal,2,76,19,Gimnasia,Benjamín Domínguez,-0.4,-0.52,-1.0,,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,steal,2,79,19,Independiente,Joaquín Laso,0.85,0.87,-1.0,,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,steal,2,90,57,Independiente,Jhonny Quiñónez,-0.33,-0.01,-1.0,,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,1,3,5,Independiente,Lucas González,0.61,-0.01,-1.0,Leonardo Morales,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,1,5,56,Independiente,Matías Giménez,0.33,0.39,-1.0,Rodrigo Saravia,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,1,12,0,Gimnasia,Eric Ramírez,0.26,-0.4,-1.0,Lucas González,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,1,24,33,Gimnasia,Rodrigo Saravia,0.09,-0.44,-1.0,Santiago Toloza,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,1,24,59,Gimnasia,Cristian Colmán,-0.42,-0.25,-1.0,Felipe Aguilar,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,1,30,11,Gimnasia,Rodrigo Saravia,-0.29,0.14,-1.0,Iván Marcone,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,1,31,10,Gimnasia,Pablo De Blasis,0.33,0.78,-1.0,Santiago Toloza,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,1,33,17,Gimnasia,Jonathan  Cabral,0.12,-0.06,-1.0,Gabriel Ávalos,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,1,34,34,Independiente,Lucas González,-0.44,-0.1,-1.0,Eric Ramírez,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,1,39,36,Independiente,Felipe Aguilar,0.38,0.9,-1.0,Benjamín Domínguez,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,1,40,25,Gimnasia,Juan Pintado,-0.08,-0.84,-1.0,Lucas González,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,1,43,10,Gimnasia,Federico Milo,0.05,0.48,-1.0,Gabriel Neves,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,1,43,52,Gimnasia,Jonathan  Cabral,0.52,0.68,-1.0,Matías Giménez,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,1,44,55,Independiente,Matías Giménez,0.21,-0.67,-1.0,Eric Ramírez,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,1,48,48,Gimnasia,Lucas Castro,0.26,-0.27,-1.0,Lucas González,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,1,11,24,Gimnasia,Cristian Colmán,-0.38,-0.02,-1.0,Iván Marcone,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,2,45,17,Independiente,Alexis Canelo,-0.34,-0.11,-1.0,Jonathan  Cabral,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,2,46,57,Gimnasia,Cristian Colmán,0.92,0.79,-1.0,Felipe Aguilar,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,2,55,28,Gimnasia,Pablo De Blasis,-0.2,-0.46,-1.0,Lucas González,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,2,60,19,Gimnasia,Cristian Colmán,0.29,0.29,-1.0,Iván Marcone,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,2,63,50,Gimnasia,Pablo De Blasis,-0.42,0.18,-1.0,Javier Ruiz,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,2,70,10,Independiente,Javier Ruiz,-0.31,-0.64,-1.0,Pablo De Blasis,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,2,82,50,Gimnasia,Franco Troyansky,0.38,0.84,-1.0,Joaquín Laso,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,2,86,1,Gimnasia,Ivo Mammini,-0.42,0.82,-1.0,Alex Luna,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,2,88,53,Independiente,Felipe Aguilar,-0.29,-0.7,-1.0,Benjamín Domínguez,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,2,94,1,Independiente,Alex Luna,0.08,0.12,-1.0,Ivo Mammini,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,2,95,0,Independiente,Jhonny Quiñónez,-0.32,0.18,-1.0,Rodrigo Saravia,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,foul,2,95,47,Gimnasia,Ivo Mammini,-0.12,0.89,-1.0,Alex Luna,,,,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,shot,1,10,15,Independiente,Lucas González,0.36,-0.13,-1.0,Nelson Insfrán,0.96,-0.01,0.52,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,shot,1,13,5,Independiente,Lucas González,0.46,0.26,-1.0,Leonardo Morales,0.77,0.03,0.53,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,shot,1,15,27,Gimnasia,Lucas Castro,-0.65,0.34,-1.0,,-0.97,-0.55,-1.0,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,shot,1,19,31,Independiente,Gabriel Neves,0.54,0.36,-1.0,Nelson Insfrán,0.96,0.03,0.2,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,shot,1,26,4,Independiente,Gabriel Ávalos,0.42,-0.22,-1.0,,0.99,-0.33,-1.0,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,shot,1,26,51,Gimnasia,Rodrigo Saravia,-0.68,0.11,-1.0,,-0.99,0.0,0.2,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,shot,1,32,21,Independiente,Lucas González,0.57,-0.54,-1.0,Rodrigo Saravia,0.63,-0.44,0.36,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,shot,1,32,38,Independiente,Lucas González,0.43,-0.38,-1.0,,0.99,-0.34,-1.0,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,shot,1,36,11,Gimnasia,Federico Milo,-0.44,-0.16,-1.0,,-0.99,-0.03,0.98,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,shot,1,46,27,Independiente,Matías Giménez,0.74,0.19,-1.0,Juan Pintado,0.85,-0.04,0.17,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,shot,1,47,24,Independiente,Ayrton Costa,0.78,-0.11,-1.0,,0.99,0.02,-1.0,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,shot,1,49,27,Independiente,Gabriel Ávalos,0.75,0.3,-1.0,,0.98,-0.64,-1.0,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,shot,2,45,48,Gimnasia,Benjamín Domínguez,0.43,-0.1,-1.0,,0.98,0.29,-1.0,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,shot,2,50,1,Independiente,Lucas González,-0.74,-0.33,-1.0,Pablo De Blasis,-0.78,-0.23,0.33,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,shot,2,50,26,Independiente,Gabriel Ávalos,-0.71,0.06,-1.0,Nelson Insfrán,-0.97,0.07,0.37,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,shot,2,51,36,Independiente,Lucas González,-0.72,-0.26,-1.0,Jonathan  Cabral,-0.77,-0.18,0.2,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,shot,2,52,40,Gimnasia,Eric Ramírez,0.82,0.7,-1.0,Rodrigo Rey,0.92,0.21,0.52,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,shot,2,52,7,Independiente,Iván Marcone,-0.82,-0.3,-1.0,Rodrigo Saravia,-0.94,-0.02,0.77,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,shot,2,52,9,Independiente,Iván Marcone,-0.89,-0.21,-1.0,Nelson Insfrán,-0.93,-0.05,0.42,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,shot,2,59,26,Gimnasia,Leonardo Morales,0.79,-0.02,-1.0,,0.98,0.45,-1.0,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,shot,2,61,20,Independiente,Alexis Canelo,-0.75,0.13,-1.0,,-0.99,0.02,-1.0,
03-02-2024,19:00,Independiente,Gimnasia,Argentina - Copa LPF 2024,Libertadores de América,shot,2,65,18,Independiente,Alex Luna,-0.51,0.31,-1.0,Nelson Insfrán,-0.96,0.0,0.37,
