date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,4,15,Talleres,Juan Camilo Portilla,0.15,0.38,-1.0,,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,9,55,Talleres,Lucas Suárez,-0.53,-0.74,-1.0,,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,20,13,Talleres,Marcos Portillo,-0.11,0.41,-1.0,,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,33,9,Talleres,Rubén Botta,0.29,0.64,-1.0,,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,33,34,Talleres,Lucas Suárez,-0.76,-0.4,-1.0,,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,47,13,Talleres,Ramón Sosa,-0.8,0.53,-1.0,,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,50,14,Talleres,Matías Catalán,0.26,-0.57,-1.0,,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,50,31,Talleres,Marcos Portillo,-0.25,0.06,-1.0,,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,51,2,Talleres,Gastón Benavídez,-0.28,-0.15,-1.0,,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,60,7,Talleres,Juan Camilo Portilla,-0.1,-0.59,-1.0,,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,63,14,Talleres,Matías Catalán,-0.11,-0.7,-1.0,,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,71,56,Talleres,Rubén Botta,0.62,-0.82,-1.0,,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,74,57,Talleres,Juan Camilo Portilla,-0.16,-0.65,-1.0,,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,77,20,Talleres,Juan Camilo Portilla,0.14,0.06,-1.0,,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,77,36,Talleres,Matías Catalán,-0.09,-0.73,-1.0,,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,5,50,Rosario Central,Kevin Ortiz,0.03,0.23,-1.0,Rubén Botta,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,7,16,Talleres,Lucas Suárez,-0.22,0.34,-1.0,Luca Martínez Dupuy,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,14,32,Rosario Central,Elías Ocampo,0.19,-0.6,-1.0,Blas Riveros,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,24,55,Talleres,Nahuel Bustos,-0.22,-0.68,-1.0,Juan Cruz Komar,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,28,28,Talleres,Rubén Botta,-0.75,-0.31,-1.0,Elías Ocampo,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,33,40,Rosario Central,Luca Martínez Dupuy,-0.8,-0.32,-1.0,Lucas Suárez,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,32,32,Rosario Central,Ignacio Malcorra,-0.8,-0.84,-1.0,Lucas Suárez,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,38,1,Rosario Central,Tomás O'Connor,0.37,-0.03,-1.0,Rubén Botta,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,40,26,Rosario Central,Elías Ocampo,0.46,-0.76,-1.0,Ramón Sosa,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,49,50,Talleres,Gastón Benavídez,0.43,0.2,-1.0,Tomás O'Connor,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,46,41,Talleres,Federico Girotti,,,,,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,52,32,Talleres,Ramón Sosa,0.36,0.2,-1.0,Juan Cruz Komar,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,56,4,Rosario Central,Jaminton Campaz,0.2,-0.68,-1.0,Gastón Benavídez,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,57,33,Talleres,Marcos Portillo,-0.43,-0.16,-1.0,Ignacio Malcorra,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,58,36,Talleres,Marcos Portillo,0.27,0.23,-1.0,Maximiliano Lovera,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,61,39,Talleres,Juan Camilo Portilla,0.3,-0.74,-1.0,Ignacio Malcorra,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,62,31,Rosario Central,Ignacio Malcorra,0.23,-0.68,-1.0,Federico Girotti,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,64,23,Rosario Central,Agustín Sández,,,,,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,66,29,Talleres,Lucas Suárez,0.22,0.47,-1.0,Maximiliano Lovera,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,75,4,Rosario Central,Ignacio Malcorra,-0.09,-0.44,-1.0,Juan Camilo Portilla,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,81,22,Talleres,Lucas Suárez,-0.06,0.77,-1.0,Ignacio Malcorra,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,87,12,Talleres,Matías Catalán,0.74,-0.78,-1.0,Jaminton Campaz,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,86,0,Rosario Central,Francesco Lo Celso,,,,,,,,
03-02-2024,21:15,Talleres,Rosario Central,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,89,22,Talleres,Juan Gabriel Rodríguez,0.41,0.39,-1.0,Tobías Cervera,,,,
