date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,1,46,Barracas Central,Facundo Mater,0.35,-0.5,-1.0,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,5,4,Barracas Central,Alan Cantero,0.24,-0.69,-1.0,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,5,3,Dep. Riestra,Nahuel Iribarren,0.24,-0.47,-1.0,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,8,7,Barracas Central,Alexis Domínguez,0.04,-0.81,-1.0,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,10,3,Dep. Riestra,Guillermo Pereira,-0.37,-0.76,-1.0,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,11,19,Barracas Central,Maximiliano Zalazar,0.11,0.65,-1.0,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,14,30,Dep. Riestra,Nicolás Benegas,-0.2,-0.62,-1.0,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,21,29,Dep. Riestra,William Machado,-0.28,0.28,-1.0,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,21,44,Dep. Riestra,Walter Acuña,0.61,-0.79,-1.0,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,24,46,Barracas Central,Rodrigo Herrera,0.44,-0.44,-1.0,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,30,36,Dep. Riestra,Nahuel Iribarren,0.07,-0.69,-1.0,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,39,1,Dep. Riestra,Alan Barrionuevo,0.28,-0.78,-1.0,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,steal,2,46,33,Barracas Central,Rodrigo Insúa,-0.46,-0.87,-1.0,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,steal,2,81,47,Barracas Central,Facundo Mater,-0.5,0.66,-1.0,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,steal,2,83,11,Dep. Riestra,Milton Céliz,-0.13,-0.27,-1.0,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,steal,2,86,28,Barracas Central,Rodrigo Insúa,-0.54,-0.77,-1.0,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,steal,2,87,27,Dep. Riestra,Jonatan Goitía,0.76,-0.78,-1.0,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,5,8,Dep. Riestra,Walter Acuña,,,,,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,2,50,Barracas Central,Alexis Domínguez,-0.86,0.1,-1.0,Ignacio Arce,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,7,23,Dep. Riestra,Nicolás Benegas,-0.32,-0.09,-1.0,Siro Rosané,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,12,20,Barracas Central,Rodrigo Herrera,-0.26,-0.36,-1.0,Milton Céliz,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,15,51,Barracas Central,Rodrigo Herrera,-0.53,-0.65,-1.0,Walter Acuña,,,
04-02-2024,17:00,Dep. Riestra,Barracas Central,Argentina - Copa LPF 2024,Guillermo Laza,foul,1,17,41,Dep. Riestra,Milton Céliz,-0.31,-0.09,-1.0,Alan Cantero,,,
