date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
04-02-2024,21:30,Newell`s,Belgrano,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,9,53,Belgrano,Facundo Quignón,0.88,0.7,-1.0,,,,,
04-02-2024,21:30,Newell`s,Belgrano,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,12,1,Belgrano,Mariano Miño,0.4,0.85,-1.0,,,,,
04-02-2024,21:30,Newell`s,Belgrano,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,13,59,Belgrano,Santiago Longo,0.15,0.5,-1.0,,,,,
04-02-2024,21:30,Newell`s,Belgrano,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,14,15,Newell`s,Víctor Velázquez,-0.3,0.23,-1.0,,,,,
04-02-2024,21:30,Newell`s,Belgrano,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,17,29,Belgrano,Mariano Miño,0.83,0.8,-1.0,,,,,
04-02-2024,21:30,Newell`s,Belgrano,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,24,16,Newell`s,Ian Glavinovich,-0.34,0.64,-1.0,,,,,
04-02-2024,21:30,Newell`s,Belgrano,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,25,17,Newell`s,Rodrigo Fernández,-0.17,0.17,-1.0,,,,,
04-02-2024,21:30,Newell`s,Belgrano,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,27,33,Belgrano,Santiago Longo,0.27,-0.36,-1.0,,,,,
04-02-2024,21:30,Newell`s,Belgrano,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,27,42,Newell`s,Brian Aguirre,0.02,-0.8,-1.0,,,,,
04-02-2024,21:30,Newell`s,Belgrano,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,27,59,Newell`s,Guillermo May,0.04,0.48,-1.0,,,,,
04-02-2024,21:30,Newell`s,Belgrano,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,30,52,Belgrano,Nicolás Meriano,0.81,0.3,-1.0,,,,,
04-02-2024,21:30,Newell`s,Belgrano,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,31,1,Newell`s,Armando Méndez,0.74,0.76,-1.0,,,,,
04-02-2024,21:30,Newell`s,Belgrano,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,31,18,Newell`s,Ian Glavinovich,-0.29,-0.74,-1.0,,,,,
04-02-2024,21:30,Newell`s,Belgrano,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,31,51,Newell`s,Ever Banega,0.73,-0.66,-1.0,,,,,
04-02-2024,21:30,Newell`s,Belgrano,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,34,50,Newell`s,Armando Méndez,-0.29,0.55,-1.0,,,,,
04-02-2024,21:30,Newell`s,Belgrano,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,39,55,Newell`s,Brian Aguirre,-0.06,-0.88,-1.0,,,,,
04-02-2024,21:30,Newell`s,Belgrano,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,45,39,Newell`s,Víctor Velázquez,-0.32,0.72,-1.0,,,,,
04-02-2024,21:30,Newell`s,Belgrano,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,48,44,Newell`s,Ian Glavinovich,0.66,-0.6,-1.0,,,,,
04-02-2024,21:30,Newell`s,Belgrano,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,60,34,Belgrano,Nicolás Meriano,-0.51,-0.34,-1.0,,,,,
04-02-2024,21:30,Newell`s,Belgrano,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,60,52,Newell`s,Ian Glavinovich,0.36,0.29,-1.0,,,,,
04-02-2024,21:30,Newell`s,Belgrano,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,61,13,Newell`s,Ángelo Martino,0.43,-0.23,-1.0,,,,,
