date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
04-02-2024,20:30,Platense,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,9,2,Central Córdoba (SE),Manuel García,0.28,-0.06,-1.0,,,,,
04-02-2024,20:30,Platense,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,14,58,Central Córdoba (SE),Enzo Kalinski,0.33,-0.4,-1.0,,,,,
04-02-2024,20:30,Platense,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,24,11,Central Córdoba (SE),Manuel García,0.42,0.11,-1.0,,,,,
04-02-2024,20:30,Platense,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,29,46,Platense,Raúl Lozano,-0.84,0.77,-1.0,,,,,
04-02-2024,20:30,Platense,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,36,0,Platense,Iván Gómez,0.36,0.09,-1.0,,,,,
04-02-2024,20:30,Platense,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,39,27,Central Córdoba (SE),Enzo Kalinski,0.45,-0.13,-1.0,,,,,
04-02-2024,20:30,Platense,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,45,56,Central Córdoba (SE),Manuel García,0.26,-0.79,-1.0,,,,,
04-02-2024,20:30,Platense,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,50,11,Platense,Lisandro Montenegro,-0.85,-0.49,-1.0,,,,,
04-02-2024,20:30,Platense,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,51,29,Central Córdoba (SE),Sebastián Valdez,-0.82,0.83,-1.0,,,,,
04-02-2024,20:30,Platense,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,55,5,Central Córdoba (SE),Thiago Nuss,0.73,-0.8,-1.0,,,,,
04-02-2024,20:30,Platense,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,69,50,Central Córdoba (SE),Juan Andrés Meli,-0.37,-0.78,-1.0,,,,,
04-02-2024,20:30,Platense,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,84,29,Central Córdoba (SE),Dardo Miloc,-0.13,-0.74,-1.0,,,,,
04-02-2024,20:30,Platense,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Vicente López,foul,1,3,48,Platense,Gastón Suso,-0.45,-0.39,-1.0,Thiago Nuss,,,,
04-02-2024,20:30,Platense,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Vicente López,foul,1,4,49,Central Córdoba (SE),Dardo Miloc,-0.27,-0.35,-1.0,Braian Rivero,,,,
04-02-2024,20:30,Platense,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Vicente López,foul,1,7,6,Central Córdoba (SE),Thiago Nuss,-0.24,0.5,-1.0,Iván Gómez,,,,
04-02-2024,20:30,Platense,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Vicente López,foul,1,14,58,Platense,Braian Rivero,0.1,-0.45,-1.0,Enzo Kalinski,,,,
04-02-2024,20:30,Platense,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Vicente López,foul,1,17,7,Central Córdoba (SE),Federico Andueza,-0.26,0.77,-1.0,Raúl Lozano,,,,
04-02-2024,20:30,Platense,Central Córdoba (SE),Argentina - Copa LPF 2024,Ciudad de Vicente López,foul,1,17,30,Platense,Mateo Pellegrino,0.44,0.09,-1.0,Dardo Miloc,,,,
