date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,0,59,Vélez,Claudio Aquino,-0.34,0.81,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,7,0,River Plate,Andrés Herrera,-0.84,0.63,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,7,11,River Plate,Rodrigo Aliendro,-0.4,-0.32,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,7,42,Vélez,José Florentín,0.06,-0.07,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,9,58,River Plate,Facundo Colidio,0.03,-0.67,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,20,53,Vélez,Leonardo Jara,0.64,-0.74,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,23,30,Vélez,Valentín Gómez,0.11,0.46,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,26,22,Vélez,Braian Romero,-0.17,0.74,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,38,31,Vélez,Leonardo Jara,0.71,-0.77,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,38,50,River Plate,Paulo Díaz,-0.38,-0.69,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,39,36,Vélez,Santiago Cáseres,0.63,-0.65,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,42,8,River Plate,Enzo Díaz,-0.22,-0.81,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,44,4,River Plate,Nicolás Fonseca,0.05,0.52,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,46,3,Vélez,Leonardo Jara,0.73,-0.68,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,47,36,River Plate,Paulo Díaz,0.85,-0.71,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,48,34,River Plate,Andrés Herrera,0.72,-0.8,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,52,55,Vélez,Santiago Cáseres,-0.12,-0.63,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,54,19,River Plate,Rodrigo Aliendro,-0.83,-0.59,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,58,47,River Plate,Nicolás Fonseca,0.3,0.48,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,59,6,Vélez,Christian Ordóñez,0.45,-0.27,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,60,17,River Plate,Esequiel Barco,-0.29,0.43,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,64,6,River Plate,Esequiel Barco,-0.05,0.64,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,65,15,River Plate,Agustín Palavecino,-0.23,-0.82,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,65,4,Vélez,Elías Gómez,-0.06,-0.82,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,66,57,Vélez,Valentín Gómez,-0.63,0.44,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,72,30,River Plate,Leandro González Pirez,0.27,-0.45,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,73,17,River Plate,Franco Mastantuono,-0.36,-0.54,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,73,30,River Plate,Ian Subiabre,-0.2,0.88,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,74,40,Vélez,Matías Pellegrini,-0.21,0.5,-1.0,,,,,
04-02-2024,19:15,River Plate,Vélez,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,84,50,River Plate,Enzo Díaz,0.25,-0.28,-1.0,,,,,
