date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,1,2,30,Banfield,Ignacio Rodríguez,-0.13,0.02,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,1,6,51,Instituto,Jonathan Bay,0.41,0.73,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,1,17,21,Instituto,Gastón Lodico,0.47,0.67,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,1,20,40,Instituto,Damián Puebla,-0.19,-0.08,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,1,20,58,Instituto,Gastón Lodico,-0.25,-0.08,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,1,23,50,Instituto,Miguel Brizuela,0.49,0.57,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,1,23,55,Instituto,Fernando Alarcón,0.76,0.72,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,1,25,2,Banfield,Juan Pablo Álvarez,-0.33,0.47,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,1,26,19,Instituto,Damián Puebla,0.12,0.14,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,1,27,37,Instituto,Roberto Bochi,0.22,-0.61,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,1,28,45,Instituto,Gastón Lodico,0.47,0.66,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,1,32,42,Banfield,,-0.66,-0.69,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,1,33,25,Instituto,Damián Puebla,-0.47,0.7,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,1,38,12,Instituto,Jonathan Bay,0.44,0.32,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,1,44,54,Instituto,Juan José Franco,0.44,-0.67,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,1,45,31,Instituto,Fernando Alarcón,0.24,-0.42,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,2,58,10,Instituto,Silvio Romero,-0.32,-0.05,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,2,65,20,Instituto,Damián Puebla,0.83,-0.78,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,2,66,4,Instituto,Jonathan Bay,-0.28,-0.23,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,2,66,59,Instituto,Miguel Brizuela,-0.26,-0.69,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,2,68,18,Instituto,Brahian Cuello,-0.51,0.67,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,2,70,5,Instituto,Fernando Alarcón,-0.58,0.09,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,2,78,57,Instituto,Brahian Cuello,-0.35,0.55,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,2,80,11,Instituto,Brahian Cuello,-0.25,0.32,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,2,80,57,Instituto,Gastón Lodico,0.21,-0.17,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,2,81,9,Instituto,Miguel Brizuela,-0.1,-0.53,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,2,83,10,Instituto,Brahian Cuello,-0.47,0.72,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,2,87,3,Instituto,Giuliano Cerato,-0.65,0.68,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,2,89,28,Instituto,Brahian Cuello,0.52,0.68,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,2,92,8,Instituto,Brahian Cuello,-0.11,-0.49,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,2,93,59,Instituto,Damián Puebla,-0.21,0.39,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,steal,2,95,4,Instituto,Gastón Lodico,0.48,0.72,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,foul,1,1,30,Banfield,Ezequiel Bonifacio,0.06,0.73,-1.0,Damián Puebla,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,foul,1,12,6,Instituto,Miguel Brizuela,0.79,0.8,-1.0,Juan Pablo Álvarez,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,foul,1,18,10,Banfield,Milton Giménez,-0.35,-0.14,-1.0,Damián Puebla,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,foul,1,34,1,Instituto,Roberto Bochi,0.36,0.08,-1.0,Milton Giménez,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,foul,1,38,46,Instituto,Roberto Bochi,-0.12,0.38,-1.0,Ignacio Rodríguez,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,foul,1,45,57,Instituto,Silvio Romero,-0.43,0.81,-1.0,Ezequiel Bonifacio,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,foul,2,59,14,Instituto,Facundo Suárez,,,,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,foul,2,65,32,Instituto,Brahian Cuello,0.71,-0.86,-1.0,Ezequiel Bonifacio,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,foul,2,67,32,Instituto,Giuliano Cerato,0.23,0.52,-1.0,Lautaro Ríos,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,foul,2,67,46,Instituto,Damián Puebla,0.15,0.74,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,foul,2,73,22,Banfield,Alejandro Maciel,0.27,-0.41,-1.0,Jonás Acevedo,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,foul,2,79,28,Instituto,Lucas Rodríguez,-0.13,-0.77,-1.0,Lautaro Ríos,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,foul,2,80,15,Banfield,Juan Pablo Álvarez,0.02,0.1,-1.0,Brahian Cuello,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,foul,2,82,47,Instituto,Roberto Bochi,-0.07,0.78,-1.0,,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,foul,2,90,27,Instituto,Jonás Acevedo,0.22,0.78,-1.0,Ezequiel Bonifacio,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,foul,2,92,53,Banfield,Nicolás Linares,0.21,0.28,-1.0,Brahian Cuello,,,,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,shot,1,10,32,Instituto,Facundo Suárez,-0.75,0.14,-1.0,,-0.99,0.26,-1.0,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,shot,1,9,50,Instituto,Jonathan Bay,-0.47,0.28,-1.0,,-0.63,0.0,-1.0,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,shot,1,14,2,Banfield,Gerónimo Rivera,0.68,-0.29,-1.0,,0.82,-0.16,-1.0,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,shot,1,14,57,Banfield,Gerónimo Rivera,0.4,-0.38,-1.0,,0.98,-0.19,-1.0,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,shot,1,19,51,Instituto,Gastón Lodico,-0.43,0.32,-1.0,,-0.96,-0.21,-1.0,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,shot,1,28,16,Instituto,Silvio Romero,-0.72,0.31,-1.0,,-0.78,0.14,-1.0,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,shot,1,37,25,Banfield,Juan Pablo Álvarez,0.64,0.42,-1.0,,0.9,-0.22,-1.0,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,shot,1,42,41,Banfield,Ignacio Rodríguez,0.68,0.26,-1.0,Manuel Roffo,0.99,-0.04,0.65,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,shot,2,47,20,Instituto,Damián Puebla,0.91,0.3,-1.0,,1.0,-0.06,0.68,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,shot,2,50,58,Banfield,Luciano Recalde,-0.77,0.03,-1.0,,-0.99,0.46,-1.0,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,shot,2,53,4,Banfield,Yvo Calleros,-0.73,-0.07,-1.0,Manuel Roffo,-0.96,0.15,0.22,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,shot,2,55,31,Instituto,Damián Puebla,0.79,-0.18,-1.0,,0.99,0.14,0.45,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,shot,2,74,21,Banfield,Lautaro Ríos,-0.42,-0.14,-1.0,,-0.61,-0.18,-1.0,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,shot,2,75,2,Banfield,Juan Pablo Álvarez,-0.5,0.66,-1.0,,-0.65,0.54,-1.0,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,shot,2,82,25,Instituto,Jonás Acevedo,0.92,0.3,-1.0,Marcelo Barovero,0.95,0.18,0.36,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,shot,2,85,59,Banfield,Luciano Recalde,-0.45,0.28,-1.0,Manuel Roffo,-0.96,0.15,0.58,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,shot,2,88,11,Banfield,Lautaro Ríos,-0.76,-0.18,-1.0,Manuel Roffo,-0.96,0.12,0.25,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,shot,2,92,27,Instituto,Jonás Acevedo,0.67,-0.15,-1.0,,1.0,0.22,-1.0,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,shot,2,93,41,Instituto,Jonás Acevedo,0.77,-0.01,-1.0,Marcelo Barovero,0.96,0.02,0.45,
05-02-2024,22:00,Banfield,Instituto,Argentina - Copa LPF 2024,Florencio Sola,shot,2,94,19,Instituto,Brahian Cuello,0.88,0.52,-1.0,Marcelo Barovero,0.96,0.16,0.56,
