date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
05-02-2024,21:30,Estudiantes,Racing Club,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,3,28,Racing Club,Gabriel Rojas,0.08,0.72,-1.0,,,,,
05-02-2024,21:30,Estudiantes,Racing Club,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,3,47,Racing Club,Gastón Martirena,-0.12,-0.8,-1.0,,,,,
05-02-2024,21:30,Estudiantes,Racing Club,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,3,47,Estudiantes,Franco Zapiola,-0.22,-0.42,-1.0,,,,,
05-02-2024,21:30,Estudiantes,Racing Club,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,6,59,Racing Club,Agustín Almendra,0.02,0.74,-1.0,,,,,
05-02-2024,21:30,Estudiantes,Racing Club,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,9,18,Estudiantes,Franco Zapiola,-0.28,-0.61,-1.0,,,,,
05-02-2024,21:30,Estudiantes,Racing Club,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,11,50,Racing Club,Gastón Martirena,0.24,-0.84,-1.0,,,,,
05-02-2024,21:30,Estudiantes,Racing Club,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,13,56,Estudiantes,José Sosa,0.08,-0.47,-1.0,,,,,
05-02-2024,21:30,Estudiantes,Racing Club,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,17,21,Estudiantes,Eros Mancuso,-0.55,0.69,-1.0,,,,,
05-02-2024,21:30,Estudiantes,Racing Club,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,22,8,Estudiantes,Santiago Ascacíbar,-0.23,0.03,-1.0,,,,,
05-02-2024,21:30,Estudiantes,Racing Club,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,23,53,Racing Club,Agustín Almendra,-0.49,-0.69,-1.0,,,,,
05-02-2024,21:30,Estudiantes,Racing Club,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,25,56,Estudiantes,Enzo Pérez,-0.4,0.42,-1.0,,,,,
05-02-2024,21:30,Estudiantes,Racing Club,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,28,5,Estudiantes,José Sosa,0.16,-0.11,-1.0,,,,,
05-02-2024,21:30,Estudiantes,Racing Club,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,28,39,Estudiantes,Zaid Romero,-0.45,-0.41,-1.0,,,,,
05-02-2024,21:30,Estudiantes,Racing Club,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,33,36,Racing Club,Agustín Almendra,-0.23,0.67,-1.0,,,,,
05-02-2024,21:30,Estudiantes,Racing Club,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,33,43,Estudiantes,Federico Fernández,-0.42,0.31,-1.0,,,,,
05-02-2024,21:30,Estudiantes,Racing Club,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,34,55,Estudiantes,Santiago Ascacíbar,-0.26,-0.05,-1.0,,,,,
05-02-2024,21:30,Estudiantes,Racing Club,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,38,31,Racing Club,Juan Fernando Quintero,-0.48,-0.5,-1.0,,,,,
05-02-2024,21:30,Estudiantes,Racing Club,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,39,12,Estudiantes,Santiago Ascacíbar,-0.38,0.46,-1.0,,,,,
05-02-2024,21:30,Estudiantes,Racing Club,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,47,4,Racing Club,Agustín Almendra,0.39,-0.59,-1.0,,,,,
05-02-2024,21:30,Estudiantes,Racing Club,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,46,20,Estudiantes,Eros Mancuso,0.64,-0.47,-1.0,,,,,
05-02-2024,21:30,Estudiantes,Racing Club,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,47,11,Estudiantes,Franco Zapiola,-0.36,0.33,-1.0,,,,,
05-02-2024,21:30,Estudiantes,Racing Club,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,48,59,Racing Club,Gabriel Rojas,0.02,-0.74,-1.0,,,,,
05-02-2024,21:30,Estudiantes,Racing Club,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,50,56,Racing Club,Gastón Martirena,-0.54,0.45,-1.0,,,,,
05-02-2024,21:30,Estudiantes,Racing Club,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,55,30,Racing Club,Bruno Zuculini,0.06,0.08,-1.0,,,,,
05-02-2024,21:30,Estudiantes,Racing Club,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,55,30,Estudiantes,José Sosa,0.05,0.49,-1.0,,,,,
