date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
05-02-2024,17:30,Godoy Cruz,Lanús,Argentina - Copa LPF 2024,Víctor Antonio Legrotaglie,steal,1,0,51,Godoy Cruz,Nicolás Fernández,-0.2,-0.04,-1.0,,,,,
05-02-2024,17:30,Godoy Cruz,Lanús,Argentina - Copa LPF 2024,Víctor Antonio Legrotaglie,steal,1,4,11,Godoy Cruz,Juan Bautista Cejas,0.53,0.44,-1.0,,,,,
05-02-2024,17:30,Godoy Cruz,Lanús,Argentina - Copa LPF 2024,Víctor Antonio Legrotaglie,steal,1,11,45,Godoy Cruz,Federico Rasmussen,0.08,0.08,-1.0,,,,,
05-02-2024,17:30,Godoy Cruz,Lanús,Argentina - Copa LPF 2024,Víctor Antonio Legrotaglie,steal,1,12,41,Godoy Cruz,Juan Andrada,-0.21,-0.16,-1.0,,,,,
05-02-2024,17:30,Godoy Cruz,Lanús,Argentina - Copa LPF 2024,Víctor Antonio Legrotaglie,steal,1,17,58,Godoy Cruz,Federico Rasmussen,-0.49,0.06,-1.0,,,,,
05-02-2024,17:30,Godoy Cruz,Lanús,Argentina - Copa LPF 2024,Víctor Antonio Legrotaglie,steal,1,23,10,Godoy Cruz,Federico Rasmussen,-0.37,0.4,-1.0,,,,,
05-02-2024,17:30,Godoy Cruz,Lanús,Argentina - Copa LPF 2024,Víctor Antonio Legrotaglie,steal,1,23,5,Lanús,Abel Luciatti,0.43,0.63,-1.0,,,,,
05-02-2024,17:30,Godoy Cruz,Lanús,Argentina - Copa LPF 2024,Víctor Antonio Legrotaglie,steal,1,26,13,Godoy Cruz,Tomás  Pozzo,0.21,0.56,-1.0,,,,,
05-02-2024,17:30,Godoy Cruz,Lanús,Argentina - Copa LPF 2024,Víctor Antonio Legrotaglie,steal,1,36,30,Godoy Cruz,Federico Rasmussen,-0.37,0.39,-1.0,,,,,
05-02-2024,17:30,Godoy Cruz,Lanús,Argentina - Copa LPF 2024,Víctor Antonio Legrotaglie,steal,1,38,18,Godoy Cruz,Nicolás Fernández,0.64,0.62,-1.0,,,,,
05-02-2024,17:30,Godoy Cruz,Lanús,Argentina - Copa LPF 2024,Víctor Antonio Legrotaglie,steal,1,42,40,Godoy Cruz,Lucas Arce,-0.21,0.31,-1.0,,,,,
05-02-2024,17:30,Godoy Cruz,Lanús,Argentina - Copa LPF 2024,Víctor Antonio Legrotaglie,steal,1,47,35,Godoy Cruz,Nicolás Fernández,0.12,0.38,-1.0,,,,,
05-02-2024,17:30,Godoy Cruz,Lanús,Argentina - Copa LPF 2024,Víctor Antonio Legrotaglie,steal,1,49,30,Godoy Cruz,Federico Rasmussen,-0.37,0.24,-1.0,,,,,
05-02-2024,17:30,Godoy Cruz,Lanús,Argentina - Copa LPF 2024,Víctor Antonio Legrotaglie,steal,2,52,38,Godoy Cruz,Nicolás Fernández,0.5,0.29,-1.0,,,,,
05-02-2024,17:30,Godoy Cruz,Lanús,Argentina - Copa LPF 2024,Víctor Antonio Legrotaglie,steal,2,63,1,Lanús,Marcelino Moreno,-0.83,-0.86,-1.0,,,,,
05-02-2024,17:30,Godoy Cruz,Lanús,Argentina - Copa LPF 2024,Víctor Antonio Legrotaglie,steal,2,76,4,Godoy Cruz,Tomás  Pozzo,0.43,0.37,-1.0,,,,,
05-02-2024,17:30,Godoy Cruz,Lanús,Argentina - Copa LPF 2024,Víctor Antonio Legrotaglie,steal,2,82,16,Godoy Cruz,Manuel Guillén,-0.2,-0.32,-1.0,,,,,
05-02-2024,17:30,Godoy Cruz,Lanús,Argentina - Copa LPF 2024,Víctor Antonio Legrotaglie,steal,2,81,20,Lanús,Ramiro Carrera,0.78,0.88,-1.0,,,,,
05-02-2024,17:30,Godoy Cruz,Lanús,Argentina - Copa LPF 2024,Víctor Antonio Legrotaglie,steal,2,84,47,Godoy Cruz,Pier Barrios,0.69,-0.07,-1.0,,,,,
05-02-2024,17:30,Godoy Cruz,Lanús,Argentina - Copa LPF 2024,Víctor Antonio Legrotaglie,steal,2,88,3,Godoy Cruz,Valentín Burgoa,0.56,0.77,-1.0,,,,,
05-02-2024,17:30,Godoy Cruz,Lanús,Argentina - Copa LPF 2024,Víctor Antonio Legrotaglie,foul,1,4,25,Godoy Cruz,Juan Andrada,0.19,-0.03,-1.0,Franco Watson,,,,
05-02-2024,17:30,Godoy Cruz,Lanús,Argentina - Copa LPF 2024,Víctor Antonio Legrotaglie,foul,1,5,5,Godoy Cruz,Lucas Arce,-0.68,0.8,-1.0,Marcelino Moreno,,,,
05-02-2024,17:30,Godoy Cruz,Lanús,Argentina - Copa LPF 2024,Víctor Antonio Legrotaglie,foul,1,7,32,Godoy Cruz,Nicolás Fernández,0.48,0.07,-1.0,Franco Watson,,,,
05-02-2024,17:30,Godoy Cruz,Lanús,Argentina - Copa LPF 2024,Víctor Antonio Legrotaglie,foul,1,9,7,Godoy Cruz,Lucas Arce,-0.31,0.79,-1.0,Marcelino Moreno,,,,
05-02-2024,17:30,Godoy Cruz,Lanús,Argentina - Copa LPF 2024,Víctor Antonio Legrotaglie,foul,1,12,39,Lanús,Nicolás Morgantini,-0.26,-0.86,-1.0,Tomás Conechny,,,,
05-02-2024,17:30,Godoy Cruz,Lanús,Argentina - Copa LPF 2024,Víctor Antonio Legrotaglie,foul,1,24,28,Lanús,Franco Watson,0.34,-0.46,-1.0,Thomas Galdames,,,,
05-02-2024,17:30,Godoy Cruz,Lanús,Argentina - Copa LPF 2024,Víctor Antonio Legrotaglie,foul,1,26,39,Godoy Cruz,Nicolás Fernández,0.44,0.74,-1.0,Luciano Boggio,,,,
