date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,0,25,Unión,Miguel Ángel Torrén,0.48,0.27,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,3,54,San Lorenzo,Agustín Giay,-0.41,0.85,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,7,11,San Lorenzo,Nahuel Barrios,0.23,0.49,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,8,51,San Lorenzo,Francisco Perruzzi,-0.07,-0.39,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,11,54,San Lorenzo,Francisco Perruzzi,0.09,0.46,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,15,34,Unión,Mauro Luna Diale,0.07,0.59,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,15,45,San Lorenzo,Gastón Campi,-0.68,0.75,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,15,59,San Lorenzo,Jhohan Romaña,-0.73,0.29,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,17,32,San Lorenzo,Elián Irala,-0.35,0.62,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,22,44,San Lorenzo,Adam Bareiro,0.33,-0.22,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,22,59,San Lorenzo,Jhohan Romaña,0.38,0.7,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,23,24,San Lorenzo,Malcom Braida,-0.03,-0.3,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,25,19,Unión,Mauro Luna Diale,0.21,0.69,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,27,5,Unión,Federico Vera,0.59,-0.13,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,32,7,San Lorenzo,Agustín Giay,0.4,0.17,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,35,18,Unión,Federico Vera,-0.59,-0.68,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,43,41,Unión,Lucas Gamba,0.57,0.09,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,45,58,San Lorenzo,Malcom Braida,-0.88,-0.61,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,47,29,San Lorenzo,Malcom Braida,0.16,0.51,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,47,39,San Lorenzo,Malcom Braida,-0.34,-0.01,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,53,30,Unión,Joaquín Mosqueira,0.0,-0.38,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,56,38,San Lorenzo,Nahuel Barrios,-0.24,-0.71,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,56,45,Unión,Lucas Gamba,-0.06,-0.68,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,59,4,San Lorenzo,Elián Irala,0.26,-0.3,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,65,38,Unión,Adrián Balboa,0.42,-0.19,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,66,2,Unión,Joaquín Mosqueira,-0.33,0.33,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,67,6,Unión,Joaquín Mosqueira,-0.3,0.92,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,68,22,Unión,Mauro Luna Diale,-0.45,-0.38,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,70,5,San Lorenzo,Elián Irala,0.38,-0.28,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,70,48,San Lorenzo,Gastón Hernández,0.41,0.48,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,76,16,San Lorenzo,Gastón Hernández,0.4,0.67,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,81,0,San Lorenzo,Tobías Medina,-0.8,-0.82,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,81,45,Unión,Enzo Roldán,0.14,0.49,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,84,55,San Lorenzo,Gastón Hernández,0.36,0.0,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,91,47,San Lorenzo,Tobías Medina,0.28,-0.76,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,93,47,Unión,Mateo Del Blanco,-0.03,-0.67,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,93,58,San Lorenzo,Gastón Hernández,0.19,0.4,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,96,54,Unión,Enzo Roldán,-0.32,0.47,-1.0,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,2,9,Unión,Adrián Balboa,-0.54,0.22,-1.0,Nahuel Barrios,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,5,12,San Lorenzo,Malcom Braida,0.54,-0.83,-1.0,Federico Vera,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,9,23,Unión,Mauro Luna Diale,-0.15,0.75,-1.0,Agustín Giay,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,21,59,Unión,Nicolás Paz,-0.27,-0.83,-1.0,Nahuel Barrios,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,25,27,San Lorenzo,Agustín Giay,-0.1,0.84,-1.0,Mauro Luna Diale,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,38,2,Unión,Adrián Balboa,0.24,0.06,-1.0,Francisco Perruzzi,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,39,16,Unión,Mauro Pittón,0.56,-0.9,-1.0,Gastón Hernández,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,44,23,San Lorenzo,Elián Irala,-0.27,0.14,-1.0,Mauro Luna Diale,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,44,0,San Lorenzo,Cristian Ferreira,0.79,-0.07,-1.0,Nicolás Paz,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,45,57,Unión,Adrián Balboa,-0.68,-0.49,-1.0,Gastón Hernández,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,46,17,San Lorenzo,Cristian Tarragona,-0.82,-0.29,-1.0,Bruno Pittón,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,48,36,San Lorenzo,Gastón Hernández,-0.14,0.48,-1.0,Mauro Pittón,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,49,44,Unión,Bruno Pittón,,,,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,50,5,Unión,Federico Vera,-0.58,0.31,-1.0,Gastón Hernández,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,52,20,San Lorenzo,Cristian Ferreira,-0.04,-0.34,-1.0,Mauro Luna Diale,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,53,30,San Lorenzo,Elián Irala,0.05,-0.31,-1.0,Joaquín Mosqueira,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,56,50,San Lorenzo,Nahuel Barrios,0.15,-0.79,-1.0,Lucas Gamba,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,59,14,Unión,Mauro Luna Diale,0.22,-0.43,-1.0,Cristian Ferreira,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,60,51,San Lorenzo,Elián Irala,0.47,-0.41,-1.0,Mauro Luna Diale,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,64,16,San Lorenzo,Adam Bareiro,,,,,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,69,17,San Lorenzo,Gastón Hernández,-0.54,0.52,-1.0,Federico Vera,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,82,27,San Lorenzo,Malcom Braida,0.74,0.79,-1.0,Lucas Gamba,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,84,6,Unión,Federico Vera,-0.38,0.83,-1.0,Malcom Braida,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,94,53,Unión,Miguel Ángel Torrén,-0.09,-0.37,-1.0,Adam Bareiro,,,,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,shot,1,6,57,San Lorenzo,Cristian Ferreira,0.57,-0.23,-1.0,,0.99,0.14,-1.0,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,shot,1,8,1,San Lorenzo,Gastón Campi,0.73,-0.22,-1.0,,1.0,0.01,-1.0,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,shot,1,19,1,Unión,Mauro Luna Diale,-0.46,-0.34,-1.0,,-0.99,-0.2,-1.0,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,shot,1,22,58,San Lorenzo,Adam Bareiro,0.7,0.38,-1.0,Nicolás Paz,0.79,0.02,0.16,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,shot,1,23,39,San Lorenzo,Adam Bareiro,0.76,0.14,-1.0,,0.99,-0.19,-1.0,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,shot,1,27,1,San Lorenzo,Malcom Braida,0.83,-0.26,-1.0,Nicolás Campisi,0.88,-0.14,0.21,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,shot,1,32,19,San Lorenzo,Adam Bareiro,0.76,-0.38,-1.0,Nicolás Campisi,0.95,-0.09,0.17,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,shot,1,34,42,San Lorenzo,Jhohan Romaña,0.83,-0.26,-1.0,Claudio Corvalán,0.99,-0.02,0.2,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,shot,1,37,30,San Lorenzo,Cristian Ferreira,0.64,0.39,-1.0,Claudio Corvalán,0.78,0.24,0.29,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,shot,1,37,39,San Lorenzo,Francisco Perruzzi,0.49,0.22,-1.0,,1.0,0.1,-1.0,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,shot,1,40,2,San Lorenzo,Cristian Ferreira,0.62,-0.66,-1.0,Nicolás Campisi,0.97,0.0,0.4,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,shot,1,42,38,Unión,Adrián Balboa,-0.84,-0.16,-1.0,,-0.98,0.31,-1.0,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,shot,2,47,54,San Lorenzo,Cristian Tarragona,-0.8,-0.26,-1.0,,-0.96,-0.38,-1.0,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,shot,2,51,42,San Lorenzo,Cristian Ferreira,-0.57,0.46,-1.0,,-0.98,0.14,1.0,
05-02-2024,18:00,San Lorenzo,Unión,Argentina - Copa LPF 2024,Pedro Bidegain,shot,2,57,26,Unión,Federico Vera,0.67,0.58,-1.0,,0.96,-0.09,-1.0,
