date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,5,44,Boca Juniors,Guillermo Fernández,-0.45,0.68,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,5,43,Tigre,Martín Ortega,-0.43,0.08,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,7,37,Boca Juniors,Guillermo Fernández,-0.16,0.5,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,9,52,Tigre,Juan Manuel Sánchez Miño,-0.57,-0.79,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,9,59,Boca Juniors,Cristian Lema,-0.27,-0.64,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,13,47,Tigre,Juan Manuel Sánchez Miño,-0.54,-0.2,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,14,0,Boca Juniors,Miguel Ángel Merentiel,-0.47,-0.13,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,15,10,Boca Juniors,Lautaro Blanco,-0.11,0.81,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,15,47,Boca Juniors,Luis Adví­ncula,0.18,-0.74,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,16,26,Boca Juniors,Cristian Lema,0.51,-0.12,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,16,32,Tigre,Walter Rodríguez,-0.36,-0.02,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,17,11,Tigre,Walter Rodríguez,-0.04,-0.23,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,17,18,Boca Juniors,Nicolás Figal,0.61,0.4,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,17,25,Boca Juniors,Miguel Ángel Merentiel,0.18,0.47,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,22,10,Tigre,Augusto Aguirre,-0.62,-0.36,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,25,18,Boca Juniors,Mauricio Benítez,-0.43,0.42,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,25,15,Tigre,Walter Rodríguez,-0.41,-0.31,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,25,25,Tigre,Brahian Alemán,-0.24,0.24,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,25,31,Boca Juniors,Miguel Ángel Merentiel,-0.41,0.23,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,37,52,Boca Juniors,Lucas Blondel,0.21,-0.68,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,38,37,Boca Juniors,Guillermo Fernández,0.46,-0.32,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,38,42,Tigre,Agustín Cardozo,0.25,-0.39,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,45,31,Tigre,Juan Cruz Esquivel,0.04,-0.05,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,46,3,Boca Juniors,Lucas Blondel,-0.5,0.67,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,49,49,Boca Juniors,Lautaro Blanco,-0.83,-0.8,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,50,16,Tigre,Brahian Alemán,0.54,-0.1,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,50,43,Boca Juniors,Lautaro Blanco,-0.46,-0.17,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,51,5,Boca Juniors,Cristian Lema,-0.69,0.81,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,52,22,Boca Juniors,Miguel Ángel Merentiel,0.29,-0.4,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,52,26,Tigre,Facundo Giacopuzzi,0.37,-0.69,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,54,47,Boca Juniors,Nicolás Figal,-0.67,0.31,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,55,40,Boca Juniors,Guillermo Fernández,-0.56,-0.57,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,56,2,Boca Juniors,Mauricio Benítez,-0.58,0.34,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,58,37,Boca Juniors,Luis Adví­ncula,-0.47,0.8,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,58,21,Tigre,Agustín Cardozo,-0.14,-0.37,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,61,1,Boca Juniors,Cristian Lema,-0.63,0.35,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,64,50,Boca Juniors,Lucas Blondel,0.2,0.52,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,68,20,Boca Juniors,Kevin Zenón,-0.41,-0.4,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,74,28,Boca Juniors,Lautaro Blanco,-0.29,-0.66,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,76,41,Boca Juniors,Lautaro Blanco,-0.53,-0.57,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,79,35,Boca Juniors,Lautaro Blanco,0.31,-0.57,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,79,43,Boca Juniors,Ezequiel Bullaude,0.29,-0.17,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,79,45,Tigre,Gian Nardelli,0.46,-0.3,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,81,27,Boca Juniors,Cristian Lema,-0.62,0.65,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,81,57,Boca Juniors,Ezequiel Bullaude,-0.41,0.62,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,81,54,Tigre,Brahian Alemán,-0.06,-0.12,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,82,58,Boca Juniors,Ezequiel Bullaude,-0.46,0.37,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,83,35,Boca Juniors,Lautaro Blanco,-0.65,-0.55,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,83,24,Tigre,Gian Nardelli,0.54,0.46,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,84,30,Tigre,Gian Nardelli,0.72,0.04,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,87,52,Tigre,Juan Cruz Esquivel,-0.11,-0.14,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,89,2,Boca Juniors,Jabes Saralegui,-0.26,-0.29,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,89,44,Boca Juniors,Guillermo Fernández,-0.5,0.59,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,89,56,Tigre,Juan Cruz Esquivel,0.27,0.3,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,90,44,Boca Juniors,Norberto Briasco,0.37,0.72,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,93,50,Boca Juniors,Guillermo Fernández,-0.16,-0.22,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,94,38,Boca Juniors,Nicolás Figal,-0.62,-0.36,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,94,37,Tigre,Gonzalo Maroni,-0.03,-0.33,-1.0,,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,foul,1,1,20,Tigre,Walter Rodríguez,-0.44,-0.68,-1.0,Lucas Blondel,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,foul,1,20,17,Boca Juniors,Luis Adví­ncula,-0.14,-0.78,-1.0,Juan Manuel Sánchez Miño,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,foul,1,30,10,Tigre,Walter Rodríguez,-0.36,0.35,-1.0,Kevin Zenón,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,foul,1,36,8,Tigre,Facundo Giacopuzzi,-0.32,-0.62,-1.0,Darío Benedetto,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,foul,1,37,31,Boca Juniors,Luis Adví­ncula,-0.4,-0.7,-1.0,Agustín Cardozo,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,foul,1,42,12,Boca Juniors,Cristian Lema,-0.24,-0.49,-1.0,Blas Armoa,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,foul,1,40,50,Boca Juniors,Darío Benedetto,-0.23,-0.43,-1.0,Walter Rodríguez,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,foul,1,41,16,Tigre,Gian Nardelli,-0.37,-0.26,-1.0,Darío Benedetto,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,foul,1,46,23,Boca Juniors,Luis Adví­ncula,-0.55,-0.88,-1.0,Juan Manuel Sánchez Miño,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,foul,1,47,48,Tigre,Augusto Aguirre,0.93,0.47,-1.0,Cristian Lema,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,foul,2,45,42,Boca Juniors,Lucas Blondel,-0.31,0.78,-1.0,Juan Cruz Esquivel,,,,
05-02-2024,19:45,Tigre,Boca Juniors,Argentina - Copa LPF 2024,Coliseo de Victoria,foul,2,51,43,Tigre,Flabián Londoño,-0.35,-0.77,-1.0,Lautaro Blanco,,,,
