date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
06-02-2024,21:15,Atlético Tucumán,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,4,5,Atlético Tucumán,Adrián Sánchez,-0.32,0.08,-1.0,,,,,
06-02-2024,21:15,Atlético Tucumán,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,4,15,Atlético Tucumán,Joaquín Pereyra,0.15,-0.64,-1.0,,,,,
06-02-2024,21:15,Atlético Tucumán,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,4,37,Argentinos Juniors,Fernando Meza,0.29,-0.21,-1.0,,,,,
06-02-2024,21:15,Atlético Tucumán,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,4,47,Atlético Tucumán,Adrián Sánchez,-0.36,-0.56,-1.0,,,,,
06-02-2024,21:15,Atlético Tucumán,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,8,18,Argentinos Juniors,Franco Moyano,0.2,-0.45,-1.0,,,,,
06-02-2024,21:15,Atlético Tucumán,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,14,1,Atlético Tucumán,Nicolás Romero,-0.6,0.31,-1.0,,,,,
06-02-2024,21:15,Atlético Tucumán,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,17,51,Atlético Tucumán,Néstor Breitenbruch,-0.83,0.64,-1.0,,,,,
06-02-2024,21:15,Atlético Tucumán,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,25,34,Argentinos Juniors,Jonatan Galván,0.15,-0.48,-1.0,,,,,
06-02-2024,21:15,Atlético Tucumán,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,30,48,Atlético Tucumán,Joaquín Pereyra,0.5,-0.68,-1.0,,,,,
06-02-2024,21:15,Atlético Tucumán,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,30,47,Argentinos Juniors,Nicolás Oroz,0.49,-0.66,-1.0,,,,,
06-02-2024,21:15,Atlético Tucumán,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,34,11,Atlético Tucumán,Adrián Sánchez,-0.24,-0.04,-1.0,,,,,
06-02-2024,21:15,Atlético Tucumán,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,36,17,Argentinos Juniors,Alan Lescano,0.63,0.26,-1.0,,,,,
06-02-2024,21:15,Atlético Tucumán,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,37,5,Argentinos Juniors,Nicolás Oroz,0.34,-0.13,-1.0,,,,,
06-02-2024,21:15,Atlético Tucumán,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,42,48,Atlético Tucumán,Renzo Tesuri,0.0,0.4,-1.0,,,,,
06-02-2024,21:15,Atlético Tucumán,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,45,52,Atlético Tucumán,Joaquín Pereyra,0.49,-0.01,-1.0,,,,,
06-02-2024,21:15,Atlético Tucumán,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,46,17,Atlético Tucumán,Marcelo Estigarribia,0.8,-0.78,-1.0,,,,,
06-02-2024,21:15,Atlético Tucumán,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,45,16,Argentinos Juniors,Nicolás Oroz,-0.28,-0.07,-1.0,,,,,
06-02-2024,21:15,Atlético Tucumán,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,46,42,Atlético Tucumán,Matías Orihuela,0.87,0.33,-1.0,,,,,
06-02-2024,21:15,Atlético Tucumán,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,52,54,Argentinos Juniors,Damián Batallini,-0.13,-0.72,-1.0,,,,,
06-02-2024,21:15,Atlético Tucumán,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,53,13,Argentinos Juniors,Jonatan Galván,-0.36,0.73,-1.0,,,,,
06-02-2024,21:15,Atlético Tucumán,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,55,3,Argentinos Juniors,Damián Batallini,-0.62,0.56,-1.0,,,,,
06-02-2024,21:15,Atlético Tucumán,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,56,3,Atlético Tucumán,Mateo Coronel,-0.84,-0.61,-1.0,,,,,
06-02-2024,21:15,Atlético Tucumán,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,57,11,Argentinos Juniors,Franco Moyano,0.19,0.64,-1.0,,,,,
06-02-2024,21:15,Atlético Tucumán,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,58,53,Argentinos Juniors,Sebastián Prieto,0.2,-0.52,-1.0,,,,,
06-02-2024,21:15,Atlético Tucumán,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,64,42,Argentinos Juniors,Jonatan Galván,-0.34,0.62,-1.0,,,,,
06-02-2024,21:15,Atlético Tucumán,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,65,27,Atlético Tucumán,Matías Orihuela,0.63,0.34,-1.0,,,,,
06-02-2024,21:15,Atlético Tucumán,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,65,41,Argentinos Juniors,Alan Lescano,0.39,0.33,-1.0,,,,,
