date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,1,4,4,Sarmiento,Gabriel Díaz,-0.12,-0.65,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,1,15,10,Sarmiento,Iván Morales,0.65,0.5,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,1,16,18,Defensa y Justicia,Alexis Soto,0.37,0.43,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,1,17,49,Defensa y Justicia,Alexis Soto,-0.15,0.72,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,1,19,20,Defensa y Justicia,Nicolás Tripichio,-0.09,-0.76,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,1,19,18,Sarmiento,Diego Calcaterra,-0.55,0.32,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,1,20,35,Sarmiento,Lisandro López,-0.43,-0.53,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,1,22,27,Sarmiento,Gabriel Díaz,0.2,-0.71,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,1,23,11,Defensa y Justicia,Kevin López,0.41,0.29,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,1,23,29,Sarmiento,Elías López,-0.61,0.13,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,1,24,55,Sarmiento,José Mauri,0.43,-0.67,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,1,27,35,Defensa y Justicia,Kevin López,-0.17,-0.19,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,1,28,35,Defensa y Justicia,Santiago Ramos Mingo,0.17,0.42,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,1,28,36,Sarmiento,Diego Calcaterra,-0.57,0.64,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,1,34,59,Defensa y Justicia,Alexis Soto,0.72,0.32,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,1,34,57,Sarmiento,José Mauri,-0.22,0.46,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,1,39,24,Sarmiento,Joaquín Gho,-0.45,0.67,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,1,42,7,Defensa y Justicia,Gabriel Alanís,-0.45,0.66,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,1,42,7,Sarmiento,Fernando Godoy,-0.75,0.53,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,1,43,31,Defensa y Justicia,Gabriel Alanís,0.11,0.12,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,1,43,33,Sarmiento,Juan Manuel Insaurralde,-0.34,-0.24,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,1,43,54,Sarmiento,Joaquín Gho,-0.11,-0.59,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,2,48,3,Sarmiento,Elías López,0.46,-0.75,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,2,55,16,Sarmiento,Fernando Godoy,0.11,-0.31,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,2,55,43,Defensa y Justicia,Gastón Togni,0.24,0.85,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,2,55,30,Sarmiento,Diego Calcaterra,0.69,-0.49,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,2,55,45,Sarmiento,Gabriel Díaz,0.33,0.64,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,2,56,50,Sarmiento,Gabriel Díaz,0.42,0.57,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,2,62,18,Defensa y Justicia,Nicolás Tripichio,0.63,0.85,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,2,62,15,Sarmiento,Gabriel Díaz,0.79,0.65,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,2,65,15,Defensa y Justicia,Nicolás Tripichio,0.16,0.49,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,2,68,30,Defensa y Justicia,Santiago Ramos Mingo,-0.36,-0.84,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,2,71,49,Sarmiento,Alfredo Amarilla,0.53,0.67,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,2,74,30,Defensa y Justicia,Santiago Ramos Mingo,-0.82,-0.87,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,2,74,38,Sarmiento,Fernando Godoy,-0.03,-0.35,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,2,79,19,Defensa y Justicia,Emanuel Aguilera,-0.82,0.44,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,2,79,31,Sarmiento,Juan Manuel Insaurralde,-0.14,0.5,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,steal,2,83,38,Sarmiento,Diego Calcaterra,0.3,-0.66,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,foul,1,5,9,Sarmiento,Iván Morales,0.91,-0.22,-1.0,Cristopher Fiermarín,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,foul,1,8,8,Sarmiento,Iván Morales,0.5,0.62,-1.0,Alexis Soto,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,foul,1,13,9,Sarmiento,Sergio Quiroga,-0.36,-0.08,-1.0,Luciano Herrera,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,foul,1,27,35,Sarmiento,José Mauri,-0.17,-0.21,-1.0,Kevin López,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,foul,1,29,49,Defensa y Justicia,Nicolás Tripichio,0.68,-0.72,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,foul,1,34,44,Sarmiento,Lisandro López,-0.27,0.85,-1.0,Alexis Soto,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,foul,1,37,7,Defensa y Justicia,Nicolás Fernández,-0.57,0.73,-1.0,Diego Calcaterra,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,foul,1,38,47,Sarmiento,Iván Morales,0.12,-0.73,-1.0,Emanuel Aguilera,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,foul,2,45,26,Sarmiento,Diego Calcaterra,0.11,-0.76,-1.0,Nicolás Fernández,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,foul,2,59,20,Sarmiento,Iván Morales,-0.36,0.68,-1.0,Emanuel Aguilera,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,foul,2,60,24,Sarmiento,Yamil Garnier,0.31,-0.74,-1.0,Aarón Molinas,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,foul,2,61,49,Sarmiento,Fernando Godoy,0.24,-0.51,-1.0,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,foul,2,67,20,Defensa y Justicia,Julián López,0.17,-0.29,-1.0,José Mauri,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,foul,2,78,3,Defensa y Justicia,Rodrigo Bogarín,-0.12,0.14,-1.0,David Gallardo,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,foul,2,86,16,Defensa y Justicia,Gastón Togni,0.08,-0.58,-1.0,Yamil Garnier,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,foul,2,88,50,Defensa y Justicia,Gabriel Alanís,0.6,0.86,-1.0,Alfredo Amarilla,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,foul,2,93,54,Defensa y Justicia,Darío Cáceres,-0.26,-0.42,-1.0,David Gallardo,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,shot,1,9,0,Defensa y Justicia,Gastón Togni,-0.93,0.25,-1.0,,-1.0,0.02,-1.0,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,shot,1,10,37,Sarmiento,Diego Calcaterra,0.83,-0.05,-1.0,,0.98,-0.01,-1.0,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,shot,1,11,11,Defensa y Justicia,Gabriel Alanís,-0.64,0.29,-1.0,,-1.0,0.03,-1.0,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,shot,1,15,10,Sarmiento,José Mauri,0.53,-0.1,-1.0,Cristopher Fiermarín,0.99,-0.01,0.75,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,shot,1,15,45,Sarmiento,Iván Morales,0.55,0.04,-1.0,,1.0,0.26,-1.0,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,shot,1,16,58,Defensa y Justicia,Nicolás Fernández,-0.42,0.21,-1.0,Fernando Monetti,-0.98,-0.04,0.68,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,shot,1,22,27,Sarmiento,Joaquín Gho,0.53,0.18,-1.0,Santiago Ramos Mingo,0.74,0.1,0.58,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,shot,1,31,0,Sarmiento,Juan Manuel Insaurralde,0.94,0.1,-1.0,,0.99,0.12,0.16,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,shot,1,33,27,Defensa y Justicia,Luciano Herrera,-0.65,-0.36,-1.0,Fernando Monetti,-0.97,-0.07,0.18,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,shot,1,37,48,Sarmiento,José Mauri,0.68,-0.12,-1.0,,0.99,-0.18,-1.0,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,shot,1,38,38,Defensa y Justicia,Luciano Herrera,-0.65,-0.32,-1.0,Juan Manuel Insaurralde,-0.7,-0.21,0.52,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,shot,1,39,48,Sarmiento,Gabriel Díaz,0.68,-0.49,-1.0,,0.99,0.14,0.15,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,shot,2,51,35,Sarmiento,Diego Calcaterra,-0.8,-0.09,-1.0,Cristopher Fiermarín,-1.0,-0.1,0.52,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,shot,2,57,51,Sarmiento,Lisandro López,-0.75,0.31,-1.0,Cristopher Fiermarín,-0.99,0.02,0.33,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,shot,2,62,46,Defensa y Justicia,Aarón Molinas,0.68,-0.28,-1.0,,1.0,0.07,-1.0,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,shot,2,65,58,Defensa y Justicia,Aarón Molinas,0.82,-0.05,-1.0,,0.99,0.08,0.2,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,shot,2,69,32,Sarmiento,Iván Morales,-0.87,-0.3,-1.0,,-0.99,0.28,-1.0,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,shot,2,75,33,Defensa y Justicia,Gastón Togni,0.77,-0.43,-1.0,,1.0,0.12,0.16,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,shot,2,79,28,Sarmiento,Agustín Fontana,-0.76,0.33,-1.0,,-0.98,0.0,-1.0,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,shot,2,80,54,Defensa y Justicia,Gastón Togni,0.69,-0.65,-1.0,,0.99,0.06,0.68,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,var,2,76,54,Defensa y Justicia,,,,,,,,,Revisión Gol
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,var,2,77,42,Defensa y Justicia,,,,,,,,,Gol confirmado
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,goal_kick,1,9,21,Sarmiento,Fernando Monetti,,,,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,goal_kick,1,10,49,Defensa y Justicia,Cristopher Fiermarín,,,,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,goal_kick,1,11,22,Sarmiento,Fernando Monetti,,,,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,goal_kick,1,14,10,Sarmiento,Fernando Monetti,,,,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,goal_kick,1,16,7,Defensa y Justicia,Cristopher Fiermarín,,,,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,goal_kick,1,32,52,Defensa y Justicia,Cristopher Fiermarín,,,,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,goal_kick,1,36,23,Defensa y Justicia,Cristopher Fiermarín,,,,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,goal_kick,1,38,2,Defensa y Justicia,Cristopher Fiermarín,,,,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,goal_kick,2,46,50,Sarmiento,Fernando Monetti,,,,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,goal_kick,2,48,9,Sarmiento,Fernando Monetti,,,,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,goal_kick,2,54,2,Defensa y Justicia,Cristopher Fiermarín,,,,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,goal_kick,2,56,26,Sarmiento,Fernando Monetti,,,,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,goal_kick,2,63,34,Sarmiento,Fernando Monetti,,,,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,goal_kick,2,66,57,Defensa y Justicia,Cristopher Fiermarín,,,,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,goal_kick,2,70,32,Defensa y Justicia,Cristopher Fiermarín,,,,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,goal_kick,2,80,9,Defensa y Justicia,Cristopher Fiermarín,,,,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,goal_kick,2,87,38,Sarmiento,Fernando Monetti,,,,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,goal_kick,2,90,56,Defensa y Justicia,Cristopher Fiermarín,,,,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,goal_kick,2,91,28,Defensa y Justicia,Cristopher Fiermarín,,,,,,,,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,throw_in,1,0,22,Defensa y Justicia,Alexis Soto,0.6,0.94,-1.0,,0.24,0.83,-1.0,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,throw_in,1,1,2,Defensa y Justicia,Alexis Soto,0.62,0.97,-1.0,,0.37,0.76,-1.0,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,throw_in,1,1,20,Defensa y Justicia,Alexis Soto,0.57,0.98,-1.0,,0.26,0.76,-1.0,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,throw_in,1,1,43,Defensa y Justicia,Alexis Soto,-0.17,0.96,-1.0,,-0.59,0.72,-1.0,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,throw_in,1,2,43,Sarmiento,Elías López,0.33,0.97,-1.0,,-0.1,0.66,-1.0,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,throw_in,1,7,23,Sarmiento,Gabriel Díaz,0.29,-0.99,-1.0,,0.42,-0.76,-1.0,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,throw_in,1,7,42,Sarmiento,Elías López,0.57,0.97,-1.0,,0.61,0.7,-1.0,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,throw_in,1,8,47,Defensa y Justicia,Nicolás Tripichio,-0.73,-1.0,-1.0,,-0.81,-0.59,-1.0,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,throw_in,1,11,45,Defensa y Justicia,Alexis Soto,0.24,0.95,-1.0,,-0.45,0.73,-1.0,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,throw_in,1,12,6,Defensa y Justicia,Alexis Soto,-0.44,0.94,-1.0,,-0.82,0.45,-1.0,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,throw_in,1,12,29,Defensa y Justicia,Alexis Soto,-0.21,0.95,-1.0,,-0.25,0.73,-1.0,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,throw_in,1,14,28,Defensa y Justicia,Alexis Soto,0.61,0.98,-1.0,,0.11,0.7,-1.0,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,throw_in,1,16,27,Defensa y Justicia,Alexis Soto,0.42,0.97,-1.0,,-0.42,0.72,-1.0,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,throw_in,1,17,35,Sarmiento,Elías López,-0.46,0.97,-1.0,,-0.19,0.86,-1.0,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,throw_in,1,20,9,Defensa y Justicia,Nicolás Tripichio,-0.52,-0.99,-1.0,,-0.62,-0.74,-1.0,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,throw_in,1,20,57,Sarmiento,Elías López,0.16,0.98,-1.0,,0.5,0.7,-1.0,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,throw_in,1,24,29,Sarmiento,Gabriel Díaz,0.28,-0.99,-1.0,,0.43,-0.75,-1.0,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,throw_in,1,26,22,Defensa y Justicia,Alexis Soto,0.07,0.98,-1.0,,-0.37,0.77,-1.0,
06-02-2024,19:00,Sarmiento,Defensa y Justicia,Argentina - Copa LPF 2024,El Cobre,throw_in,1,26,51,Defensa y Justicia,Alexis Soto,-0.54,0.95,-1.0,,-0.85,0.57,-1.0,
