date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
08-02-2024,21:15,Huracán,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,0,17,Independiente,Iván Marcone,-0.09,-0.23,-1.0,,,,,
08-02-2024,21:15,Huracán,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,0,47,Huracán,Rodrigo Echeverría,-0.44,-0.28,-1.0,,,,,
08-02-2024,21:15,Huracán,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,1,52,Independiente,Iván Marcone,0.16,-0.31,-1.0,,,,,
08-02-2024,21:15,Huracán,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,2,56,Huracán,Héctor Fértoli,-0.06,-0.29,-1.0,,,,,
08-02-2024,21:15,Huracán,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,9,7,Huracán,Franco Alfonso,0.16,-0.06,-1.0,,,,,
08-02-2024,21:15,Huracán,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,9,42,Huracán,Lucas Carrizo,-0.44,-0.49,-1.0,,,,,
08-02-2024,21:15,Huracán,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,19,19,Huracán,Guillermo Benítez,-0.45,-0.75,-1.0,,,,,
08-02-2024,21:15,Huracán,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,25,56,Huracán,Franco Alfonso,0.06,-0.11,-1.0,,,,,
08-02-2024,21:15,Huracán,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,31,51,Independiente,David Martínez,0.17,-0.27,-1.0,,,,,
08-02-2024,21:15,Huracán,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,32,20,Independiente,Juan Manuel Fedorco,0.23,-0.04,-1.0,,,,,
08-02-2024,21:15,Huracán,Independiente,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,32,56,Independiente,Iván Marcone,-0.13,0.13,-1.0,,,,,
