date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
08-02-2024,19:30,Rosario Central,Independiente Riv. (M),Argentina - Copa LPF 2024,Único de San Nicolás,steal,1,1,43,Rosario Central,Tomás O'Connor,-0.18,-0.23,-1.0,,,,,
08-02-2024,19:30,Rosario Central,Independiente Riv. (M),Argentina - Copa LPF 2024,Único de San Nicolás,steal,1,3,4,Rosario Central,Facundo Mallo,-0.89,0.7,-1.0,,,,,
08-02-2024,19:30,Rosario Central,Independiente Riv. (M),Argentina - Copa LPF 2024,Único de San Nicolás,steal,1,3,19,Independiente Riv. (M),Juan Manuel Vázquez,-0.33,0.71,-1.0,,,,,
08-02-2024,19:30,Rosario Central,Independiente Riv. (M),Argentina - Copa LPF 2024,Único de San Nicolás,steal,1,20,37,Independiente Riv. (M),Emmanuel Mas,0.42,0.73,-1.0,,,,,
08-02-2024,19:30,Rosario Central,Independiente Riv. (M),Argentina - Copa LPF 2024,Único de San Nicolás,steal,1,20,52,Independiente Riv. (M),Emmanuel Mas,-0.2,0.71,-1.0,,,,,
08-02-2024,19:30,Rosario Central,Independiente Riv. (M),Argentina - Copa LPF 2024,Único de San Nicolás,steal,1,20,37,Rosario Central,Tomás O'Connor,-0.48,0.83,-1.0,,,,,
08-02-2024,19:30,Rosario Central,Independiente Riv. (M),Argentina - Copa LPF 2024,Único de San Nicolás,steal,1,21,2,Rosario Central,Facundo Mallo,-0.48,0.27,-1.0,,,,,
08-02-2024,19:30,Rosario Central,Independiente Riv. (M),Argentina - Copa LPF 2024,Único de San Nicolás,steal,1,24,21,Independiente Riv. (M),Gastón Gil Romero,-0.08,0.17,-1.0,,,,,
08-02-2024,19:30,Rosario Central,Independiente Riv. (M),Argentina - Copa LPF 2024,Único de San Nicolás,steal,1,26,20,Independiente Riv. (M),Francisco Petrasso,0.06,-0.52,-1.0,,,,,
08-02-2024,19:30,Rosario Central,Independiente Riv. (M),Argentina - Copa LPF 2024,Único de San Nicolás,steal,1,29,15,Independiente Riv. (M),Francisco Petrasso,0.45,-0.54,-1.0,,,,,
08-02-2024,19:30,Rosario Central,Independiente Riv. (M),Argentina - Copa LPF 2024,Único de San Nicolás,steal,1,31,29,Independiente Riv. (M),Gastón Gil Romero,-0.4,0.59,-1.0,,,,,
08-02-2024,19:30,Rosario Central,Independiente Riv. (M),Argentina - Copa LPF 2024,Único de San Nicolás,steal,1,37,8,Independiente Riv. (M),Mauro Maidana,0.33,0.63,-1.0,,,,,
08-02-2024,19:30,Rosario Central,Independiente Riv. (M),Argentina - Copa LPF 2024,Único de San Nicolás,steal,1,42,7,Independiente Riv. (M),Emmanuel Mas,0.03,0.56,-1.0,,,,,
08-02-2024,19:30,Rosario Central,Independiente Riv. (M),Argentina - Copa LPF 2024,Único de San Nicolás,steal,1,41,57,Rosario Central,Maximiliano Lovera,0.08,0.7,-1.0,,,,,
08-02-2024,19:30,Rosario Central,Independiente Riv. (M),Argentina - Copa LPF 2024,Único de San Nicolás,steal,1,43,36,Rosario Central,Jaminton Campaz,-0.25,0.7,-1.0,,,,,
08-02-2024,19:30,Rosario Central,Independiente Riv. (M),Argentina - Copa LPF 2024,Único de San Nicolás,steal,1,44,10,Independiente Riv. (M),Gastón Gil Romero,0.3,0.33,-1.0,,,,,
