date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,1,14,Tigre,Ezequiel Forclaz,0.8,-0.81,-1.0,,,,,
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,2,46,Tigre,Flabián Londoño,0.07,-0.43,-1.0,,,,,
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,3,31,Tigre,Brahian Alemán,-0.11,0.04,-1.0,,,,,
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,4,22,Tigre,Ezequiel Forclaz,-0.25,-0.82,-1.0,,,,,
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,24,54,Estudiantes,Mauro Méndez,0.47,-0.34,-1.0,,,,,
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,26,56,Tigre,Sebastián Medina,0.36,0.52,-1.0,,,,,
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,33,42,Tigre,Gian Nardelli,0.36,-0.71,-1.0,,,,,
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,38,12,Tigre,Sebastián Medina,0.42,0.5,-1.0,,,,,
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,42,59,Tigre,Juan Manuel Sánchez Miño,0.29,0.3,-1.0,,,,,
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,44,18,Estudiantes,Eric Meza,-0.26,-0.53,-1.0,,,,,
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,48,59,Tigre,Martín Ortega,-0.37,0.83,-1.0,,,,,
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,52,43,Tigre,Agustín Cardozo,-0.37,0.77,-1.0,,,,,
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,63,44,Tigre,Gian Nardelli,-0.81,0.78,-1.0,,,,,
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,70,42,Tigre,Tomás Galván,0.15,0.78,-1.0,,,,,
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,72,40,Tigre,Facundo Giacopuzzi,-0.35,0.5,-1.0,,,,,
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,73,29,Tigre,Tomás Galván,0.06,0.26,-1.0,,,,,
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,84,4,Estudiantes,Enzo Pérez,-0.07,-0.08,-1.0,,,,,
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,84,4,Tigre,Juan Cruz Esquivel,-0.11,-0.19,-1.0,,,,,
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,2,18,Tigre,Flabián Londoño,0.16,0.7,-1.0,Santiago Ascacíbar,,,,
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,4,37,Estudiantes,Eric Meza,-0.57,-0.92,-1.0,Brahian Alemán,,,,
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,9,51,Tigre,Ezequiel Forclaz,-0.33,-0.46,-1.0,Enzo Pérez,,,,
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,15,0,Tigre,Juan Manuel Sánchez Miño,-0.06,0.61,-1.0,Enzo Pérez,,,,
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,18,28,Tigre,Ezequiel Forclaz,-0.52,-0.74,-1.0,Eric Meza,,,,
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,26,25,Tigre,Agustín Cardozo,0.29,0.82,-1.0,Mauro Méndez,,,,
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,32,32,Estudiantes,Javier Altamirano,-0.38,0.06,-1.0,Brahian Alemán,,,,
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,36,24,Estudiantes,Enzo Pérez,0.17,0.58,-1.0,Brahian Alemán,,,,
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,37,31,Tigre,Facundo Giacopuzzi,-0.09,0.1,-1.0,Mauro Méndez,,,,
09-02-2024,19:00,Estudiantes,Tigre,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,38,19,Estudiantes,Javier Altamirano,0.28,0.49,-1.0,Sebastián Medina,,,,
