date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,steal,1,0,48,Racing Club,Agustín García Basso,-0.47,-0.62,-1.0,,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,steal,1,2,35,Racing Club,Bruno Zuculini,-0.33,0.43,-1.0,,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,steal,1,4,47,Racing Club,Santiago Sosa,-0.73,0.75,-1.0,,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,steal,1,8,33,Racing Club,Juan Fernando Quintero,0.82,0.66,-1.0,,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,steal,1,8,55,Racing Club,Bruno Zuculini,-0.66,0.52,-1.0,,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,steal,1,10,3,Racing Club,Maximiliano Salas,0.5,-0.01,-1.0,,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,steal,1,11,11,Racing Club,Agustín Almendra,-0.31,0.42,-1.0,,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,steal,1,12,6,Racing Club,Agustín Almendra,0.75,-0.75,-1.0,,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,steal,1,26,53,Racing Club,Maximiliano Salas,0.36,0.54,-1.0,,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,steal,1,30,30,San Lorenzo,Carlos Sánchez,0.74,0.56,-1.0,,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,steal,1,36,25,Racing Club,Gabriel Rojas,0.85,-0.89,-1.0,,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,steal,1,45,11,San Lorenzo,Agustín Giay,0.82,-0.85,-1.0,,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,steal,1,48,37,Racing Club,Maximiliano Salas,-0.08,-0.34,-1.0,,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,steal,2,49,34,Racing Club,Bruno Zuculini,0.33,-0.87,-1.0,,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,steal,2,55,55,Racing Club,Tobías Rubio,0.32,-0.35,-1.0,,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,steal,2,66,12,Racing Club,Bruno Zuculini,0.37,-0.17,-1.0,,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,steal,2,76,28,Racing Club,Leonel Miranda,0.17,-0.21,-1.0,,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,steal,2,79,56,Racing Club,David González,-0.11,-0.29,-1.0,,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,steal,2,90,32,Racing Club,Leonel Miranda,0.04,-0.07,-1.0,,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,foul,1,4,18,San Lorenzo,Jhohan Romaña,0.46,-0.42,-1.0,Adrián Martínez,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,foul,1,5,11,Racing Club,Bruno Zuculini,-0.3,0.36,-1.0,Cristian Ferreira,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,foul,1,8,43,San Lorenzo,Cristian Tarragona,-0.42,0.54,-1.0,Bruno Zuculini,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,foul,1,10,48,Racing Club,Agustín García Basso,0.33,-0.08,-1.0,Adam Bareiro,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,foul,1,15,8,San Lorenzo,Manuel Insaurralde,0.36,-0.29,-1.0,Adrián Martínez,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,foul,1,17,53,Racing Club,Santiago Sosa,-0.54,0.42,-1.0,Malcom Braida,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,foul,1,25,51,Racing Club,Santiago Solari,0.82,0.78,-1.0,Gastón Hernández,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,foul,1,29,14,San Lorenzo,Adam Bareiro,-0.41,-0.1,-1.0,Tobías Rubio,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,foul,1,31,46,San Lorenzo,Manuel Insaurralde,0.29,-0.79,-1.0,Maximiliano Salas,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,foul,1,33,55,Racing Club,Santiago Solari,-0.53,0.75,-1.0,Manuel Insaurralde,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,foul,1,35,24,San Lorenzo,Adam Bareiro,-0.79,-0.53,-1.0,Agustín García Basso,,,,
09-02-2024,21:15,Racing Club,San Lorenzo,Argentina - Copa LPF 2024,Presidente Perón,foul,1,37,55,San Lorenzo,Jhohan Romaña,-0.4,-0.74,-1.0,Gabriel Rojas,,,,
