date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,1,4,22,Newell`s,Guillermo May,0.09,-0.85,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,1,0,59,Newell`s,Armando Méndez,0.34,-0.86,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,1,5,0,Unión,Nicolás Paz,-0.67,0.15,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,1,10,29,Newell`s,Ever Banega,-0.24,0.37,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,1,10,43,Unión,Enzo Roldán,-0.51,-0.28,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,1,17,42,Newell`s,Franco Díaz,0.59,-0.74,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,1,18,38,Newell`s,Guillermo May,0.25,-0.79,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,1,21,50,Newell`s,Armando Méndez,0.32,-0.76,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,1,22,3,Unión,Federico Vera,-0.38,0.43,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,1,26,49,Newell`s,Ever Banega,0.76,-0.9,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,1,29,11,Newell`s,Rodrigo Fernández,-0.15,0.26,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,1,29,7,Unión,Mauro Pittón,-0.44,-0.21,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,1,31,13,Newell`s,Ángelo Martino,0.78,0.57,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,1,31,21,Unión,Mauro Pittón,0.19,0.59,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,1,34,59,Newell`s,Rodrigo Fernández,0.24,-0.01,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,1,36,52,Unión,Nicolás Paz,-0.71,-0.31,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,1,46,7,Newell`s,Ever Banega,0.56,0.45,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,2,47,25,Unión,Mauro Pittón,0.04,0.02,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,2,48,43,Unión,Franco Pardo,-0.02,-0.38,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,2,58,39,Newell`s,Ian Glavinovich,-0.62,-0.74,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,2,63,42,Newell`s,Rodrigo Fernández,-0.71,0.37,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,2,64,22,Newell`s,Ángelo Martino,-0.46,-0.37,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,2,64,54,Unión,Lucas Gamba,-0.16,-0.1,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,2,70,36,Newell`s,Brian Aguirre,0.28,-0.64,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,2,70,11,Unión,Bruno Pittón,0.27,-0.52,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,2,70,33,Unión,Nicolás Paz,-0.07,-0.64,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,2,74,0,Newell`s,Leonel Vangioni,-0.44,-0.32,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,2,86,55,Newell`s,Ian Glavinovich,-0.69,-0.58,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,steal,2,88,1,Newell`s,Leonel Vangioni,0.59,-0.92,-1.0,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,1,2,2,Unión,Mauro Luna Diale,0.43,-0.91,-1.0,Guillermo May,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,1,3,12,Unión,Lucas Gamba,0.43,-0.73,-1.0,Armando Méndez,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,1,5,17,Newell`s,Ian Glavinovich,-0.28,0.66,-1.0,Lucas Gamba,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,1,8,42,Unión,Gonzalo Morales,0.28,-0.7,-1.0,Víctor Velázquez,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,1,9,31,Newell`s,Guillermo May,,,,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,1,10,51,Newell`s,Franco Díaz,-0.32,0.14,-1.0,Mauro Luna Diale,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,1,11,42,Newell`s,Rodrigo Fernández,0.36,0.24,-1.0,Gonzalo Morales,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,1,17,6,Unión,Nicolás Paz,0.35,0.49,-1.0,Ever Banega,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,1,18,42,Newell`s,Armando Méndez,-0.33,-0.76,-1.0,Claudio Corvalán,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,1,25,19,Unión,Mauro Pittón,-0.35,0.3,-1.0,Juan Ignacio Ramírez,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,1,25,54,Newell`s,Armando Méndez,0.37,0.46,-1.0,Lucas Gamba,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,1,27,3,Newell`s,Ever Banega,,,,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,1,38,10,Newell`s,Víctor Velázquez,0.5,-0.87,-1.0,Bruno Pittón,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,1,44,55,Unión,Mauro Pittón,0.17,-0.46,-1.0,Guillermo May,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,1,46,12,Unión,Mauro Pittón,0.43,0.35,-1.0,Ever Banega,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,2,46,5,Newell`s,Armando Méndez,-0.28,0.5,-1.0,Mauro Luna Diale,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,2,52,9,Unión,Adrián Balboa,-0.35,0.21,-1.0,Víctor Velázquez,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,2,53,4,Unión,Claudio Corvalán,0.43,0.74,-1.0,Franco Díaz,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,2,54,35,Unión,Lucas Gamba,-0.6,0.76,-1.0,Armando Méndez,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,2,55,35,Newell`s,Ian Glavinovich,-0.38,-0.35,-1.0,Adrián Balboa,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,2,63,18,Unión,Jerónimo Dómina,-0.21,-0.61,-1.0,Rodrigo Fernández,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,2,64,2,Newell`s,Guillermo May,0.35,0.36,-1.0,Franco Pardo,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,2,70,57,Newell`s,Guillermo May,0.53,-0.48,-1.0,Nicolás Paz,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,2,74,14,Unión,Joaquín Mosqueira,-0.42,-0.55,-1.0,Leonel Vangioni,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,2,76,32,Newell`s,Ángelo Martino,-0.6,-0.93,-1.0,Jerónimo Dómina,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,2,77,22,Newell`s,Ángelo Martino,-0.77,-0.74,-1.0,Mateo Del Blanco,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,2,92,56,Unión,Patricio Tanda,0.35,-0.89,-1.0,Ángelo Martino,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,foul,2,93,33,Newell`s,Guillermo May,0.45,-0.54,-1.0,Patricio Tanda,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,shot,1,3,47,Newell`s,Brian Aguirre,-0.45,-0.11,-1.0,Nicolás Campisi,-1.0,-0.06,0.75,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,shot,1,7,0,Newell`s,Juan Ignacio Ramírez,-0.72,-0.23,-1.0,,-1.0,0.09,0.51,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,shot,1,12,27,Unión,Gonzalo Morales,0.84,-0.12,-1.0,Ramiro Macagno,0.99,-0.02,0.5,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,shot,1,28,28,Newell`s,Ángelo Martino,-0.51,0.3,-1.0,,-1.0,0.09,-1.0,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,shot,1,29,47,Newell`s,Brian Aguirre,-0.57,-0.29,-1.0,,-0.99,-0.27,-1.0,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,shot,1,33,58,Unión,Gonzalo Morales,0.87,-0.2,-1.0,,0.98,-0.17,-1.0,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,shot,1,39,10,Unión,Mauro Pittón,0.82,-0.75,-1.0,Ramiro Macagno,0.98,0.11,0.67,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,shot,1,38,38,Unión,Gonzalo Morales,0.72,-0.09,-1.0,,0.87,-0.35,-1.0,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,shot,1,40,36,Newell`s,Juan Ignacio Ramírez,-0.49,-0.22,-1.0,,-0.99,0.01,0.64,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,shot,1,44,7,Newell`s,Armando Méndez,-0.71,-0.28,-1.0,,-1.0,-0.21,-1.0,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,shot,2,47,57,Unión,Adrián Balboa,-0.86,0.44,-1.0,Ramiro Macagno,-0.99,0.1,0.32,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,shot,2,51,50,Newell`s,Rodrigo Fernández,0.78,-0.26,-1.0,,0.97,-0.22,-1.0,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,shot,2,54,7,Newell`s,Guillermo May,0.74,-0.24,-1.0,,0.98,0.22,-1.0,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,shot,2,56,26,Unión,Mauro Pittón,-0.47,0.12,-1.0,,-0.97,0.22,-1.0,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,shot,2,56,52,Newell`s,Juan Ignacio Ramírez,0.57,-0.33,-1.0,Nicolás Campisi,0.99,0.02,0.16,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,shot,2,57,26,Newell`s,Juan Ignacio Ramírez,0.82,0.15,-1.0,,1.0,-0.06,0.73,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,shot,2,61,17,Unión,Joaquín Mosqueira,-0.47,0.19,-1.0,,-1.0,0.29,-1.0,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,shot,2,68,22,Newell`s,Ignacio Schor,0.7,0.3,-1.0,,0.98,0.08,-1.0,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,shot,2,72,0,Unión,Mateo Del Blanco,-0.71,0.14,-1.0,,-0.98,0.09,0.3,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,shot,2,78,20,Unión,Nicolás Paz,-0.72,-0.22,-1.0,,-1.0,0.06,0.99,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,shot,2,80,55,Unión,Adrián Balboa,-0.4,0.38,-1.0,Ramiro Macagno,-1.0,0.14,0.29,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,shot,2,82,27,Unión,Jerónimo Dómina,-0.89,-0.26,-1.0,,-0.86,-0.91,-1.0,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,shot,2,87,14,Newell`s,Guillermo May,0.69,-0.34,-1.0,,0.98,-0.3,-1.0,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,shot,2,90,39,Unión,Mauro Luna Diale,-0.58,0.24,-1.0,,-0.87,0.12,-1.0,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,shot,2,90,59,Unión,Lucas Gamba,-0.56,0.54,-1.0,,-0.99,0.2,-1.0,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,shot,2,76,1,Newell`s,Guillermo May,0.72,0.11,-1.0,,0.98,0.38,-1.0,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,var,2,72,46,Unión,,,,,,,,,Revisión Gol
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,var,2,72,58,Unión,,,,,,,,,Gol confirmado
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,goal_kick,1,6,23,Newell`s,Ramiro Macagno,,,,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,goal_kick,1,15,24,Unión,Nicolás Paz,,,,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,goal_kick,1,23,1,Unión,Nicolás Campisi,,,,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,goal_kick,1,28,32,Unión,Nicolás Campisi,,,,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,goal_kick,1,34,17,Newell`s,Ramiro Macagno,,,,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,goal_kick,1,36,40,Newell`s,Ramiro Macagno,,,,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,goal_kick,1,48,37,Newell`s,Ramiro Macagno,,,,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,goal_kick,2,54,18,Unión,Nicolás Campisi,,,,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,goal_kick,2,61,45,Newell`s,Ramiro Macagno,,,,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,goal_kick,2,63,3,Newell`s,Ramiro Macagno,,,,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,goal_kick,2,69,56,Unión,Nicolás Campisi,,,,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,goal_kick,2,76,5,Unión,Nicolás Campisi,,,,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,goal_kick,2,79,15,Newell`s,Ramiro Macagno,,,,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,goal_kick,2,85,6,Newell`s,Ramiro Macagno,,,,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,goal_kick,2,88,20,Unión,Nicolás Campisi,,,,,,,,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,throw_in,1,0,32,Unión,Claudio Corvalán,-0.27,-0.97,-1.0,,-0.55,-0.66,-1.0,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,throw_in,1,14,17,Newell`s,Armando Méndez,0.5,-0.98,-1.0,,0.2,-0.89,-1.0,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,throw_in,1,16,36,Unión,Bruno Pittón,-0.21,-0.98,-1.0,,-0.34,-0.84,-1.0,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,throw_in,1,17,38,Unión,Lucas Gamba,0.24,-0.96,-1.0,,0.46,-0.86,-1.0,
09-02-2024,19:00,Unión,Newell`s,Argentina - Copa LPF 2024,15 de abril,throw_in,1,18,9,Newell`s,Armando Méndez,-0.28,-0.96,-1.0,,-0.5,-0.84,-1.0,
