date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,1,2,Vélez,Santiago Cáseres,0.23,0.08,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,3,6,Gimnasia,Cristian Colmán,-0.33,0.64,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,7,15,Gimnasia,Juan Pintado,0.45,-0.62,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,7,55,Vélez,Santiago Cáseres,0.26,0.08,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,8,58,Vélez,Rodrigo Piñeiro,0.82,-0.22,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,10,19,Gimnasia,Eric Ramírez,0.35,-0.79,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,16,30,Vélez,Santiago Cáseres,0.57,-0.01,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,20,47,Gimnasia,Eric Ramírez,0.39,-0.34,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,21,8,Vélez,Santiago Cáseres,0.34,-0.31,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,24,39,Vélez,Elías Gómez,-0.22,-0.18,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,25,51,Vélez,Elías Gómez,-0.26,-0.16,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,41,54,Gimnasia,Rodrigo Saravia,0.42,0.57,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,44,29,Vélez,Santiago Cáseres,0.02,-0.04,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,45,11,Gimnasia,Rodrigo Saravia,0.38,-0.05,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,45,15,Gimnasia,Pablo De Blasis,-0.37,-0.36,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,49,51,Gimnasia,Gustavo Canto,0.25,-0.37,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,50,3,Vélez,Elías Gómez,0.37,0.68,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,51,7,Gimnasia,Ivo Mammini,0.5,0.45,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,54,34,Gimnasia,Jonathan  Cabral,-0.44,-0.37,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,55,46,Vélez,Valentín Gómez,0.46,0.61,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,61,59,Gimnasia,Juan Pintado,-0.63,0.46,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,63,33,Gimnasia,Benjamín Domínguez,-0.7,-0.77,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,64,50,Gimnasia,Juan Pintado,-0.28,0.64,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,65,26,Gimnasia,Juan Pintado,-0.41,0.34,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,65,36,Gimnasia,Jonathan  Cabral,-0.3,-0.14,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,65,56,Gimnasia,Jonathan  Cabral,-0.81,-0.34,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,66,9,Vélez,Leonardo Jara,0.08,-0.31,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,71,9,Vélez,Emanuel Mammana,0.74,-0.37,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,72,49,Vélez,Juan Ignacio Méndez,0.49,0.12,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,76,36,Vélez,Agustín Bouzat,-0.51,0.47,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,78,16,Gimnasia,Juan Pintado,-0.63,0.42,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,79,11,Vélez,Elías Gómez,0.41,0.57,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,80,11,Vélez,Emanuel Mammana,0.73,0.53,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,81,6,Vélez,Juan Ignacio Méndez,0.57,-0.01,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,92,22,Vélez,Leonardo Jara,0.15,-0.49,-1.0,,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,1,0,29,Gimnasia,Eric Ramírez,-0.3,-0.78,-1.0,Rodrigo Piñeiro,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,1,6,59,Gimnasia,Gustavo Canto,-0.16,0.86,-1.0,Braian Romero,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,1,22,12,Gimnasia,Rodrigo Saravia,-0.28,0.26,-1.0,Santiago Cáseres,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,1,24,44,Gimnasia,Eric Ramírez,-0.54,-0.62,-1.0,Elías Gómez,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,1,39,16,Gimnasia,Benjamín Domínguez,0.62,0.89,-1.0,Leonardo Jara,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,1,42,9,Vélez,Matías Pellegrini,0.36,0.18,-1.0,Rodrigo Saravia,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,1,44,35,Gimnasia,Rodrigo Saravia,-0.4,-0.84,-1.0,Santiago Cáseres,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,1,46,13,Vélez,Matías Pellegrini,0.7,0.8,-1.0,Jonathan  Cabral,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,2,46,51,Vélez,Braian Romero,-0.95,-0.81,-1.0,Gustavo Canto,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,2,50,10,Gimnasia,Gustavo Canto,-0.06,-0.19,-1.0,Matías Pellegrini,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,2,55,54,Gimnasia,Pablo De Blasis,0.4,-0.3,-1.0,Christian Ordóñez,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,2,60,52,Gimnasia,Ivo Mammini,0.61,0.62,-1.0,Elías Gómez,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,2,61,15,Gimnasia,Gustavo Canto,-0.06,-0.35,-1.0,Matías Pellegrini,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,2,62,9,Gimnasia,Benjamín Domínguez,-0.27,-0.18,-1.0,Christian Ordóñez,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,2,71,34,Gimnasia,Juan Pintado,-0.03,0.59,-1.0,Santiago Cáseres,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,2,72,42,Vélez,Juan Ignacio Méndez,0.43,-0.08,-1.0,Benjamín Domínguez,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,2,74,40,Gimnasia,Leonardo Morales,-0.39,-0.44,-1.0,Abiel Osorio,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,2,79,27,Vélez,Abiel Osorio,-0.84,0.26,-1.0,Leonardo Morales,,,,
09-02-2024,21:15,Vélez,Gimnasia,Argentina - Copa LPF 2024,Estadio José Amalfitani,foul,2,80,21,Gimnasia,Franco Troyansky,0.43,0.31,-1.0,Juan Ignacio Méndez,,,,
