date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
10-02-2024,17:00,Argentinos Juniors,Banfield,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,1,52,Banfield,Luciano Recalde,0.75,0.17,-1.0,,,,,
10-02-2024,17:00,Argentinos Juniors,Banfield,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,2,53,Banfield,Ezequiel Bonifacio,0.76,-0.07,-1.0,,,,,
10-02-2024,17:00,Argentinos Juniors,Banfield,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,3,9,Argentinos Juniors,Román Vega,-0.28,-0.78,-1.0,,,,,
10-02-2024,17:00,Argentinos Juniors,Banfield,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,3,36,Argentinos Juniors,Román Vega,-0.31,-0.83,-1.0,,,,,
10-02-2024,17:00,Argentinos Juniors,Banfield,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,4,13,Banfield,Ignacio Rodríguez,-0.3,0.61,-1.0,,,,,
10-02-2024,17:00,Argentinos Juniors,Banfield,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,6,30,Argentinos Juniors,Tobías Palacio,-0.15,-0.69,-1.0,,,,,
10-02-2024,17:00,Argentinos Juniors,Banfield,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,7,30,Banfield,,0.1,0.58,-1.0,,,,,
10-02-2024,17:00,Argentinos Juniors,Banfield,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,12,38,Argentinos Juniors,Jonatan Galván,-0.57,0.8,-1.0,,,,,
10-02-2024,17:00,Argentinos Juniors,Banfield,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,12,45,Argentinos Juniors,Jonatan Galván,-0.61,0.33,-1.0,,,,,
10-02-2024,17:00,Argentinos Juniors,Banfield,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,17,2,Argentinos Juniors,Román Vega,-0.5,0.01,-1.0,,,,,
10-02-2024,17:00,Argentinos Juniors,Banfield,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,21,37,Banfield,Bruno Sepúlveda,-0.07,0.52,-1.0,,,,,
10-02-2024,17:00,Argentinos Juniors,Banfield,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,23,40,Argentinos Juniors,Gastón Verón,0.17,0.45,-1.0,,,,,
10-02-2024,17:00,Argentinos Juniors,Banfield,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,31,28,Banfield,Yvo Calleros,0.27,0.26,-1.0,,,,,
10-02-2024,17:00,Argentinos Juniors,Banfield,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,31,52,Banfield,,0.63,0.79,-1.0,,,,,
