date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
10-02-2024,21:30,Belgrano,Godoy Cruz,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,3,48,Belgrano,Nicolás Meriano,0.57,-0.36,-1.0,,,,,
10-02-2024,21:30,Belgrano,Godoy Cruz,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,4,33,Godoy Cruz,Martín Luciano,-0.8,-0.84,-1.0,,,,,
10-02-2024,21:30,Belgrano,Godoy Cruz,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,7,11,Belgrano,Santiago Longo,-0.38,0.42,-1.0,,,,,
10-02-2024,21:30,Belgrano,Godoy Cruz,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,24,9,Godoy Cruz,Vicente Poggi,-0.54,0.81,-1.0,,,,,
10-02-2024,21:30,Belgrano,Godoy Cruz,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,24,42,Godoy Cruz,Marcos Montiel,-0.43,-0.55,-1.0,,,,,
10-02-2024,21:30,Belgrano,Godoy Cruz,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,26,15,Belgrano,Juan Ignacio Barinaga,0.41,-0.15,-1.0,,,,,
10-02-2024,21:30,Belgrano,Godoy Cruz,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,33,9,Belgrano,Francisco González Metilli,0.16,0.17,-1.0,,,,,
10-02-2024,21:30,Belgrano,Godoy Cruz,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,42,53,Belgrano,Matías Moreno,-0.18,-0.7,-1.0,,,,,
10-02-2024,21:30,Belgrano,Godoy Cruz,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,48,48,Belgrano,Matías Moreno,0.3,-0.59,-1.0,,,,,
10-02-2024,21:30,Belgrano,Godoy Cruz,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,45,6,Godoy Cruz,Valentín Burgoa,0.19,0.71,-1.0,,,,,
10-02-2024,21:30,Belgrano,Godoy Cruz,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,61,56,Godoy Cruz,Pier Barrios,0.81,-0.61,-1.0,,,,,
10-02-2024,21:30,Belgrano,Godoy Cruz,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,70,27,Godoy Cruz,Federico Rasmussen,0.86,0.46,-1.0,,,,,
10-02-2024,21:30,Belgrano,Godoy Cruz,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,73,35,Godoy Cruz,Federico Rasmussen,0.15,0.69,-1.0,,,,,
10-02-2024,21:30,Belgrano,Godoy Cruz,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,74,11,Godoy Cruz,Federico Rasmussen,0.48,-0.61,-1.0,,,,,
10-02-2024,21:30,Belgrano,Godoy Cruz,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,78,31,Godoy Cruz,Nicolás Fernández,0.45,0.32,-1.0,,,,,
10-02-2024,21:30,Belgrano,Godoy Cruz,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,78,57,Godoy Cruz,Pier Barrios,0.68,-0.31,-1.0,,,,,
10-02-2024,21:30,Belgrano,Godoy Cruz,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,83,14,Godoy Cruz,Nicolás Fernández,0.45,-0.85,-1.0,,,,,
10-02-2024,21:30,Belgrano,Godoy Cruz,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,92,55,Belgrano,Santiago Longo,-0.55,-0.1,-1.0,,,,,
10-02-2024,21:30,Belgrano,Godoy Cruz,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,95,59,Godoy Cruz,Thomas Galdames,0.28,0.66,-1.0,,,,,
10-02-2024,21:30,Belgrano,Godoy Cruz,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,97,11,Belgrano,Pablo Chavarría,0.5,-0.7,-1.0,,,,,
10-02-2024,21:30,Belgrano,Godoy Cruz,Argentina - Copa LPF 2024,Julio César Villagra,foul,1,4,5,Godoy Cruz,Federico Rasmussen,0.09,-0.44,-1.0,Lucas Passerini,,,,
10-02-2024,21:30,Belgrano,Godoy Cruz,Argentina - Copa LPF 2024,Julio César Villagra,foul,1,7,49,Godoy Cruz,Federico Rasmussen,,,,,,,,
10-02-2024,21:30,Belgrano,Godoy Cruz,Argentina - Copa LPF 2024,Julio César Villagra,foul,1,11,42,Belgrano,Facundo Quignón,-0.23,-0.53,-1.0,Pier Barrios,,,,
10-02-2024,21:30,Belgrano,Godoy Cruz,Argentina - Copa LPF 2024,Julio César Villagra,foul,1,17,39,Belgrano,Matías García,0.29,0.69,-1.0,Manuel Guillén,,,,
10-02-2024,21:30,Belgrano,Godoy Cruz,Argentina - Copa LPF 2024,Julio César Villagra,foul,1,20,18,Godoy Cruz,Valentín Burgoa,0.45,0.38,-1.0,Facundo Quignón,,,,
10-02-2024,21:30,Belgrano,Godoy Cruz,Argentina - Copa LPF 2024,Julio César Villagra,foul,1,26,18,Godoy Cruz,Tomás Badaloni,0.85,-0.53,-1.0,Juan Ignacio Barinaga,,,,
10-02-2024,21:30,Belgrano,Godoy Cruz,Argentina - Copa LPF 2024,Julio César Villagra,foul,1,29,4,Godoy Cruz,Pier Barrios,-0.36,0.61,-1.0,Bryan Reyna,,,,
