date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
10-02-2024,19:15,Boca Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,6,2,Defensa y Justicia,Alexis Soto,0.63,0.79,-1.0,,,,,
10-02-2024,19:15,Boca Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,7,24,Defensa y Justicia,Luciano Herrera,-0.11,-0.38,-1.0,,,,,
10-02-2024,19:15,Boca Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,9,2,Defensa y Justicia,Nicolás Tripichio,0.05,-0.3,-1.0,,,,,
10-02-2024,19:15,Boca Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,8,59,Boca Juniors,Kevin Zenón,-0.19,-0.7,-1.0,,,,,
10-02-2024,19:15,Boca Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,9,16,Boca Juniors,Lucas Blondel,-0.57,0.88,-1.0,,,,,
10-02-2024,19:15,Boca Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,9,25,Boca Juniors,Mauricio Benítez,-0.27,-0.5,-1.0,,,,,
10-02-2024,19:15,Boca Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,9,34,Boca Juniors,Guillermo Fernández,-0.28,-0.46,-1.0,,,,,
10-02-2024,19:15,Boca Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,11,54,Boca Juniors,Mauricio Benítez,-0.48,-0.44,-1.0,,,,,
10-02-2024,19:15,Boca Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,22,7,Defensa y Justicia,Emanuel Aguilera,0.85,-0.23,-1.0,,,,,
10-02-2024,19:15,Boca Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,21,53,Boca Juniors,Miguel Ángel Merentiel,-0.2,-0.61,-1.0,,,,,
10-02-2024,19:15,Boca Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,27,24,Boca Juniors,Guillermo Fernández,0.24,0.65,-1.0,,,,,
10-02-2024,19:15,Boca Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,35,43,Defensa y Justicia,Julián López,-0.27,0.69,-1.0,,,,,
10-02-2024,19:15,Boca Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,38,14,Boca Juniors,Luis Adví­ncula,-0.33,0.71,-1.0,,,,,
10-02-2024,19:15,Boca Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,38,26,Boca Juniors,Guillermo Fernández,-0.32,0.03,-1.0,,,,,
10-02-2024,19:15,Boca Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,41,29,Boca Juniors,Mauricio Benítez,-0.48,-0.57,-1.0,,,,,
10-02-2024,19:15,Boca Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,47,17,Defensa y Justicia,Julián López,-0.11,0.81,-1.0,,,,,
10-02-2024,19:15,Boca Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,49,52,Defensa y Justicia,Ezequiel Cannavó,-0.76,0.64,-1.0,,,,,
10-02-2024,19:15,Boca Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,61,48,Boca Juniors,Lautaro Blanco,0.44,0.13,-1.0,,,,,
10-02-2024,19:15,Boca Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,66,54,Boca Juniors,Miguel Ángel Merentiel,0.1,-0.34,-1.0,,,,,
10-02-2024,19:15,Boca Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,74,36,Boca Juniors,Jabes Saralegui,-0.17,-0.76,-1.0,,,,,
10-02-2024,19:15,Boca Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,78,15,Defensa y Justicia,Julián López,0.17,0.37,-1.0,,,,,
10-02-2024,19:15,Boca Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,78,6,Boca Juniors,Ezequiel Bullaude,0.73,0.76,-1.0,,,,,
10-02-2024,19:15,Boca Juniors,Defensa y Justicia,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,81,29,Defensa y Justicia,Nicolás Tripichio,-0.58,0.64,-1.0,,,,,
